2000-01-03 | Bear | 22.13 / -1.6% | HEAD 16% | TAIL 19% | B/ATR nan
2000-01-04 | Bear | 21.06 / -4.3% | HEAD 14% | TAIL 6% | B/ATR nan
2000-01-05 | Bear | 20.88 / -0.6% | HEAD 317% | TAIL 108% | B/ATR nan
2000-01-06 | Bull | 21.06 / 0.0% | HEAD 1300% | TAIL 3100% | B/ATR nan
2000-01-07 | Bull | 23.19 / 9.6% | HEAD 0% | TAIL 5% | B/ATR nan
2000-01-10 | Bull | 24.06 / 3.5% | HEAD 23% | TAIL 15% | B/ATR nan
2000-01-11 | Bear | 23.75 / -0.3% | HEAD 317% | TAIL 200% | B/ATR nan
2000-01-12 | Bull | 23.75 / 0.0% | HEAD 2500% | TAIL 600% | B/ATR nan
2000-01-13 | Bull | 24.13 / 1.9% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-14 | Bull | 24.13 / 0.5% | HEAD 92% | TAIL 92% | B/ATR nan
2000-01-18 | Bear | 24.0 / -0.2% | HEAD 217% | TAIL 100% | B/ATR nan
2000-01-19 | Bull | 24.13 / 0.3% | HEAD 1157% | TAIL 171% | B/ATR nan
2000-01-20 | Bull | 24.63 / 2.4% | HEAD 132% | TAIL 0% | B/ATR nan
2000-01-21 | Bear | 24.38 / -0.9% | HEAD 195% | TAIL 181% | B/ATR nan
2000-01-24 | Bear | 23.94 / -1.3% | HEAD 42% | TAIL 123% | B/ATR nan
2000-01-25 | Bear | 23.94 / -0.2% | HEAD 0% | TAIL 100% | B/ATR nan
2000-01-26 | Bull | 25.63 / 6.8% | HEAD 23% | TAIL 0% | B/ATR nan
2000-01-27 | Bear | 25.31 / -1.4% | HEAD 169% | TAIL 17% | B/ATR nan
2000-01-28 | Bear | 24.56 / -3.0% | HEAD 117% | TAIL 8% | B/ATR nan
2000-01-31 | Bull | 24.75 / 0.9% | HEAD 141% | TAIL 14% | B/ATR nan
2000-02-01 | Bull | 24.63 / 0.5% | HEAD 285% | TAIL 0% | B/ATR nan
2000-02-02 | Bear | 24.88 / -3.4% | HEAD 29% | TAIL 30% | B/ATR nan
2000-02-03 | Bull | 25.88 / 4.0% | HEAD 0% | TAIL 13% | B/ATR nan
2000-02-04 | Bull | 25.88 / 1.5% | HEAD 0% | TAIL 97% | B/ATR nan
2000-02-07 | Bull | 26.56 / 1.4% | HEAD 238% | TAIL 119% | B/ATR nan
2000-02-08 | Bull | 27.63 / 0.0% | HEAD 3700% | TAIL 5000% | B/ATR nan
2000-02-09 | Bull | 29.0 / 5.0% | HEAD 36% | TAIL 5% | B/ATR nan
2000-02-10 | Bull | 29.06 / 1.1% | HEAD 0% | TAIL 442% | B/ATR nan
2000-02-11 | Bull | 29.25 / 0.4% | HEAD 50% | TAIL 317% | B/ATR nan
2000-02-14 | Bull | 29.38 / 0.3% | HEAD 60% | TAIL 150% | B/ATR nan
2000-02-15 | Bull | 30.13 / 2.6% | HEAD 8% | TAIL 17% | B/ATR nan
2000-02-16 | Bull | 30.13 / 0.0% | HEAD 0% | TAIL 9400% | B/ATR nan
2000-02-17 | Bull | 30.19 / 0.2% | HEAD 100% | TAIL 633% | B/ATR nan
2000-02-18 | Bull | 30.13 / 0.4% | HEAD 46% | TAIL 92% | B/ATR nan
2000-02-22 | Bull | 30.0 / 0.9% | HEAD 89% | TAIL 79% | B/ATR nan
2000-02-23 | Bull | 30.13 / 0.8% | HEAD 100% | TAIL 52% | B/ATR nan
2000-02-24 | Bull | 30.63 / 2.5% | HEAD 33% | TAIL 0% | B/ATR nan
2000-02-25 | Bull | 33.19 / 7.5% | HEAD 89% | TAIL 19% | B/ATR nan
2000-02-28 | Bull | 34.69 / 4.5% | HEAD 141% | TAIL 17% | B/ATR nan
2000-02-29 | Bull | 36.75 / 5.8% | HEAD 38% | TAIL 6% | B/ATR nan
2000-03-01 | Bull | 37.13 / 1.2% | HEAD 141% | TAIL 127% | B/ATR nan
2000-03-02 | Bear | 34.25 / -7.4% | HEAD 9% | TAIL 18% | B/ATR nan
2000-03-03 | Bear | 32.38 / -5.6% | HEAD 0% | TAIL 13% | B/ATR nan
2000-03-06 | Bear | 27.63 / -15.1% | HEAD 0% | TAIL 23% | B/ATR nan
2000-03-07 | Bear | 27.81 / -0.5% | HEAD 192% | TAIL 92% | B/ATR nan
2000-03-08 | Bear | 27.38 / -2.0% | HEAD 0% | TAIL 336% | B/ATR nan
2000-03-09 | Bear | 27.44 / -0.7% | HEAD 132% | TAIL 100% | B/ATR nan
2000-03-10 | Bear | 27.44 / -0.2% | HEAD 100% | TAIL 833% | B/ATR nan
2000-03-13 | Bull | 27.38 / 0.9% | HEAD 248% | TAIL 28% | B/ATR nan
2000-03-14 | Bull | 28.81 / 6.2% | HEAD 11% | TAIL 8% | B/ATR nan
2000-03-15 | Bull | 28.94 / 0.5% | HEAD 238% | TAIL 431% | B/ATR nan
2000-03-16 | Bear | 27.13 / -4.8% | HEAD 23% | TAIL 101% | B/ATR nan
2000-03-17 | Bull | 27.06 / 0.2% | HEAD 117% | TAIL 417% | B/ATR nan
2000-03-20 | Bear | 26.06 / -3.9% | HEAD 23% | TAIL 29% | B/ATR nan
2000-03-21 | Bull | 26.06 / 0.7% | HEAD 106% | TAIL 556% | B/ATR nan
2000-03-22 | Bear | 25.19 / -4.0% | HEAD 24% | TAIL 12% | B/ATR nan
2000-03-23 | Bear | 25.19 / -3.6% | HEAD 0% | TAIL 8% | B/ATR nan
2000-03-24 | Bear | 24.25 / -4.9% | HEAD 0% | TAIL 15% | B/ATR nan
2000-03-27 | Bear | 24.56 / -1.6% | HEAD 7% | TAIL 105% | B/ATR nan
2000-03-28 | Bear | 24.63 / -1.5% | HEAD 35% | TAIL 51% | B/ATR nan
2000-03-29 | Bull | 25.5 / 2.8% | HEAD 72% | TAIL 54% | B/ATR nan
2000-03-30 | Bull | 26.63 / 6.5% | HEAD 23% | TAIL 0% | B/ATR nan
2000-03-31 | Bull | 28.31 / 7.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-03 | Bear | 28.44 / -0.2% | HEAD 1350% | TAIL 217% | B/ATR nan
2000-04-04 | Bull | 28.63 / 0.7% | HEAD 0% | TAIL 100% | B/ATR nan
2000-04-05 | Bull | 28.25 / 0.0% | HEAD 2500% | TAIL 1900% | B/ATR nan
2000-04-06 | Bull | 28.5 / 1.1% | HEAD 19% | TAIL 61% | B/ATR nan
2000-04-07 | Bull | 29.31 / 3.5% | HEAD 13% | TAIL 6% | B/ATR nan
2000-04-10 | Bull | 30.0 / 0.8% | HEAD 300% | TAIL 200% | B/ATR nan
2000-04-11 | Bull | 31.81 / 6.0% | HEAD 10% | TAIL 10% | B/ATR nan
2000-04-12 | Bear | 30.94 / -2.7% | HEAD 15% | TAIL 15% | B/ATR nan
2000-04-13 | Bear | 30.88 / -0.4% | HEAD 0% | TAIL 208% | B/ATR nan
2000-04-14 | Bear | 29.5 / -3.7% | HEAD 22% | TAIL 0% | B/ATR nan
2000-04-17 | Bear | 29.25 / -0.5% | HEAD 250% | TAIL 312% | B/ATR nan
2000-04-18 | Bear | 28.69 / -1.1% | HEAD 81% | TAIL 61% | B/ATR nan
