2000-06-29 | Bull | 35.56 / 11.1% | HEAD 9% | TAIL 0% | B/ATR 2.6
2000-09-21 | Bull | 35.94 / 11.0% | HEAD 12% | TAIL 0% | B/ATR 2.2
2000-11-10 | Bull | 27.0 / 25.6% | HEAD 2% | TAIL 9% | B/ATR 3.2
2000-11-13 | Bull | 27.88 / 10.4% | HEAD 14% | TAIL 7% | B/ATR 1.5
2001-02-09 | Bull | 33.5 / 9.4% | HEAD 5% | TAIL 5% | B/ATR 1.6
2001-02-12 | Bull | 36.0 / 8.7% | HEAD 13% | TAIL 5% | B/ATR 1.6
2001-05-14 | Bull | 23.9 / 15.6% | HEAD 11% | TAIL 0% | B/ATR 1.9
2001-11-06 | Bull | 23.42 / 12.1% | HEAD 0% | TAIL 2% | B/ATR 2.2
2001-11-13 | Bull | 25.04 / 8.0% | HEAD 6% | TAIL 0% | B/ATR 1.7
2002-06-27 | Bull | 18.09 / 14.6% | HEAD 7% | TAIL 7% | B/ATR 3.0
2003-03-17 | Bull | 15.04 / 7.0% | HEAD 3% | TAIL 2% | B/ATR 1.5
2003-05-15 | Bull | 17.37 / 5.9% | HEAD 4% | TAIL 10% | B/ATR 1.7
2003-08-21 | Bull | 19.88 / 5.2% | HEAD 0% | TAIL 3% | B/ATR 1.9
2003-09-23 | Bull | 18.44 / 5.0% | HEAD 0% | TAIL 12% | B/ATR 1.6
2003-10-16 | Bull | 19.67 / 9.0% | HEAD 1% | TAIL 0% | B/ATR 2.9
2003-11-12 | Bull | 21.59 / 5.0% | HEAD 1% | TAIL 7% | B/ATR 1.7
2004-03-01 | Bull | 22.84 / 4.9% | HEAD 8% | TAIL 0% | B/ATR 1.5
2005-11-03 | Bull | 20.96 / 5.4% | HEAD 7% | TAIL 13% | B/ATR 2.4
2005-12-21 | Bull | 20.79 / 4.1% | HEAD 19% | TAIL 14% | B/ATR 1.7
2006-01-31 | Bull | 23.31 / 4.5% | HEAD 18% | TAIL 5% | B/ATR 2.0
2007-06-18 | Bull | 29.21 / 3.3% | HEAD 12% | TAIL 0% | B/ATR 1.5
2007-07-12 | Bull | 27.74 / 4.4% | HEAD 5% | TAIL 3% | B/ATR 1.9
2007-10-31 | Bull | 35.06 / 4.4% | HEAD 0% | TAIL 0% | B/ATR 1.6
2008-08-11 | Bull | 27.19 / 7.4% | HEAD 1% | TAIL 0% | B/ATR 2.1
2008-09-04 | Bull | 26.29 / 7.9% | HEAD 17% | TAIL 0% | B/ATR 2.2
2008-09-16 | Bull | 27.15 / 6.3% | HEAD 17% | TAIL 0% | B/ATR 1.8
2008-10-13 | Bull | 23.48 / 7.6% | HEAD 0% | TAIL 18% | B/ATR 1.7
2008-10-16 | Bull | 23.51 / 8.1% | HEAD 16% | TAIL 0% | B/ATR 1.7
2008-10-17 | Bull | 24.82 / 9.5% | HEAD 9% | TAIL 11% | B/ATR 2.1
2009-05-26 | Bull | 17.4 / 9.4% | HEAD 1% | TAIL 9% | B/ATR 1.6
2010-05-21 | Bull | 21.54 / 4.1% | HEAD 2% | TAIL 14% | B/ATR 1.5
2011-08-23 | Bull | 30.86 / 8.6% | HEAD 4% | TAIL 8% | B/ATR 2.8
2012-05-09 | Bull | 52.33 / 3.5% | HEAD 7% | TAIL 16% | B/ATR 1.8
2012-08-23 | Bull | 67.77 / 4.3% | HEAD 19% | TAIL 4% | B/ATR 2.2
2012-09-04 | Bull | 71.81 / 3.3% | HEAD 18% | TAIL 5% | B/ATR 1.7
2014-01-14 | Bull | 96.89 / 5.0% | HEAD 1% | TAIL 0% | B/ATR 2.6
2014-05-09 | Bull | 91.98 / 3.7% | HEAD 2% | TAIL 8% | B/ATR 1.6
2014-12-18 | Bull | 117.25 / 3.0% | HEAD 4% | TAIL 4% | B/ATR 1.6
2015-02-04 | Bull | 57.71 / 9.2% | HEAD 16% | TAIL 2% | B/ATR 1.9
2017-06-26 | Bull | 33.63 / 5.7% | HEAD 13% | TAIL 0% | B/ATR 2.2
2017-07-19 | Bull | 41.74 / 3.7% | HEAD 3% | TAIL 0% | B/ATR 1.7
