2000-01-03 | Bear | 38.31 / -5.3% | HEAD 0% | TAIL 23% | B/ATR nan
2000-01-04 | Bull | 38.5 / 2.5% | HEAD 53% | TAIL 0% | B/ATR nan
2000-01-05 | Bear | 37.25 / -0.7% | HEAD 176% | TAIL 276% | B/ATR nan
2000-01-06 | Bull | 38.31 / 4.1% | HEAD 13% | TAIL 0% | B/ATR nan
2000-01-07 | Bull | 40.69 / 3.7% | HEAD 13% | TAIL 48% | B/ATR nan
2000-01-10 | Bear | 39.06 / -5.4% | HEAD 0% | TAIL 33% | B/ATR nan
2000-01-11 | Bull | 40.5 / 2.7% | HEAD 0% | TAIL 65% | B/ATR nan
2000-01-12 | Bear | 37.75 / -5.6% | HEAD 22% | TAIL 3% | B/ATR nan
2000-01-13 | Bear | 38.25 / -0.2% | HEAD 1567% | TAIL 417% | B/ATR nan
2000-01-14 | Bull | 38.56 / 0.2% | HEAD 1050% | TAIL 1767% | B/ATR nan
2000-01-18 | Bull | 41.69 / 8.8% | HEAD 17% | TAIL 2% | B/ATR nan
2000-01-19 | Bull | 42.19 / 1.2% | HEAD 62% | TAIL 126% | B/ATR nan
2000-01-20 | Bear | 40.81 / -3.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-21 | Bull | 42.38 / 2.1% | HEAD 127% | TAIL 22% | B/ATR nan
2000-01-24 | Bear | 39.88 / -5.9% | HEAD 45% | TAIL 23% | B/ATR nan
2000-01-25 | Bull | 40.0 / 0.2% | HEAD 2400% | TAIL 1350% | B/ATR nan
2000-01-26 | Bear | 38.69 / -5.6% | HEAD 38% | TAIL 11% | B/ATR nan
2000-01-27 | Bear | 37.5 / -3.8% | HEAD 63% | TAIL 58% | B/ATR nan
2000-01-28 | Bear | 35.81 / -2.6% | HEAD 94% | TAIL 60% | B/ATR nan
2000-01-31 | Bull | 36.13 / 0.7% | HEAD 148% | TAIL 152% | B/ATR nan
2000-02-01 | Bull | 36.38 / 0.2% | HEAD 714% | TAIL 1071% | B/ATR nan
2000-02-02 | Bear | 37.13 / -0.3% | HEAD 108% | TAIL 417% | B/ATR nan
2000-02-03 | Bull | 37.38 / 0.0% | HEAD 1800% | TAIL 8200% | B/ATR nan
2000-02-04 | Bear | 36.81 / -0.2% | HEAD 614% | TAIL 714% | B/ATR nan
2000-02-07 | Bull | 37.38 / 1.5% | HEAD 153% | TAIL 44% | B/ATR nan
2000-02-08 | Bear | 36.88 / -3.9% | HEAD 0% | TAIL 29% | B/ATR nan
2000-02-09 | Bear | 35.5 / -3.1% | HEAD 66% | TAIL 77% | B/ATR nan
2000-02-10 | Bull | 35.44 / 1.1% | HEAD 147% | TAIL 32% | B/ATR nan
2000-02-11 | Bear | 34.25 / -4.5% | HEAD 4% | TAIL 15% | B/ATR nan
2000-02-14 | Bull | 35.94 / 3.4% | HEAD 26% | TAIL 89% | B/ATR nan
2000-02-15 | Bull | 38.5 / 6.9% | HEAD 2% | TAIL 2% | B/ATR nan
2000-02-16 | Bull | 39.13 / 0.3% | HEAD 477% | TAIL 285% | B/ATR nan
2000-02-17 | Bull | 38.5 / 0.0% | HEAD 8800% | TAIL 13100% | B/ATR nan
2000-02-18 | Bear | 36.69 / -3.4% | HEAD 29% | TAIL 10% | B/ATR nan
2000-02-22 | Bear | 35.5 / -3.1% | HEAD 11% | TAIL 22% | B/ATR nan
2000-02-23 | Bear | 34.31 / -2.7% | HEAD 47% | TAIL 0% | B/ATR nan
2000-02-24 | Bull | 35.44 / 2.7% | HEAD 119% | TAIL 13% | B/ATR nan
2000-02-25 | Bear | 33.69 / -4.9% | HEAD 7% | TAIL 14% | B/ATR nan
2000-02-28 | Bull | 35.0 / 3.5% | HEAD 26% | TAIL 26% | B/ATR nan
2000-02-29 | Bull | 38.19 / 7.9% | HEAD 9% | TAIL 9% | B/ATR nan
2000-03-01 | Bull | 40.94 / 7.2% | HEAD 9% | TAIL 23% | B/ATR nan
2000-03-02 | Bull | 42.19 / 3.4% | HEAD 36% | TAIL 27% | B/ATR nan
2000-03-03 | Bear | 40.88 / -3.1% | HEAD 0% | TAIL 124% | B/ATR nan
2000-03-06 | Bear | 41.25 / -1.8% | HEAD 17% | TAIL 8% | B/ATR nan
2000-03-07 | Bull | 44.5 / 7.7% | HEAD 31% | TAIL 0% | B/ATR nan
2000-03-08 | Bear | 39.88 / -6.2% | HEAD 0% | TAIL 5% | B/ATR nan
2000-03-09 | Bear | 40.13 / -1.8% | HEAD 8% | TAIL 167% | B/ATR nan
2000-03-10 | Bull | 39.56 / 0.2% | HEAD 3750% | TAIL 317% | B/ATR nan
2000-03-13 | Bull | 38.88 / 1.3% | HEAD 512% | TAIL 26% | B/ATR nan
2000-03-14 | Bear | 38.15 / -1.1% | HEAD 154% | TAIL 266% | B/ATR nan
2000-03-15 | Bear | 37.88 / -1.5% | HEAD 123% | TAIL 157% | B/ATR nan
2000-03-16 | Bull | 39.38 / 6.1% | HEAD 28% | TAIL 17% | B/ATR nan
2000-03-17 | Bear | 38.38 / -0.5% | HEAD 244% | TAIL 317% | B/ATR nan
2000-03-20 | Bear | 36.19 / -3.5% | HEAD 5% | TAIL 24% | B/ATR nan
2000-03-21 | Bull | 37.5 / 1.7% | HEAD 50% | TAIL 52% | B/ATR nan
2000-03-22 | Bull | 38.69 / 1.2% | HEAD 184% | TAIL 114% | B/ATR nan
2000-03-23 | Bear | 37.88 / -1.3% | HEAD 74% | TAIL 126% | B/ATR nan
2000-03-24 | Bull | 39.0 / 0.2% | HEAD 1867% | TAIL 1150% | B/ATR nan
2000-03-27 | Bull | 38.13 / 0.3% | HEAD 1246% | TAIL 577% | B/ATR nan
2000-03-28 | Bull | 37.69 / 0.3% | HEAD 1300% | TAIL 431% | B/ATR nan
2000-03-29 | Bull | 40.25 / 8.1% | HEAD 6% | TAIL 17% | B/ATR nan
2000-03-30 | Bull | 40.56 / 1.1% | HEAD 263% | TAIL 133% | B/ATR nan
2000-03-31 | Bull | 41.13 / 0.8% | HEAD 97% | TAIL 369% | B/ATR nan
2000-04-03 | Bull | 42.5 / 3.7% | HEAD 9% | TAIL 25% | B/ATR nan
2000-04-04 | Bear | 40.0 / -5.9% | HEAD 30% | TAIL 35% | B/ATR nan
2000-04-05 | Bear | 38.0 / -5.4% | HEAD 3% | TAIL 11% | B/ATR nan
2000-04-06 | Bull | 39.19 / 2.5% | HEAD 60% | TAIL 13% | B/ATR nan
2000-04-07 | Bear | 39.63 / -1.4% | HEAD 200% | TAIL 57% | B/ATR nan
2000-04-10 | Bear | 38.31 / -3.3% | HEAD 0% | TAIL 9% | B/ATR nan
2000-04-11 | Bull | 40.19 / 3.1% | HEAD 16% | TAIL 58% | B/ATR nan
2000-04-12 | Bull | 40.81 / 0.4% | HEAD 244% | TAIL 417% | B/ATR nan
2000-04-13 | Bear | 39.31 / -3.1% | HEAD 70% | TAIL 5% | B/ATR nan
2000-04-14 | Bear | 38.88 / -1.7% | HEAD 212% | TAIL 74% | B/ATR nan
2000-04-17 | Bull | 38.44 / 0.0% | HEAD 4400% | TAIL 9400% | B/ATR nan
2000-04-18 | Bull | 41.69 / 6.9% | HEAD 12% | TAIL 23% | B/ATR nan
2000-04-19 | Bull | 41.44 / 0.0% | HEAD 10600% | TAIL 13800% | B/ATR nan
2000-04-20 | Bull | 42.25 / 1.7% | HEAD 36% | TAIL 62% | B/ATR nan
2000-04-24 | Bear | 41.63 / -2.9% | HEAD 40% | TAIL 95% | B/ATR nan
2000-04-25 | Bear | 41.44 / -3.6% | HEAD 0% | TAIL 80% | B/ATR nan
2000-04-26 | Bull | 43.63 / 4.5% | HEAD 0% | TAIL 70% | B/ATR nan
2000-04-27 | Bull | 45.5 / 5.5% | HEAD 40% | TAIL 27% | B/ATR nan
2000-04-28 | Bear | 44.19 / -1.9% | HEAD 44% | TAIL 0% | B/ATR nan
2000-05-01 | Bull | 44.25 / 0.4% | HEAD 426% | TAIL 526% | B/ATR nan
2000-05-02 | Bull | 47.38 / 5.9% | HEAD 5% | TAIL 5% | B/ATR nan
2000-05-03 | Bear | 45.25 / -3.5% | HEAD 23% | TAIL 42% | B/ATR nan
2000-05-04 | Bull | 47.0 / 4.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-05 | Bull | 46.88 / 1.4% | HEAD 49% | TAIL 129% | B/ATR nan
2000-05-08 | Bull | 48.38 / 2.7% | HEAD 45% | TAIL 0% | B/ATR nan
2000-05-09 | Bull | 48.94 / 1.7% | HEAD 0% | TAIL 31% | B/ATR nan
2000-05-10 | Bull | 49.19 / 1.9% | HEAD 30% | TAIL 47% | B/ATR nan
2000-05-11 | Bull | 50.38 / 2.4% | HEAD 5% | TAIL 21% | B/ATR nan
2000-05-12 | Bull | 50.09 / 0.4% | HEAD 314% | TAIL 476% | B/ATR nan
2000-05-15 | Bull | 51.56 / 3.6% | HEAD 31% | TAIL 24% | B/ATR nan
2000-05-16 | Bear | 51.5 / -0.6% | HEAD 0% | TAIL 626% | B/ATR nan
2000-05-17 | Bull | 51.0 / 0.0% | HEAD 12500% | TAIL 7500% | B/ATR nan
2000-05-18 | Bear | 49.63 / -2.2% | HEAD 12% | TAIL 56% | B/ATR nan
2000-05-19 | Bull | 50.88 / 1.8% | HEAD 7% | TAIL 78% | B/ATR nan
2000-05-22 | Bear | 47.38 / -4.8% | HEAD 11% | TAIL 306% | B/ATR nan
2000-05-23 | Bull | 48.75 / 2.4% | HEAD 12% | TAIL 67% | B/ATR nan
2000-05-24 | Bear | 48.5 / -1.6% | HEAD 47% | TAIL 69% | B/ATR 0.4
2000-05-25 | Bear | 48.31 / -0.4% | HEAD 32% | TAIL 1147% | B/ATR 0.1
2000-05-26 | Bear | 46.88 / -4.1% | HEAD 15% | TAIL 12% | B/ATR 0.9
2000-05-30 | Bull | 49.0 / 3.4% | HEAD 35% | TAIL 15% | B/ATR 0.7
2000-05-31 | Bull | 51.19 / 2.9% | HEAD 4% | TAIL 8% | B/ATR 0.6
2000-06-01 | Bull | 50.75 / 1.4% | HEAD 64% | TAIL 109% | B/ATR 0.3
2000-06-02 | Bear | 48.25 / -3.5% | HEAD 0% | TAIL 54% | B/ATR 0.8
2000-06-05 | Bear | 45.56 / -7.5% | HEAD 20% | TAIL 2% | B/ATR 1.6
2000-06-06 | Bull | 48.5 / 4.9% | HEAD 22% | TAIL 14% | B/ATR 1.0
2000-06-07 | Bear | 47.5 / -2.4% | HEAD 47% | TAIL 47% | B/ATR 0.5
2000-06-08 | Bear | 46.63 / -1.3% | HEAD 161% | TAIL 0% | B/ATR 0.3
2000-06-09 | Bear | 45.69 / -2.5% | HEAD 0% | TAIL 32% | B/ATR 0.5
2000-06-12 | Bull | 48.31 / 3.6% | HEAD 11% | TAIL 0% | B/ATR 0.7
2000-06-13 | Bull | 48.44 / 0.3% | HEAD 1200% | TAIL 0% | B/ATR 0.1
2000-06-14 | Bear | 47.69 / -1.5% | HEAD 183% | TAIL 51% | B/ATR 0.3
2000-06-15 | Bear | 46.5 / -2.5% | HEAD 63% | TAIL 84% | B/ATR 0.5
2000-06-16 | Bull | 48.96 / 2.0% | HEAD 56% | TAIL 20% | B/ATR 0.4
2000-06-19 | Bear | 48.0 / -2.0% | HEAD 0% | TAIL 137% | B/ATR 0.4
2000-06-20 | Bull | 47.69 / 1.2% | HEAD 11% | TAIL 179% | B/ATR 0.2
2000-06-21 | Bull | 49.75 / 4.3% | HEAD 9% | TAIL 12% | B/ATR 0.9
