2002-11-14 | Bull | 17.73 / 11.2% | HEAD 12% | TAIL 8% | B/ATR 2.1
2002-11-29 | Bull | 21.37 / 11.3% | HEAD 1% | TAIL 0% | B/ATR 2.5
2003-07-18 | Bull | 22.3 / 7.9% | HEAD 6% | TAIL 0% | B/ATR 2.0
2003-12-18 | Bull | 27.12 / 5.4% | HEAD 6% | TAIL 5% | B/ATR 2.0
2004-09-24 | Bull | 33.58 / 4.3% | HEAD 9% | TAIL 1% | B/ATR 1.9
2005-01-12 | Bull | 39.52 / 3.5% | HEAD 2% | TAIL 8% | B/ATR 1.5
2005-02-25 | Bull | 44.75 / 4.3% | HEAD 1% | TAIL 0% | B/ATR 2.0
2005-08-31 | Bull | 62.0 / 3.3% | HEAD 0% | TAIL 2% | B/ATR 1.7
2005-09-06 | Bull | 64.82 / 3.2% | HEAD 3% | TAIL 15% | B/ATR 1.7
2005-09-26 | Bull | 67.19 / 3.4% | HEAD 0% | TAIL 14% | B/ATR 1.7
2005-10-24 | Bull | 61.09 / 6.0% | HEAD 2% | TAIL 9% | B/ATR 2.4
2005-11-02 | Bull | 62.95 / 5.3% | HEAD 11% | TAIL 1% | B/ATR 2.1
2008-04-18 | Bull | 47.43 / 6.3% | HEAD 12% | TAIL 14% | B/ATR 2.5
2008-06-05 | Bull | 49.3 / 4.6% | HEAD 1% | TAIL 0% | B/ATR 1.7
2008-06-23 | Bull | 53.01 / 6.0% | HEAD 3% | TAIL 0% | B/ATR 2.3
2009-11-03 | Bull | 30.31 / 5.5% | HEAD 12% | TAIL 7% | B/ATR 1.5
2010-06-02 | Bull | 23.68 / 7.7% | HEAD 9% | TAIL 12% | B/ATR 1.5
2010-11-11 | Bull | 36.31 / 5.0% | HEAD 1% | TAIL 0% | B/ATR 1.5
2010-11-18 | Bull | 37.56 / 5.1% | HEAD 12% | TAIL 10% | B/ATR 1.6
2011-01-26 | Bull | 43.4 / 6.6% | HEAD 9% | TAIL 4% | B/ATR 2.3
2012-12-18 | Bull | 34.8 / 5.2% | HEAD 17% | TAIL 3% | B/ATR 1.8
2013-11-08 | Bull | 55.32 / 2.8% | HEAD 0% | TAIL 4% | B/ATR 1.5
2014-02-11 | Bull | 53.84 / 3.2% | HEAD 7% | TAIL 4% | B/ATR 1.6
2014-09-26 | Bull | 65.88 / 3.2% | HEAD 19% | TAIL 9% | B/ATR 1.6
2015-08-27 | Bull | 38.04 / 6.6% | HEAD 5% | TAIL 9% | B/ATR 1.8
2015-10-02 | Bull | 36.8 / 6.2% | HEAD 2% | TAIL 12% | B/ATR 1.5
2017-11-06 | Bull | 45.08 / 3.9% | HEAD 13% | TAIL 4% | B/ATR 1.7
2018-01-22 | Bull | 56.4 / 4.4% | HEAD 2% | TAIL 16% | B/ATR 2.5
