2012-08-16 | Bull | 20.0 / 17.6% | HEAD 5% | TAIL 0% | B/ATR nan
2012-08-17 | Bear | 19.49 / -1.5% | HEAD 59% | TAIL 100% | B/ATR nan
2012-08-20 | Bear | 19.5 / -0.5% | HEAD 267% | TAIL 267% | B/ATR nan
2012-08-21 | Bear | 19.42 / -0.4% | HEAD 375% | TAIL 213% | B/ATR nan
2012-08-22 | Bear | 19.28 / -0.3% | HEAD 233% | TAIL 133% | B/ATR nan
2012-08-23 | Bull | 19.52 / 1.4% | HEAD 48% | TAIL 233% | B/ATR nan
2012-08-24 | Bull | 19.4 / 1.3% | HEAD 283% | TAIL 4% | B/ATR nan
2012-08-27 | Bear | 19.4693 / -0.7% | HEAD 0% | TAIL 244% | B/ATR nan
2012-08-28 | Bull | 19.36 / 0.1% | HEAD 2400% | TAIL 500% | B/ATR nan
2012-08-29 | Bear | 19.44 / -0.6% | HEAD 9% | TAIL 55% | B/ATR nan
2012-08-30 | Bear | 19.26 / -1.2% | HEAD 0% | TAIL 0% | B/ATR nan
2012-08-31 | Bear | 19.4884 / -0.1% | HEAD 0% | TAIL 1538% | B/ATR nan
2012-09-04 | Bear | 19.39 / -0.5% | HEAD 10% | TAIL 72% | B/ATR nan
2012-09-05 | Bull | 19.76 / 1.4% | HEAD 85% | TAIL 33% | B/ATR nan
2012-09-06 | Bull | 20.3 / 2.5% | HEAD 24% | TAIL 46% | B/ATR nan
2012-09-07 | Bull | 20.52 / 0.6% | HEAD 142% | TAIL 258% | B/ATR nan
2012-09-10 | Bull | 21.4 / 2.1% | HEAD 100% | TAIL 20% | B/ATR nan
2012-09-11 | Bear | 21.25 / -0.1% | HEAD 400% | TAIL 633% | B/ATR nan
2012-09-12 | Bull | 21.31 / 0.9% | HEAD 95% | TAIL 0% | B/ATR nan
2012-09-13 | Bull | 21.5 / 0.2% | HEAD 620% | TAIL 900% | B/ATR nan
2012-09-14 | Bear | 21.72 / -0.6% | HEAD 308% | TAIL 92% | B/ATR nan
2012-09-17 | Bear | 21.26 / -2.2% | HEAD 100% | TAIL 21% | B/ATR nan
2012-09-18 | Bull | 22.0 / 3.1% | HEAD 0% | TAIL 5% | B/ATR nan
2012-09-19 | Bear | 21.22 / -3.5% | HEAD 0% | TAIL 3% | B/ATR nan
2012-09-20 | Bull | 21.31 / 0.8% | HEAD 182% | TAIL 24% | B/ATR nan
2012-09-21 | Bull | 22.12 / 2.8% | HEAD 22% | TAIL 2% | B/ATR nan
2012-09-24 | Bull | 22.74 / 1.3% | HEAD 87% | TAIL 63% | B/ATR nan
2012-09-25 | Bear | 22.73 / -1.0% | HEAD 357% | TAIL 317% | B/ATR nan
2012-09-26 | Bear | 21.93 / -4.6% | HEAD 22% | TAIL 15% | B/ATR nan
2012-09-27 | Bear | 21.91 / -1.8% | HEAD 88% | TAIL 100% | B/ATR nan
2012-09-28 | Bull | 22.0 / 1.1% | HEAD 32% | TAIL 52% | B/ATR nan
