2004-12-16 | Bull | 14.72 / 5.1% | HEAD 24% | TAIL 0% | B/ATR nan
2004-12-17 | Bull | 14.7 / 0.7% | HEAD 30% | TAIL 240% | B/ATR nan
2004-12-20 | Bull | 14.6 / 0.0% | HEAD 6000% | TAIL 0% | B/ATR nan
2004-12-21 | Bull | 15.6 / 6.8% | HEAD 1% | TAIL 20% | B/ATR nan
2004-12-22 | Bull | 15.95 / 3.9% | HEAD 25% | TAIL 75% | B/ATR nan
2004-12-23 | Bull | 16.5 / 1.9% | HEAD 117% | TAIL 33% | B/ATR nan
2004-12-27 | Bear | 15.98 / -4.4% | HEAD 4% | TAIL 31% | B/ATR nan
2004-12-28 | Bull | 15.98 / 0.3% | HEAD 520% | TAIL 160% | B/ATR nan
2004-12-29 | Bear | 15.71 / -1.8% | HEAD 28% | TAIL 55% | B/ATR nan
2004-12-30 | Bull | 15.75 / 0.0% | HEAD 400% | TAIL 6800% | B/ATR nan
2004-12-31 | Bull | 16.25 / 2.5% | HEAD 37% | TAIL 25% | B/ATR nan
2005-01-03 | Bear | 16.03 / -1.4% | HEAD 91% | TAIL 195% | B/ATR nan
2005-01-04 | Bear | 15.99 / -2.2% | HEAD 0% | TAIL 53% | B/ATR nan
2005-01-05 | Bear | 15.6 / -3.4% | HEAD 0% | TAIL 9% | B/ATR nan
2005-01-06 | Bull | 15.65 / 1.0% | HEAD 100% | TAIL 67% | B/ATR nan
2005-01-07 | Bear | 15.65 / -1.9% | HEAD 0% | TAIL 0% | B/ATR nan
2005-01-10 | Bull | 16.0 / 2.2% | HEAD 3% | TAIL 0% | B/ATR nan
2005-01-11 | Bear | 15.9 / -0.9% | HEAD 0% | TAIL 33% | B/ATR nan
2005-01-12 | Bear | 15.75 / -0.9% | HEAD 67% | TAIL 100% | B/ATR nan
2005-01-13 | Bull | 15.96 / 0.4% | HEAD 200% | TAIL 167% | B/ATR nan
2005-01-14 | Bull | 16.0 / 0.0% | HEAD 1000% | TAIL 1000% | B/ATR nan
2005-01-18 | Bear | 16.08 / -0.4% | HEAD 71% | TAIL 186% | B/ATR nan
2005-01-19 | Bear | 16.15 / -0.3% | HEAD 400% | TAIL 0% | B/ATR nan
2005-01-20 | Bear | 16.1 / -1.2% | HEAD 10% | TAIL 0% | B/ATR nan
2005-01-21 | Bear | 16.1 / -0.9% | HEAD 13% | TAIL 67% | B/ATR nan
2005-01-24 | Bear | 16.1 / -0.7% | HEAD 17% | TAIL 42% | B/ATR nan
2005-01-25 | Bear | 16.1 / -0.6% | HEAD 50% | TAIL 50% | B/ATR nan
2005-01-26 | Bear | 15.8 / -1.9% | HEAD 20% | TAIL 17% | B/ATR nan
2005-01-27 | Bear | 15.8 / -0.6% | HEAD 150% | TAIL 100% | B/ATR nan
