2005-06-17 | Bull | 19.56 / 4.3% | HEAD 9% | TAIL 0% | B/ATR 2.3
2005-08-02 | Bull | 28.25 / 13.0% | HEAD 9% | TAIL 0% | B/ATR 8.0
2005-09-26 | Bull | 29.6 / 4.9% | HEAD 10% | TAIL 0% | B/ATR 2.5
2005-10-13 | Bull | 27.21 / 7.0% | HEAD 1% | TAIL 0% | B/ATR 3.0
2005-11-03 | Bull | 29.32 / 7.2% | HEAD 7% | TAIL 5% | B/ATR 3.1
2006-02-07 | Bull | 35.54 / 3.9% | HEAD 1% | TAIL 4% | B/ATR 1.6
2006-05-04 | Bull | 37.77 / 7.6% | HEAD 1% | TAIL 0% | B/ATR 3.2
2006-12-05 | Bull | 41.25 / 4.7% | HEAD 1% | TAIL 0% | B/ATR 1.9
2007-09-20 | Bull | 44.79 / 4.2% | HEAD 0% | TAIL 14% | B/ATR 1.9
2008-03-07 | Bull | 46.58 / 5.2% | HEAD 4% | TAIL 0% | B/ATR 1.8
2008-10-28 | Bull | 24.46 / 18.5% | HEAD 1% | TAIL 6% | B/ATR 2.3
2009-05-04 | Bull | 22.9 / 11.2% | HEAD 14% | TAIL 0% | B/ATR 1.8
2009-06-25 | Bull | 30.14 / 8.0% | HEAD 0% | TAIL 4% | B/ATR 1.8
2010-04-23 | Bull | 48.45 / 4.2% | HEAD 2% | TAIL 14% | B/ATR 1.8
2010-06-02 | Bull | 46.55 / 4.5% | HEAD 2% | TAIL 0% | B/ATR 1.7
2010-07-07 | Bull | 47.76 / 4.9% | HEAD 2% | TAIL 9% | B/ATR 1.7
2010-11-11 | Bull | 67.65 / 3.5% | HEAD 12% | TAIL 0% | B/ATR 1.6
2011-03-08 | Bull | 77.68 / 2.9% | HEAD 2% | TAIL 5% | B/ATR 1.5
2011-03-21 | Bull | 80.64 / 4.0% | HEAD 12% | TAIL 19% | B/ATR 2.1
2012-05-16 | Bull | 49.51 / 15.1% | HEAD 6% | TAIL 0% | B/ATR 3.6
2012-10-01 | Bull | 50.21 / 5.9% | HEAD 12% | TAIL 8% | B/ATR 1.6
2012-12-31 | Bull | 32.94 / 9.3% | HEAD 5% | TAIL 12% | B/ATR 1.7
2013-01-03 | Bull | 36.35 / 12.0% | HEAD 19% | TAIL 14% | B/ATR 2.4
2013-01-14 | Bull | 44.08 / 10.1% | HEAD 16% | TAIL 0% | B/ATR 2.4
2013-02-04 | Bull | 35.54 / 12.5% | HEAD 9% | TAIL 19% | B/ATR 2.1
2013-05-20 | Bull | 49.21 / 10.7% | HEAD 10% | TAIL 1% | B/ATR 2.6
2013-07-15 | Bull | 52.3 / 6.1% | HEAD 10% | TAIL 0% | B/ATR 1.6
2013-07-31 | Bull | 65.5 / 10.1% | HEAD 17% | TAIL 8% | B/ATR 3.1
2013-12-03 | Bull | 76.65 / 6.3% | HEAD 4% | TAIL 15% | B/ATR 1.8
2014-10-14 | Bull | 47.95 / 8.0% | HEAD 0% | TAIL 16% | B/ATR 1.7
2014-10-21 | Bull | 52.81 / 11.5% | HEAD 7% | TAIL 1% | B/ATR 2.5
2015-03-20 | Bull | 42.1 / 10.3% | HEAD 4% | TAIL 6% | B/ATR 2.1
2015-05-19 | Bull | 51.25 / 7.5% | HEAD 0% | TAIL 5% | B/ATR 1.9
2015-08-27 | Bull | 57.63 / 6.6% | HEAD 20% | TAIL 0% | B/ATR 2.0
2015-10-05 | Bull | 59.11 / 5.3% | HEAD 6% | TAIL 7% | B/ATR 1.6
2016-06-23 | Bull | 62.33 / 4.5% | HEAD 1% | TAIL 6% | B/ATR 1.5
2017-05-05 | Bull | 69.4 / 5.4% | HEAD 16% | TAIL 0% | B/ATR 2.6
2017-05-08 | Bull | 72.03 / 4.4% | HEAD 0% | TAIL 6% | B/ATR 2.2
2017-06-01 | Bull | 74.11 / 2.9% | HEAD 10% | TAIL 0% | B/ATR 1.5
2017-10-06 | Bull | 75.25 / 10.3% | HEAD 7% | TAIL 1% | B/ATR 4.9
2018-01-22 | Bull | 75.0 / 3.2% | HEAD 5% | TAIL 0% | B/ATR 1.6
2018-01-23 | Bull | 77.36 / 3.3% | HEAD 6% | TAIL 12% | B/ATR 1.7
2018-01-29 | Bull | 83.29 / 4.4% | HEAD 10% | TAIL 0% | B/ATR 2.4
2018-02-06 | Bull | 81.18 / 2.9% | HEAD 14% | TAIL 16% | B/ATR 1.5
2018-03-02 | Bull | 94.72 / 3.2% | HEAD 9% | TAIL 12% | B/ATR 1.9
