2000-01-03 | Bull | 116.0 / 3.2% | HEAD 0% | TAIL 16% | B/ATR nan
2000-01-04 | Bear | 112.06 / -1.7% | HEAD 26% | TAIL 61% | B/ATR nan
2000-01-05 | Bull | 116.0 / 2.7% | HEAD 123% | TAIL 27% | B/ATR nan
2000-01-06 | Bear | 114.0 / -3.4% | HEAD 23% | TAIL 12% | B/ATR nan
2000-01-07 | Bear | 113.5 / -3.2% | HEAD 18% | TAIL 77% | B/ATR nan
2000-01-10 | Bull | 118.0 / 0.6% | HEAD 183% | TAIL 251% | B/ATR nan
2000-01-11 | Bull | 119.0 / 1.0% | HEAD 188% | TAIL 111% | B/ATR nan
2000-01-12 | Bear | 119.5 / -0.1% | HEAD 1983% | TAIL 1042% | B/ATR nan
2000-01-13 | Bear | 118.25 / -1.4% | HEAD 63% | TAIL 148% | B/ATR nan
2000-01-14 | Bear | 119.62 / -1.1% | HEAD 180% | TAIL 161% | B/ATR nan
2000-01-18 | Bear | 115.75 / -3.3% | HEAD 2% | TAIL 19% | B/ATR nan
2000-01-19 | Bull | 119.5 / 3.4% | HEAD 63% | TAIL 73% | B/ATR nan
2000-01-20 | Bear | 119.0 / -3.3% | HEAD 44% | TAIL 0% | B/ATR nan
2000-01-21 | Bear | 121.5 / -0.3% | HEAD 305% | TAIL 422% | B/ATR nan
2000-01-24 | Bear | 121.5 / -0.3% | HEAD 270% | TAIL 1335% | B/ATR nan
2000-01-25 | Bull | 119.12 / 2.0% | HEAD 16% | TAIL 32% | B/ATR nan
2000-01-26 | Bear | 116.75 / -1.9% | HEAD 38% | TAIL 32% | B/ATR nan
2000-01-27 | Bear | 113.5 / -3.8% | HEAD 10% | TAIL 42% | B/ATR nan
2000-01-28 | Bear | 111.56 / -1.1% | HEAD 121% | TAIL 126% | B/ATR nan
2000-01-31 | Bull | 112.25 / 0.8% | HEAD 64% | TAIL 199% | B/ATR nan
2000-02-01 | Bear | 110.0 / -2.1% | HEAD 45% | TAIL 37% | B/ATR nan
2000-02-02 | Bull | 113.5 / 1.3% | HEAD 154% | TAIL 109% | B/ATR nan
2000-02-03 | Bull | 117.12 / 1.8% | HEAD 18% | TAIL 44% | B/ATR nan
2000-02-04 | Bear | 115.62 / -2.2% | HEAD 10% | TAIL 32% | B/ATR nan
2000-02-07 | Bear | 114.12 / -1.6% | HEAD 46% | TAIL 53% | B/ATR nan
2000-02-08 | Bull | 118.81 / 1.6% | HEAD 10% | TAIL 40% | B/ATR nan
2000-02-09 | Bear | 117.37 / -1.4% | HEAD 46% | TAIL 23% | B/ATR nan
2000-02-10 | Bull | 119.12 / 1.2% | HEAD 0% | TAIL 57% | B/ATR nan
2000-02-11 | Bear | 115.37 / -3.1% | HEAD 10% | TAIL 22% | B/ATR nan
2000-02-14 | Bull | 116.06 / 0.1% | HEAD 517% | TAIL 2500% | B/ATR nan
2000-02-15 | Bull | 117.12 / 1.1% | HEAD 26% | TAIL 160% | B/ATR nan
2000-02-16 | Bear | 115.75 / -0.6% | HEAD 108% | TAIL 67% | B/ATR nan
2000-02-17 | Bull | 116.75 / 0.2% | HEAD 848% | TAIL 300% | B/ATR nan
2000-02-18 | Bear | 112.5 / -2.4% | HEAD 25% | TAIL 36% | B/ATR nan
2000-02-22 | Bear | 111.0 / -0.9% | HEAD 144% | TAIL 225% | B/ATR nan
2000-02-23 | Bear | 108.75 / -1.6% | HEAD 0% | TAIL 14% | B/ATR nan
2000-02-24 | Bull | 110.5 / 1.6% | HEAD 30% | TAIL 37% | B/ATR nan
2000-02-25 | Bear | 108.0 / -1.7% | HEAD 0% | TAIL 164% | B/ATR nan
2000-02-28 | Bear | 104.5 / -0.1% | HEAD 1567% | TAIL 467% | B/ATR nan
2000-02-29 | Bear | 102.75 / -2.7% | HEAD 0% | TAIL 64% | B/ATR nan
2000-03-01 | Bear | 100.25 / -1.7% | HEAD 200% | TAIL 11% | B/ATR nan
2000-03-02 | Bull | 103.12 / 2.6% | HEAD 89% | TAIL 38% | B/ATR nan
2000-03-03 | Bull | 108.0 / 0.7% | HEAD 267% | TAIL 159% | B/ATR nan
2000-03-06 | Bear | 103.06 / -6.3% | HEAD 15% | TAIL 30% | B/ATR nan
2000-03-07 | Bear | 103.0 / -2.8% | HEAD 33% | TAIL 44% | B/ATR nan
2000-03-08 | Bull | 106.25 / 3.2% | HEAD 19% | TAIL 8% | B/ATR nan
2000-03-09 | Bull | 108.0 / 1.4% | HEAD 0% | TAIL 159% | B/ATR nan
2000-03-10 | Bear | 105.25 / -2.2% | HEAD 58% | TAIL 11% | B/ATR nan
2000-03-13 | Bull | 107.69 / 3.5% | HEAD 36% | TAIL 41% | B/ATR nan
2000-03-14 | Bull | 108.62 / 0.8% | HEAD 159% | TAIL 44% | B/ATR nan
2000-03-15 | Bear | 107.0 / -0.5% | HEAD 150% | TAIL 176% | B/ATR nan
2000-03-16 | Bull | 109.0 / 0.0% | HEAD 8100% | TAIL 11300% | B/ATR nan
2000-03-17 | Bull | 110.0 / 1.6% | HEAD 97% | TAIL 32% | B/ATR nan
2000-03-20 | Bull | 112.75 / 2.5% | HEAD 23% | TAIL 2% | B/ATR nan
2000-03-21 | Bull | 113.5 / 0.6% | HEAD 172% | TAIL 126% | B/ATR nan
2000-03-22 | Bear | 114.25 / -0.2% | HEAD 348% | TAIL 152% | B/ATR nan
2000-03-23 | Bear | 115.25 / -0.5% | HEAD 0% | TAIL 585% | B/ATR nan
2000-03-24 | Bull | 120.62 / 4.6% | HEAD 31% | TAIL 6% | B/ATR nan
2000-03-27 | Bull | 126.87 / 1.5% | HEAD 74% | TAIL 20% | B/ATR nan
2000-03-28 | Bear | 122.5 / -2.6% | HEAD 38% | TAIL 14% | B/ATR nan
2000-03-29 | Bear | 119.0 / -2.7% | HEAD 4% | TAIL 15% | B/ATR nan
2000-03-30 | Bull | 122.75 / 3.3% | HEAD 6% | TAIL 5% | B/ATR nan
2000-03-31 | Bear | 118.37 / -3.5% | HEAD 27% | TAIL 31% | B/ATR nan
2000-04-03 | Bull | 122.0 / 1.7% | HEAD 19% | TAIL 28% | B/ATR nan
2000-04-04 | Bear | 121.19 / -0.3% | HEAD 1755% | TAIL 1977% | B/ATR nan
2000-04-05 | Bull | 125.0 / 3.7% | HEAD 17% | TAIL 17% | B/ATR nan
2000-04-06 | Bear | 122.75 / -0.6% | HEAD 600% | TAIL 17% | B/ATR nan
2000-04-07 | Bear | 123.12 / -0.3% | HEAD 576% | TAIL 426% | B/ATR nan
2000-04-10 | Bear | 122.12 / -2.1% | HEAD 24% | TAIL 21% | B/ATR nan
2000-04-11 | Bear | 119.37 / -1.9% | HEAD 0% | TAIL 69% | B/ATR nan
2000-04-12 | Bear | 113.75 / -4.9% | HEAD 0% | TAIL 35% | B/ATR nan
2000-04-13 | Bear | 110.62 / -1.7% | HEAD 96% | TAIL 33% | B/ATR nan
2000-04-14 | Bear | 105.0 / -4.4% | HEAD 61% | TAIL 44% | B/ATR nan
2000-04-17 | Bull | 111.87 / 7.7% | HEAD 5% | TAIL 7% | B/ATR nan
2000-04-18 | Bear | 111.5 / -0.7% | HEAD 383% | TAIL 192% | B/ATR nan
2000-04-19 | Bear | 105.0 / -4.3% | HEAD 0% | TAIL 46% | B/ATR nan
2000-04-20 | Bear | 104.0 / -1.0% | HEAD 25% | TAIL 194% | B/ATR nan
2000-04-24 | Bull | 106.5 / 4.4% | HEAD 15% | TAIL 17% | B/ATR nan
2000-04-25 | Bull | 112.5 / 5.6% | HEAD 8% | TAIL 1% | B/ATR nan
2000-04-26 | Bear | 110.5 / -1.8% | HEAD 72% | TAIL 75% | B/ATR nan
2000-04-27 | Bull | 110.62 / 1.0% | HEAD 223% | TAIL 72% | B/ATR nan
2000-04-28 | Bear | 111.5 / -0.4% | HEAD 138% | TAIL 276% | B/ATR nan
2000-05-01 | Bear | 112.0 / -0.4% | HEAD 138% | TAIL 312% | B/ATR nan
2000-05-02 | Bull | 111.37 / 0.3% | HEAD 608% | TAIL 84% | B/ATR nan
2000-05-03 | Bear | 108.12 / -2.2% | HEAD 26% | TAIL 66% | B/ATR nan
2000-05-04 | Bear | 107.62 / -1.4% | HEAD 5% | TAIL 29% | B/ATR nan
2000-05-05 | Bull | 107.87 / 1.2% | HEAD 140% | TAIL 10% | B/ATR nan
2000-05-08 | Bull | 109.75 / 1.6% | HEAD 37% | TAIL 26% | B/ATR nan
2000-05-09 | Bear | 109.0 / -1.4% | HEAD 8% | TAIL 50% | B/ATR nan
2000-05-10 | Bear | 103.0 / -2.4% | HEAD 8% | TAIL 38% | B/ATR nan
2000-05-11 | Bull | 104.44 / 0.4% | HEAD 695% | TAIL 184% | B/ATR nan
2000-05-12 | Bull | 104.44 / 0.7% | HEAD 190% | TAIL 72% | B/ATR nan
2000-05-15 | Bull | 104.19 / 0.2% | HEAD 358% | TAIL 1053% | B/ATR nan
2000-05-16 | Bull | 109.0 / 3.7% | HEAD 6% | TAIL 3% | B/ATR nan
2000-05-17 | Bull | 107.87 / 0.3% | HEAD 270% | TAIL 373% | B/ATR nan
2000-05-18 | Bear | 106.06 / -0.1% | HEAD 1983% | TAIL 2283% | B/ATR nan
2000-05-19 | Bull | 106.44 / 0.4% | HEAD 279% | TAIL 279% | B/ATR nan
2000-05-22 | Bull | 109.25 / 3.1% | HEAD 0% | TAIL 79% | B/ATR nan
2000-05-23 | Bear | 107.37 / -1.5% | HEAD 61% | TAIL 15% | B/ATR nan
2000-05-24 | Bull | 109.62 / 2.9% | HEAD 12% | TAIL 74% | B/ATR nan
2000-05-25 | Bear | 106.5 / -3.6% | HEAD 44% | TAIL 3% | B/ATR nan
2000-05-26 | Bull | 106.94 / 1.4% | HEAD 17% | TAIL 65% | B/ATR nan
2000-05-30 | Bull | 110.94 / 3.0% | HEAD 2% | TAIL 2% | B/ATR nan
2000-05-31 | Bear | 107.31 / -2.9% | HEAD 8% | TAIL 4% | B/ATR nan
2000-06-01 | Bear | 106.0 / -1.5% | HEAD 88% | TAIL 32% | B/ATR nan
2000-06-02 | Bear | 108.81 / -0.2% | HEAD 395% | TAIL 626% | B/ATR nan
2000-06-05 | Bull | 112.81 / 4.0% | HEAD 32% | TAIL 0% | B/ATR nan
2000-06-06 | Bull | 112.37 / 0.1% | HEAD 1875% | TAIL 833% | B/ATR nan
2000-06-07 | Bull | 121.0 / 7.6% | HEAD 9% | TAIL 12% | B/ATR nan
2000-06-08 | Bull | 119.75 / 0.3% | HEAD 674% | TAIL 492% | B/ATR nan
2000-06-09 | Bear | 119.69 / -0.2% | HEAD 489% | TAIL 456% | B/ATR nan
2000-06-12 | Bear | 118.84 / -0.2% | HEAD 471% | TAIL 0% | B/ATR nan
2000-06-13 | Bull | 119.31 / 0.4% | HEAD 143% | TAIL 482% | B/ATR nan
2000-06-14 | Bear | 116.0 / -2.4% | HEAD 39% | TAIL 17% | B/ATR nan
2000-06-15 | Bull | 116.81 / 0.7% | HEAD 270% | TAIL 16% | B/ATR nan
2000-06-16 | Bear | 113.25 / -2.6% | HEAD 45% | TAIL 0% | B/ATR nan
2000-06-19 | Bull | 120.37 / 6.1% | HEAD 0% | TAIL 4% | B/ATR nan
2000-06-20 | Bear | 116.37 / -3.0% | HEAD 19% | TAIL 28% | B/ATR nan
2000-06-21 | Bear | 114.5 / -0.9% | HEAD 36% | TAIL 94% | B/ATR nan
2000-06-22 | Bear | 111.81 / -2.0% | HEAD 8% | TAIL 24% | B/ATR 0.5
2000-06-23 | Bear | 111.87 / -1.4% | HEAD 7% | TAIL 65% | B/ATR 0.3
2000-06-26 | Bull | 114.41 / 1.2% | HEAD 95% | TAIL 9% | B/ATR 0.3
2000-06-27 | Bear | 109.75 / -1.7% | HEAD 64% | TAIL 53% | B/ATR 0.4
2000-06-28 | Bull | 113.78 / 3.4% | HEAD 37% | TAIL 3% | B/ATR 0.8
2000-06-29 | Bull | 114.0 / 2.0% | HEAD 16% | TAIL 75% | B/ATR 0.5
2000-06-30 | Bear | 109.56 / -2.8% | HEAD 16% | TAIL 30% | B/ATR 0.7
2000-07-03 | Bull | 109.5 / 0.7% | HEAD 49% | TAIL 59% | B/ATR 0.2
2000-07-05 | Bear | 105.0 / -0.6% | HEAD 0% | TAIL 626% | B/ATR 0.1
2000-07-06 | Bear | 101.25 / -3.6% | HEAD 3% | TAIL 33% | B/ATR 0.8
