2000-06-07 | Bull | 121.0 / 7.6% | HEAD 9% | TAIL 12% | B/ATR 1.8
2001-01-03 | Bull | 94.62 / 13.0% | HEAD 3% | TAIL 0% | B/ATR 2.4
2001-12-05 | Bull | 121.4 / 3.9% | HEAD 13% | TAIL 4% | B/ATR 1.5
2002-03-01 | Bull | 103.02 / 4.5% | HEAD 2% | TAIL 2% | B/ATR 1.6
2003-03-17 | Bull | 82.46 / 5.7% | HEAD 5% | TAIL 4% | B/ATR 1.9
2003-09-02 | Bull | 85.76 / 4.1% | HEAD 6% | TAIL 3% | B/ATR 1.8
2005-07-07 | Bull | 77.38 / 3.0% | HEAD 7% | TAIL 7% | B/ATR 1.7
2007-04-25 | Bull | 101.46 / 2.7% | HEAD 9% | TAIL 1% | B/ATR 2.0
2007-05-18 | Bull | 107.99 / 2.0% | HEAD 3% | TAIL 11% | B/ATR 1.6
2008-02-26 | Bull | 114.38 / 4.5% | HEAD 12% | TAIL 7% | B/ATR 1.8
2008-07-18 | Bull | 129.89 / 3.2% | HEAD 3% | TAIL 10% | B/ATR 1.6
2009-10-09 | Bull | 125.93 / 2.9% | HEAD 2% | TAIL 4% | B/ATR 1.6
2010-05-12 | Bull | 132.68 / 4.3% | HEAD 3% | TAIL 3% | B/ATR 3.0
2010-05-25 | Bull | 124.52 / 2.5% | HEAD 14% | TAIL 0% | B/ATR 1.5
2010-07-07 | Bull | 127.0 / 2.9% | HEAD 3% | TAIL 0% | B/ATR 1.6
2010-07-20 | Bull | 126.55 / 2.9% | HEAD 0% | TAIL 1% | B/ATR 1.6
2011-01-24 | Bull | 159.63 / 2.7% | HEAD 4% | TAIL 2% | B/ATR 2.2
2011-07-19 | Bull | 185.21 / 3.6% | HEAD 0% | TAIL 1% | B/ATR 3.0
2013-04-29 | Bull | 199.15 / 2.2% | HEAD 12% | TAIL 3% | B/ATR 1.7
2013-10-29 | Bull | 182.12 / 2.5% | HEAD 4% | TAIL 3% | B/ATR 1.6
2013-12-16 | Bull | 177.85 / 2.7% | HEAD 11% | TAIL 11% | B/ATR 1.7
2014-03-25 | Bull | 195.04 / 3.3% | HEAD 6% | TAIL 1% | B/ATR 2.4
2014-07-01 | Bull | 186.35 / 2.6% | HEAD 20% | TAIL 0% | B/ATR 1.8
2014-12-18 | Bull | 157.68 / 2.7% | HEAD 0% | TAIL 7% | B/ATR 1.7
2015-04-20 | Bull | 166.16 / 2.5% | HEAD 12% | TAIL 5% | B/ATR 1.5
2016-12-07 | Bull | 164.79 / 2.6% | HEAD 9% | TAIL 5% | B/ATR 1.8
2017-01-24 | Bull | 175.9 / 2.6% | HEAD 2% | TAIL 4% | B/ATR 2.0
2018-01-23 | Bull | 166.25 / 2.1% | HEAD 0% | TAIL 9% | B/ATR 1.9
2018-02-14 | Bull | 154.76 / 3.0% | HEAD 5% | TAIL 4% | B/ATR 2.2
2018-04-04 | Bull | 154.12 / 4.2% | HEAD 6% | TAIL 7% | B/ATR 2.4
