2016-12-01 | Bear | 19.15 / -5.4% | HEAD 25% | TAIL 14% | B/ATR nan
2016-12-02 | Bear | 18.45 / -3.9% | HEAD 42% | TAIL 23% | B/ATR nan
2016-12-05 | Bear | 15.4 / -16.5% | HEAD 7% | TAIL 30% | B/ATR nan
2016-12-06 | Bull | 16.65 / 4.5% | HEAD 43% | TAIL 69% | B/ATR nan
2016-12-07 | Bear | 16.89 / -4.1% | HEAD 0% | TAIL 33% | B/ATR nan
2016-12-08 | Bull | 17.2 / 1.8% | HEAD 32% | TAIL 67% | B/ATR nan
2016-12-09 | Bear | 16.95 / -3.1% | HEAD 0% | TAIL 17% | B/ATR nan
2016-12-12 | Bear | 16.82 / -2.2% | HEAD 30% | TAIL 18% | B/ATR nan
2016-12-13 | Bear | 16.75 / -1.5% | HEAD 0% | TAIL 17% | B/ATR nan
2016-12-14 | Bear | 16.4 / -3.5% | HEAD 0% | TAIL 10% | B/ATR nan
2016-12-15 | Bull | 16.87 / 3.7% | HEAD 22% | TAIL 40% | B/ATR nan
2016-12-16 | Bear | 16.47 / -2.5% | HEAD 35% | TAIL 63% | B/ATR nan
2016-12-19 | Bull | 16.73 / 0.5% | HEAD 212% | TAIL 187% | B/ATR nan
2016-12-20 | Bull | 17.67 / 4.5% | HEAD 13% | TAIL 13% | B/ATR nan
2016-12-21 | Bull | 18.06 / 1.6% | HEAD 14% | TAIL 175% | B/ATR nan
2016-12-22 | Bear | 18.13 / -0.4% | HEAD 429% | TAIL 171% | B/ATR nan
2016-12-23 | Bull | 18.55 / 1.0% | HEAD 159% | TAIL 42% | B/ATR nan
2016-12-27 | Bear | 18.55 / -1.5% | HEAD 100% | TAIL 18% | B/ATR nan
2016-12-28 | Bear | 18.6735 / -0.9% | HEAD 147% | TAIL 64% | B/ATR nan
2016-12-29 | Bear | 17.9 / -5.8% | HEAD 0% | TAIL 53% | B/ATR nan
2016-12-30 | Bull | 18.19 / 2.4% | HEAD 72% | TAIL 42% | B/ATR nan
2017-01-03 | Bull | 18.7 / 0.5% | HEAD 544% | TAIL 55% | B/ATR nan
2017-01-04 | Bear | 18.83 / -0.8% | HEAD 0% | TAIL 53% | B/ATR nan
2017-01-05 | Bull | 19.71 / 3.8% | HEAD 15% | TAIL 7% | B/ATR nan
2017-01-06 | Bear | 19.25 / -3.4% | HEAD 3% | TAIL 37% | B/ATR nan
2017-01-09 | Bear | 19.12 / -1.1% | HEAD 0% | TAIL 138% | B/ATR nan
2017-01-10 | Bear | 18.73 / -2.7% | HEAD 0% | TAIL 121% | B/ATR nan
2017-01-11 | Bear | 18.39 / -2.0% | HEAD 36% | TAIL 103% | B/ATR nan
2017-01-12 | Bear | 18.15 / -2.9% | HEAD 0% | TAIL 17% | B/ATR nan
2017-01-13 | Bear | 18.56 / -0.2% | HEAD 582% | TAIL 400% | B/ATR nan
2017-01-17 | Bull | 18.95 / 0.8% | HEAD 27% | TAIL 59% | B/ATR nan
2017-01-18 | Bear | 18.6789 / -1.7% | HEAD 31% | TAIL 9% | B/ATR nan
