2000-01-03 | Bear | 92.19 / -1.0% | HEAD 66% | TAIL 53% | B/ATR nan
2000-01-04 | Bear | 88.81 / -2.5% | HEAD 19% | TAIL 3% | B/ATR nan
2000-01-05 | Bull | 90.19 / 1.6% | HEAD 45% | TAIL 27% | B/ATR nan
2000-01-06 | Bull | 92.56 / 2.5% | HEAD 61% | TAIL 8% | B/ATR nan
2000-01-07 | Bull | 96.5 / 2.5% | HEAD 19% | TAIL 21% | B/ATR nan
2000-01-10 | Bear | 94.06 / -2.7% | HEAD 10% | TAIL 0% | B/ATR nan
2000-01-11 | Bull | 94.06 / 1.1% | HEAD 83% | TAIL 6% | B/ATR nan
2000-01-12 | Bear | 93.5 / -0.4% | HEAD 311% | TAIL 82% | B/ATR nan
2000-01-13 | Bear | 93.38 / -0.6% | HEAD 368% | TAIL 57% | B/ATR nan
2000-01-14 | Bear | 93.69 / -0.3% | HEAD 176% | TAIL 352% | B/ATR nan
2000-01-18 | Bear | 91.31 / -0.7% | HEAD 154% | TAIL 36% | B/ATR nan
2000-01-19 | Bull | 91.63 / 0.7% | HEAD 68% | TAIL 59% | B/ATR nan
2000-01-20 | Bear | 91.94 / -0.3% | HEAD 19% | TAIL 606% | B/ATR nan
2000-01-21 | Bear | 89.88 / -2.0% | HEAD 0% | TAIL 13% | B/ATR nan
2000-01-24 | Bear | 83.69 / -7.1% | HEAD 1% | TAIL 2% | B/ATR nan
2000-01-25 | Bull | 85.25 / 1.6% | HEAD 123% | TAIL 23% | B/ATR nan
2000-01-26 | Bear | 83.5 / -3.2% | HEAD 23% | TAIL 16% | B/ATR nan
2000-01-27 | Bear | 80.5 / -3.9% | HEAD 6% | TAIL 0% | B/ATR nan
2000-01-28 | Bull | 84.5 / 4.5% | HEAD 19% | TAIL 0% | B/ATR nan
2000-01-31 | Bull | 86.06 / 1.0% | HEAD 79% | TAIL 274% | B/ATR nan
2000-02-01 | Bear | 84.81 / -0.7% | HEAD 10% | TAIL 68% | B/ATR nan
2000-02-02 | Bear | 85.25 / -0.3% | HEAD 324% | TAIL 124% | B/ATR nan
2000-02-03 | Bear | 83.31 / -2.0% | HEAD 0% | TAIL 85% | B/ATR nan
2000-02-04 | Bull | 82.13 / 0.0% | HEAD 15000% | TAIL 3200% | B/ATR nan
2000-02-07 | Bear | 81.44 / -0.1% | HEAD 367% | TAIL 367% | B/ATR nan
2000-02-08 | Bear | 82.06 / -0.5% | HEAD 147% | TAIL 213% | B/ATR nan
2000-02-09 | Bear | 80.0 / -2.5% | HEAD 3% | TAIL 15% | B/ATR nan
2000-02-10 | Bear | 78.0 / -2.3% | HEAD 31% | TAIL 28% | B/ATR nan
2000-02-11 | Bear | 77.44 / -0.4% | HEAD 223% | TAIL 484% | B/ATR nan
2000-02-14 | Bull | 77.63 / 0.9% | HEAD 90% | TAIL 36% | B/ATR nan
2000-02-15 | Bull | 79.69 / 2.6% | HEAD 28% | TAIL 9% | B/ATR nan
2000-02-16 | Bear | 79.81 / -0.5% | HEAD 86% | TAIL 198% | B/ATR nan
2000-02-17 | Bear | 79.19 / -2.2% | HEAD 11% | TAIL 25% | B/ATR nan
2000-02-18 | Bear | 77.44 / -1.4% | HEAD 42% | TAIL 53% | B/ATR nan
2000-02-22 | Bull | 78.63 / 0.8% | HEAD 68% | TAIL 198% | B/ATR nan
2000-02-23 | Bear | 76.13 / -2.6% | HEAD 9% | TAIL 0% | B/ATR nan
2000-02-24 | Bear | 73.75 / -1.7% | HEAD 20% | TAIL 140% | B/ATR nan
2000-02-25 | Bear | 72.0 / -0.8% | HEAD 12% | TAIL 302% | B/ATR nan
2000-02-28 | Bull | 72.75 / 1.0% | HEAD 25% | TAIL 259% | B/ATR nan
2000-02-29 | Bear | 72.0 / -1.7% | HEAD 15% | TAIL 60% | B/ATR nan
2000-03-01 | Bull | 73.38 / 1.6% | HEAD 0% | TAIL 105% | B/ATR nan
2000-03-02 | Bull | 73.69 / 0.9% | HEAD 181% | TAIL 54% | B/ATR nan
2000-03-03 | Bear | 73.5 / -1.0% | HEAD 0% | TAIL 167% | B/ATR nan
2000-03-06 | Bear | 70.5 / -3.3% | HEAD 0% | TAIL 10% | B/ATR nan
2000-03-07 | Bear | 68.5 / -2.8% | HEAD 0% | TAIL 119% | B/ATR nan
2000-03-08 | Bull | 71.0 / 4.9% | HEAD 23% | TAIL 13% | B/ATR nan
2000-03-09 | Bull | 72.69 / 2.4% | HEAD 18% | TAIL 63% | B/ATR nan
2000-03-10 | Bear | 70.88 / -2.5% | HEAD 59% | TAIL 55% | B/ATR nan
2000-03-13 | Bull | 70.0 / 0.5% | HEAD 422% | TAIL 86% | B/ATR nan
2000-03-14 | Bull | 72.75 / 1.3% | HEAD 200% | TAIL 6% | B/ATR nan
2000-03-15 | Bull | 76.94 / 6.5% | HEAD 27% | TAIL 9% | B/ATR nan
2000-03-16 | Bear | 79.81 / -0.1% | HEAD 886% | TAIL 1243% | B/ATR nan
2000-03-17 | Bull | 79.56 / 0.3% | HEAD 152% | TAIL 448% | B/ATR nan
2000-03-20 | Bear | 79.31 / -0.5% | HEAD 66% | TAIL 197% | B/ATR nan
2000-03-21 | Bull | 80.25 / 2.7% | HEAD 35% | TAIL 0% | B/ATR nan
2000-03-22 | Bull | 82.25 / 1.7% | HEAD 0% | TAIL 87% | B/ATR nan
2000-03-23 | Bear | 80.0 / -1.5% | HEAD 55% | TAIL 5% | B/ATR nan
2000-03-24 | Bear | 72.25 / -1.0% | HEAD 133% | TAIL 275% | B/ATR nan
2000-03-27 | Bear | 69.75 / -1.8% | HEAD 20% | TAIL 90% | B/ATR nan
2000-03-28 | Bull | 72.0 / 3.7% | HEAD 0% | TAIL 2% | B/ATR nan
2000-03-29 | Bull | 71.06 / 1.4% | HEAD 107% | TAIL 0% | B/ATR nan
2000-03-30 | Bull | 70.75 / 0.3% | HEAD 463% | TAIL 132% | B/ATR nan
2000-03-31 | Bear | 70.25 / -1.1% | HEAD 17% | TAIL 25% | B/ATR nan
2000-04-03 | Bull | 72.25 / 2.3% | HEAD 31% | TAIL 39% | B/ATR nan
2000-04-04 | Bull | 76.5 / 4.5% | HEAD 8% | TAIL 4% | B/ATR nan
2000-04-05 | Bull | 77.5 / 2.0% | HEAD 0% | TAIL 83% | B/ATR nan
2000-04-06 | Bear | 74.88 / -3.1% | HEAD 3% | TAIL 24% | B/ATR nan
2000-04-07 | Bear | 74.06 / -2.9% | HEAD 6% | TAIL 11% | B/ATR nan
2000-04-10 | Bull | 76.0 / 1.6% | HEAD 42% | TAIL 10% | B/ATR nan
2000-04-11 | Bull | 78.25 / 3.0% | HEAD 6% | TAIL 16% | B/ATR nan
2000-04-12 | Bear | 77.0 / -0.9% | HEAD 245% | TAIL 136% | B/ATR nan
2000-04-13 | Bull | 76.25 / 0.2% | HEAD 363% | TAIL 689% | B/ATR nan
2000-04-14 | Bear | 73.31 / -2.4% | HEAD 27% | TAIL 41% | B/ATR nan
2000-04-17 | Bull | 77.5 / 2.5% | HEAD 27% | TAIL 7% | B/ATR nan
2000-04-18 | Bull | 81.5 / 1.9% | HEAD 33% | TAIL 50% | B/ATR nan
2000-04-19 | Bull | 82.25 / 0.9% | HEAD 51% | TAIL 108% | B/ATR nan
2000-04-20 | Bear | 81.63 / -0.6% | HEAD 162% | TAIL 76% | B/ATR nan
2000-04-24 | Bull | 83.88 / 2.9% | HEAD 24% | TAIL 0% | B/ATR nan
2000-04-25 | Bull | 84.31 / 0.7% | HEAD 21% | TAIL 171% | B/ATR nan
2000-04-26 | Bear | 82.75 / -1.6% | HEAD 0% | TAIL 57% | B/ATR nan
2000-04-27 | Bull | 83.0 / 0.9% | HEAD 51% | TAIL 59% | B/ATR nan
2000-04-28 | Bear | 82.5 / -0.3% | HEAD 100% | TAIL 224% | B/ATR nan
2000-05-01 | Bull | 82.69 / 0.5% | HEAD 398% | TAIL 84% | B/ATR nan
2000-05-02 | Bull | 84.19 / 2.5% | HEAD 18% | TAIL 3% | B/ATR nan
2000-05-03 | Bear | 83.25 / -1.0% | HEAD 92% | TAIL 28% | B/ATR nan
2000-05-04 | Bull | 83.06 / 0.1% | HEAD 1667% | TAIL 1150% | B/ATR nan
2000-05-05 | Bull | 84.0 / 1.0% | HEAD 31% | TAIL 62% | B/ATR nan
2000-05-08 | Bull | 87.75 / 3.3% | HEAD 0% | TAIL 29% | B/ATR nan
2000-05-09 | Bear | 87.0 / -0.6% | HEAD 188% | TAIL 50% | B/ATR nan
2000-05-10 | Bear | 85.5 / -1.7% | HEAD 0% | TAIL 25% | B/ATR nan
2000-05-11 | Bear | 86.06 / -0.4% | HEAD 175% | TAIL 56% | B/ATR nan
2000-05-12 | Bear | 85.5 / -0.7% | HEAD 10% | TAIL 129% | B/ATR nan
2000-05-15 | Bull | 86.25 / 1.2% | HEAD 75% | TAIL 12% | B/ATR nan
2000-05-16 | Bull | 87.31 / 0.9% | HEAD 16% | TAIL 31% | B/ATR nan
2000-05-17 | Bull | 87.06 / 0.0% | HEAD 6300% | TAIL 14300% | B/ATR nan
2000-05-18 | Bull | 88.5 / 1.9% | HEAD 31% | TAIL 4% | B/ATR nan
2000-05-19 | Bear | 88.75 / -0.1% | HEAD 1367% | TAIL 3117% | B/ATR nan
2000-05-22 | Bear | 86.88 / -3.1% | HEAD 2% | TAIL 61% | B/ATR nan
2000-05-23 | Bear | 87.0 / -1.0% | HEAD 35% | TAIL 99% | B/ATR nan
2000-05-24 | Bull | 89.94 / 2.6% | HEAD 3% | TAIL 20% | B/ATR 0.8
2000-05-25 | Bull | 89.31 / 0.1% | HEAD 317% | TAIL 2600% | B/ATR 0.0
2000-05-26 | Bear | 88.13 / -1.5% | HEAD 23% | TAIL 18% | B/ATR 0.5
2000-05-30 | Bull | 88.94 / 0.9% | HEAD 0% | TAIL 141% | B/ATR 0.3
2000-05-31 | Bull | 89.5 / 0.3% | HEAD 0% | TAIL 303% | B/ATR 0.1
2000-06-01 | Bear | 87.69 / -1.7% | HEAD 16% | TAIL 28% | B/ATR 0.6
2000-06-02 | Bear | 84.0 / -4.0% | HEAD 0% | TAIL 43% | B/ATR 1.2
2000-06-05 | Bull | 84.0 / 0.6% | HEAD 250% | TAIL 188% | B/ATR 0.2
2000-06-06 | Bull | 84.13 / 0.8% | HEAD 98% | TAIL 79% | B/ATR 0.2
2000-06-07 | Bear | 83.69 / -1.6% | HEAD 28% | TAIL 0% | B/ATR 0.5
2000-06-08 | Bull | 84.88 / 1.4% | HEAD 5% | TAIL 68% | B/ATR 0.4
2000-06-09 | Bull | 86.13 / 1.3% | HEAD 121% | TAIL 17% | B/ATR 0.4
2000-06-12 | Bear | 84.77 / -2.3% | HEAD 32% | TAIL 4% | B/ATR 0.7
2000-06-13 | Bull | 88.0 / 2.6% | HEAD 22% | TAIL 8% | B/ATR 0.8
2000-06-14 | Bull | 89.75 / 0.4% | HEAD 35% | TAIL 203% | B/ATR 0.1
2000-06-15 | Bull | 90.63 / 0.7% | HEAD 59% | TAIL 89% | B/ATR 0.2
2000-06-16 | Bear | 89.56 / -0.6% | HEAD 76% | TAIL 36% | B/ATR 0.2
2000-06-19 | Bull | 90.19 / 0.5% | HEAD 27% | TAIL 157% | B/ATR 0.2
2000-06-20 | Bear | 88.56 / -2.0% | HEAD 3% | TAIL 27% | B/ATR 0.7
2000-06-21 | Bull | 89.88 / 1.3% | HEAD 50% | TAIL 0% | B/ATR 0.4
2000-06-22 | Bear | 88.56 / -1.3% | HEAD 0% | TAIL 26% | B/ATR 0.4
2000-06-23 | Bull | 89.75 / 1.1% | HEAD 20% | TAIL 13% | B/ATR 0.3
2000-06-26 | Bull | 95.5 / 3.4% | HEAD 0% | TAIL 10% | B/ATR 1.2
2000-06-27 | Bull | 97.94 / 2.8% | HEAD 10% | TAIL 2% | B/ATR 1.0
2000-06-28 | Bull | 98.08 / 1.1% | HEAD 21% | TAIL 18% | B/ATR 0.4
2000-06-29 | Bull | 98.56 / 0.6% | HEAD 146% | TAIL 123% | B/ATR 0.2
2000-06-30 | Bull | 101.9 / 4.0% | HEAD 3% | TAIL 40% | B/ATR 1.5
2000-07-03 | Bear | 101.1 / -0.2% | HEAD 0% | TAIL 580% | B/ATR 0.1
2000-07-05 | Bull | 101.0 / 0.2% | HEAD 200% | TAIL 460% | B/ATR 0.1
2000-07-06 | Bear | 99.69 / -0.3% | HEAD 129% | TAIL 161% | B/ATR 0.1
