2000-12-04 | Bull | 99.56 / 3.8% | HEAD 12% | TAIL 0% | B/ATR 1.6
2002-04-18 | Bull | 64.29 / 2.8% | HEAD 11% | TAIL 7% | B/ATR 1.5
2002-05-17 | Bull | 61.47 / 3.0% | HEAD 7% | TAIL 0% | B/ATR 1.5
2003-03-07 | Bull | 55.3 / 5.2% | HEAD 3% | TAIL 1% | B/ATR 1.8
2004-04-02 | Bull | 51.18 / 2.6% | HEAD 5% | TAIL 0% | B/ATR 1.6
2004-04-14 | Bull | 52.6 / 2.5% | HEAD 0% | TAIL 6% | B/ATR 1.6
2004-04-15 | Bull | 54.52 / 2.9% | HEAD 16% | TAIL 7% | B/ATR 2.0
2004-08-11 | Bull | 56.0 / 2.4% | HEAD 11% | TAIL 0% | B/ATR 1.7
2004-10-12 | Bull | 56.82 / 2.4% | HEAD 5% | TAIL 11% | B/ATR 1.8
2004-10-20 | Bull | 57.5 / 2.0% | HEAD 0% | TAIL 2% | B/ATR 1.6
2005-01-25 | Bull | 63.72 / 2.9% | HEAD 7% | TAIL 0% | B/ATR 2.3
2005-03-23 | Bull | 68.2 / 2.0% | HEAD 0% | TAIL 1% | B/ATR 1.7
2005-06-17 | Bull | 66.56 / 1.8% | HEAD 17% | TAIL 0% | B/ATR 1.5
2005-06-28 | Bull | 66.07 / 2.5% | HEAD 2% | TAIL 0% | B/ATR 2.2
2005-07-27 | Bull | 64.54 / 2.3% | HEAD 16% | TAIL 6% | B/ATR 2.0
2005-08-29 | Bull | 63.01 / 2.0% | HEAD 9% | TAIL 11% | B/ATR 1.6
2006-02-08 | Bull | 58.6 / 2.7% | HEAD 9% | TAIL 8% | B/ATR 1.7
2006-10-18 | Bull | 68.15 / 2.5% | HEAD 0% | TAIL 0% | B/ATR 2.9
2006-11-14 | Bull | 66.56 / 1.7% | HEAD 15% | TAIL 10% | B/ATR 1.9
2007-08-06 | Bull | 62.3 / 3.3% | HEAD 3% | TAIL 0% | B/ATR 2.7
2008-03-17 | Bull | 64.04 / 3.9% | HEAD 10% | TAIL 0% | B/ATR 2.6
2008-05-29 | Bull | 66.42 / 2.6% | HEAD 14% | TAIL 11% | B/ATR 1.9
2008-09-30 | Bull | 69.28 / 2.6% | HEAD 11% | TAIL 5% | B/ATR 1.8
2008-10-13 | Bull | 62.68 / 7.2% | HEAD 3% | TAIL 12% | B/ATR 3.8
2011-02-28 | Bull | 61.44 / 2.5% | HEAD 1% | TAIL 11% | B/ATR 2.3
2011-04-20 | Bull | 64.39 / 1.9% | HEAD 13% | TAIL 3% | B/ATR 1.8
2011-04-27 | Bull | 65.57 / 3.3% | HEAD 1% | TAIL 2% | B/ATR 3.2
2011-05-12 | Bull | 67.19 / 1.7% | HEAD 16% | TAIL 19% | B/ATR 1.7
2011-08-23 | Bull | 64.97 / 2.3% | HEAD 1% | TAIL 7% | B/ATR 1.7
2012-07-17 | Bull | 69.0 / 1.7% | HEAD 16% | TAIL 20% | B/ATR 1.7
2012-10-17 | Bull | 71.0 / 1.8% | HEAD 14% | TAIL 14% | B/ATR 1.9
2012-10-18 | Bull | 72.52 / 2.3% | HEAD 13% | TAIL 3% | B/ATR 2.5
2013-05-14 | Bull | 86.97 / 1.4% | HEAD 9% | TAIL 0% | B/ATR 1.6
2013-07-19 | Bull | 92.23 / 2.2% | HEAD 2% | TAIL 10% | B/ATR 2.0
2014-02-11 | Bull | 92.97 / 2.1% | HEAD 0% | TAIL 7% | B/ATR 1.7
2014-03-25 | Bull | 97.38 / 1.8% | HEAD 19% | TAIL 0% | B/ATR 1.5
2014-10-08 | Bull | 104.91 / 2.4% | HEAD 5% | TAIL 16% | B/ATR 2.3
2014-10-30 | Bull | 107.04 / 1.8% | HEAD 1% | TAIL 14% | B/ATR 1.5
2016-01-26 | Bull | 101.18 / 4.0% | HEAD 4% | TAIL 3% | B/ATR 2.6
2016-06-30 | Bull | 121.3 / 1.8% | HEAD 5% | TAIL 1% | B/ATR 1.6
2016-12-12 | Bull | 115.36 / 2.4% | HEAD 1% | TAIL 4% | B/ATR 2.1
2017-02-23 | Bull | 121.7 / 1.8% | HEAD 9% | TAIL 2% | B/ATR 1.7
2017-05-15 | Bull | 126.99 / 2.1% | HEAD 14% | TAIL 3% | B/ATR 2.1
2017-07-18 | Bull | 134.46 / 2.2% | HEAD 17% | TAIL 19% | B/ATR 2.3
2017-10-17 | Bull | 140.79 / 2.3% | HEAD 11% | TAIL 20% | B/ATR 2.2
