2011-02-11 | Bear | 31.05 / -2.1% | HEAD 68% | TAIL 46% | B/ATR nan
2011-02-14 | Bear | 30.7 / -1.1% | HEAD 71% | TAIL 0% | B/ATR nan
2011-02-15 | Bull | 30.94 / 0.1% | HEAD 525% | TAIL 425% | B/ATR nan
2011-02-16 | Bear | 30.72 / -1.1% | HEAD 118% | TAIL 18% | B/ATR nan
2011-02-17 | Bear | 30.55 / -0.4% | HEAD 315% | TAIL 31% | B/ATR nan
2011-02-18 | Bull | 31.37 / 2.3% | HEAD 3% | TAIL 35% | B/ATR nan
2011-02-22 | Bear | 30.72 / -1.3% | HEAD 69% | TAIL 2% | B/ATR nan
2011-02-23 | Bear | 30.42 / -1.1% | HEAD 41% | TAIL 50% | B/ATR nan
2011-02-24 | Bear | 30.46 / -0.3% | HEAD 111% | TAIL 178% | B/ATR nan
2011-02-25 | Bear | 30.5 / -0.1% | HEAD 733% | TAIL 667% | B/ATR nan
2011-02-28 | Bear | 30.5 / -0.2% | HEAD 314% | TAIL 114% | B/ATR nan
2011-03-01 | Bear | 30.45 / -0.7% | HEAD 65% | TAIL 110% | B/ATR nan
2011-03-02 | Bull | 30.57 / 0.0% | HEAD 1200% | TAIL 3100% | B/ATR nan
2011-03-03 | Bull | 30.77 / 0.3% | HEAD 0% | TAIL 167% | B/ATR nan
2011-03-04 | Bull | 30.85 / 0.2% | HEAD 178% | TAIL 280% | B/ATR nan
2011-03-07 | Bear | 30.9 / -0.1% | HEAD 250% | TAIL 500% | B/ATR nan
2011-03-08 | Bull | 30.97 / 0.6% | HEAD 41% | TAIL 0% | B/ATR nan
2011-03-09 | Bear | 30.75 / -0.5% | HEAD 53% | TAIL 7% | B/ATR nan
2011-03-10 | Bear | 30.1 / -2.0% | HEAD 0% | TAIL 57% | B/ATR nan
2011-03-11 | Bull | 30.1 / 0.0% | HEAD 3800% | TAIL 1300% | B/ATR nan
2011-03-14 | Bear | 29.99 / -0.0% | HEAD 2200% | TAIL 1900% | B/ATR nan
2011-03-15 | Bull | 29.88 / 0.2% | HEAD 457% | TAIL 300% | B/ATR nan
2011-03-16 | Bull | 30.05 / 0.5% | HEAD 69% | TAIL 81% | B/ATR nan
2011-03-17 | Bear | 30.15 / -0.2% | HEAD 420% | TAIL 180% | B/ATR nan
2011-03-18 | Bull | 30.5 / 1.0% | HEAD 0% | TAIL 45% | B/ATR nan
2011-03-21 | Bull | 30.82 / 0.9% | HEAD 62% | TAIL 45% | B/ATR nan
2011-03-22 | Bear | 30.7 / -0.6% | HEAD 40% | TAIL 65% | B/ATR nan
2011-03-23 | Bear | 30.02 / -1.7% | HEAD 27% | TAIL 14% | B/ATR nan
2011-03-24 | Bear | 30.05 / -0.2% | HEAD 300% | TAIL 300% | B/ATR nan
2011-03-25 | Bear | 29.52 / -1.6% | HEAD 16% | TAIL 4% | B/ATR nan
2011-03-28 | Bear | 29.62 / -0.4% | HEAD 158% | TAIL 50% | B/ATR nan
2011-03-29 | Bull | 29.79 / 0.1% | HEAD 237% | TAIL 525% | B/ATR nan
2011-03-30 | Bear | 29.69 / -0.6% | HEAD 11% | TAIL 61% | B/ATR nan
2011-03-31 | Bear | 29.64 / -0.5% | HEAD 44% | TAIL 81% | B/ATR nan
2011-04-01 | Bear | 29.5 / -1.0% | HEAD 21% | TAIL 3% | B/ATR nan
2011-04-04 | Bull | 29.44 / 0.0% | HEAD 2600% | TAIL 1900% | B/ATR nan
2011-04-05 | Bear | 29.44 / -0.2% | HEAD 300% | TAIL 880% | B/ATR nan
2011-04-06 | Bull | 29.46 / 0.0% | HEAD 300% | TAIL 2500% | B/ATR nan
2011-04-07 | Bear | 29.22 / -1.0% | HEAD 13% | TAIL 30% | B/ATR nan
2011-04-08 | Bull | 29.33 / 0.4% | HEAD 82% | TAIL 91% | B/ATR nan
2011-04-11 | Bear | 29.25 / -0.2% | HEAD 220% | TAIL 360% | B/ATR nan
2011-04-12 | Bear | 28.73 / -1.3% | HEAD 38% | TAIL 124% | B/ATR nan
2011-04-13 | Bull | 28.83 / 0.3% | HEAD 211% | TAIL 89% | B/ATR nan
2011-04-14 | Bull | 29.12 / 1.1% | HEAD 12% | TAIL 67% | B/ATR nan
2011-04-15 | Bear | 28.88 / -0.8% | HEAD 17% | TAIL 83% | B/ATR nan
2011-04-18 | Bear | 28.52 / -0.9% | HEAD 18% | TAIL 107% | B/ATR nan
2011-04-19 | Bull | 28.78 / 0.7% | HEAD 42% | TAIL 32% | B/ATR nan
2011-04-20 | Bull | 29.45 / 1.6% | HEAD 32% | TAIL 40% | B/ATR nan
2011-04-21 | Bull | 29.63 / 1.1% | HEAD 97% | TAIL 81% | B/ATR nan
2011-04-25 | Bear | 29.36 / -1.5% | HEAD 0% | TAIL 64% | B/ATR nan
2011-04-26 | Bear | 29.12 / -1.4% | HEAD 12% | TAIL 17% | B/ATR nan
2011-04-27 | Bear | 28.86 / -1.5% | HEAD 43% | TAIL 25% | B/ATR nan
2011-04-28 | Bear | 28.83 / -0.0% | HEAD 1100% | TAIL 1400% | B/ATR nan
2011-04-29 | Bear | 28.58 / -1.6% | HEAD 54% | TAIL 50% | B/ATR nan
2011-05-02 | Bull | 28.82 / 0.3% | HEAD 189% | TAIL 389% | B/ATR nan
2011-05-03 | Bear | 28.19 / -2.3% | HEAD 8% | TAIL 22% | B/ATR nan
2011-05-04 | Bear | 27.96 / -0.9% | HEAD 67% | TAIL 271% | B/ATR nan
2011-05-05 | Bear | 27.98 / -0.1% | HEAD 600% | TAIL 1425% | B/ATR nan
2011-05-06 | Bear | 28.0 / -0.3% | HEAD 413% | TAIL 188% | B/ATR nan
2011-05-09 | Bull | 28.29 / 0.6% | HEAD 89% | TAIL 56% | B/ATR nan
2011-05-10 | Bull | 28.52 / 0.9% | HEAD 68% | TAIL 76% | B/ATR nan
2011-05-11 | Bear | 28.31 / -0.8% | HEAD 45% | TAIL 136% | B/ATR nan
2011-05-12 | Bull | 28.45 / 0.9% | HEAD 0% | TAIL 152% | B/ATR nan
2011-05-13 | Bear | 27.93 / -1.6% | HEAD 0% | TAIL 41% | B/ATR nan
2011-05-16 | Bear | 27.54 / -1.9% | HEAD 81% | TAIL 27% | B/ATR nan
2011-05-17 | Bear | 27.5 / -0.4% | HEAD 110% | TAIL 630% | B/ATR nan
2011-05-18 | Bear | 27.56 / -0.8% | HEAD 52% | TAIL 67% | B/ATR nan
2011-05-19 | Bull | 28.29 / 2.2% | HEAD 8% | TAIL 25% | B/ATR nan
2011-05-20 | Bull | 28.5 / 0.9% | HEAD 160% | TAIL 112% | B/ATR nan
2011-05-23 | Bear | 28.33 / -0.3% | HEAD 200% | TAIL 175% | B/ATR nan
2011-05-24 | Bull | 29.06 / 1.9% | HEAD 0% | TAIL 11% | B/ATR nan
2011-05-25 | Bull | 29.02 / 0.1% | HEAD 650% | TAIL 450% | B/ATR nan
2011-05-26 | Bear | 28.69 / -1.4% | HEAD 29% | TAIL 20% | B/ATR nan
2011-05-27 | Bull | 29.18 / 1.0% | HEAD 0% | TAIL 143% | B/ATR nan
2011-05-31 | Bear | 29.29 / -0.8% | HEAD 96% | TAIL 121% | B/ATR nan
2011-06-01 | Bear | 29.0 / -1.4% | HEAD 18% | TAIL 37% | B/ATR nan
2011-06-02 | Bull | 29.38 / 0.8% | HEAD 0% | TAIL 309% | B/ATR nan
2011-06-03 | Bull | 29.75 / 2.4% | HEAD 1% | TAIL 48% | B/ATR nan
2011-06-06 | Bear | 29.52 / -0.3% | HEAD 212% | TAIL 337% | B/ATR nan
2011-06-07 | Bull | 29.79 / 0.7% | HEAD 86% | TAIL 76% | B/ATR nan
2011-06-08 | Bull | 29.73 / 0.5% | HEAD 87% | TAIL 80% | B/ATR nan
2011-06-09 | Bear | 29.69 / -0.1% | HEAD 566% | TAIL 167% | B/ATR nan
2011-06-10 | Bear | 29.53 / -0.7% | HEAD 50% | TAIL 48% | B/ATR nan
2011-06-13 | Bear | 29.45 / -0.6% | HEAD 182% | TAIL 147% | B/ATR nan
2011-06-14 | Bull | 29.5 / 0.3% | HEAD 400% | TAIL 389% | B/ATR nan
2011-06-15 | Bear | 29.36 / -0.2% | HEAD 383% | TAIL 783% | B/ATR nan
2011-06-16 | Bear | 29.21 / -0.6% | HEAD 21% | TAIL 73% | B/ATR nan
2011-06-17 | Bull | 29.7 / 1.2% | HEAD 12% | TAIL 62% | B/ATR nan
2011-06-20 | Bull | 29.61 / 0.0% | HEAD 599% | TAIL 2100% | B/ATR nan
2011-06-21 | Bear | 29.62 / -0.3% | HEAD 0% | TAIL 350% | B/ATR nan
2011-06-22 | Bull | 29.62 / 0.0% | HEAD 3500% | TAIL 1750% | B/ATR nan
