2000-12-13 | Bull | 24.81 / 6.7% | HEAD 12% | TAIL 0% | B/ATR 1.6
2001-03-01 | Bull | 27.92 / 6.0% | HEAD 5% | TAIL 10% | B/ATR 1.7
2002-02-14 | Bull | 33.13 / 3.5% | HEAD 2% | TAIL 0% | B/ATR 1.7
2002-04-04 | Bull | 34.86 / 6.1% | HEAD 7% | TAIL 0% | B/ATR 2.8
2002-07-24 | Bull | 31.35 / 6.6% | HEAD 3% | TAIL 3% | B/ATR 2.6
2002-12-10 | Bull | 34.47 / 4.5% | HEAD 1% | TAIL 6% | B/ATR 1.7
2003-01-31 | Bull | 33.4 / 4.5% | HEAD 3% | TAIL 1% | B/ATR 1.7
2003-11-03 | Bull | 34.9 / 2.8% | HEAD 1% | TAIL 7% | B/ATR 1.6
2003-12-18 | Bull | 36.82 / 2.8% | HEAD 10% | TAIL 17% | B/ATR 1.8
2004-03-29 | Bull | 39.36 / 2.5% | HEAD 3% | TAIL 0% | B/ATR 1.7
2004-04-22 | Bull | 42.41 / 4.3% | HEAD 0% | TAIL 0% | B/ATR 3.2
2004-11-04 | Bull | 44.02 / 2.0% | HEAD 10% | TAIL 7% | B/ATR 1.6
2004-11-22 | Bull | 45.24 / 1.9% | HEAD 10% | TAIL 19% | B/ATR 1.6
2004-12-14 | Bull | 44.16 / 2.0% | HEAD 16% | TAIL 2% | B/ATR 1.6
2005-01-18 | Bull | 44.98 / 2.0% | HEAD 0% | TAIL 10% | B/ATR 1.6
2005-04-29 | Bull | 44.95 / 2.2% | HEAD 0% | TAIL 12% | B/ATR 1.7
2006-07-10 | Bull | 48.45 / 1.8% | HEAD 7% | TAIL 9% | B/ATR 1.6
2007-08-01 | Bull | 52.2 / 2.3% | HEAD 3% | TAIL 0% | B/ATR 2.0
2007-08-06 | Bull | 54.77 / 3.9% | HEAD 0% | TAIL 0% | B/ATR 3.5
2008-01-28 | Bull | 49.54 / 3.1% | HEAD 4% | TAIL 10% | B/ATR 1.8
2008-05-01 | Bull | 52.43 / 3.4% | HEAD 12% | TAIL 0% | B/ATR 2.0
2008-08-04 | Bull | 53.93 / 2.8% | HEAD 12% | TAIL 13% | B/ATR 1.7
2008-08-08 | Bull | 55.71 / 3.8% | HEAD 6% | TAIL 4% | B/ATR 2.3
2010-04-29 | Bull | 55.01 / 3.8% | HEAD 17% | TAIL 0% | B/ATR 2.9
2010-07-30 | Bull | 50.05 / 4.7% | HEAD 5% | TAIL 0% | B/ATR 2.8
2011-05-12 | Bull | 57.5 / 1.7% | HEAD 18% | TAIL 0% | B/ATR 1.5
2013-04-19 | Bull | 66.1 / 1.5% | HEAD 16% | TAIL 13% | B/ATR 1.6
2014-04-03 | Bull | 66.39 / 5.6% | HEAD 11% | TAIL 4% | B/ATR 4.5
2014-08-01 | Bull | 61.44 / 2.8% | HEAD 17% | TAIL 1% | B/ATR 2.1
2014-08-06 | Bull | 62.78 / 2.5% | HEAD 12% | TAIL 0% | B/ATR 1.9
2014-10-20 | Bull | 61.76 / 2.2% | HEAD 1% | TAIL 0% | B/ATR 1.6
2014-12-11 | Bull | 67.1 / 2.7% | HEAD 17% | TAIL 17% | B/ATR 2.1
2015-03-30 | Bull | 65.5 / 2.5% | HEAD 0% | TAIL 15% | B/ATR 1.7
2015-10-02 | Bull | 67.41 / 2.3% | HEAD 0% | TAIL 18% | B/ATR 1.7
2015-10-22 | Bull | 72.01 / 2.9% | HEAD 16% | TAIL 2% | B/ATR 2.1
2016-04-01 | Bull | 77.86 / 2.8% | HEAD 6% | TAIL 8% | B/ATR 1.8
2016-07-14 | Bull | 85.32 / 2.8% | HEAD 16% | TAIL 0% | B/ATR 2.0
2016-09-12 | Bull | 79.13 / 2.4% | HEAD 13% | TAIL 2% | B/ATR 1.6
2017-02-09 | Bull | 76.44 / 2.5% | HEAD 14% | TAIL 1% | B/ATR 1.7
2017-11-08 | Bull | 62.82 / 3.0% | HEAD 8% | TAIL 8% | B/ATR 1.8
2018-02-06 | Bull | 65.16 / 3.2% | HEAD 7% | TAIL 9% | B/ATR 1.9
2018-03-05 | Bull | 69.2 / 2.6% | HEAD 1% | TAIL 1% | B/ATR 1.5
