2000-01-03 | Bear | 27.47 / -0.5% | HEAD 87% | TAIL 147% | B/ATR nan
2000-01-04 | Bull | 29.06 / 2.4% | HEAD 64% | TAIL 36% | B/ATR nan
2000-01-05 | Bull | 30.25 / 1.7% | HEAD 0% | TAIL 150% | B/ATR nan
2000-01-06 | Bear | 31.25 / -0.8% | HEAD 200% | TAIL 300% | B/ATR nan
2000-01-07 | Bull | 32.25 / 2.4% | HEAD 100% | TAIL 51% | B/ATR nan
2000-01-10 | Bull | 37.25 / 2.1% | HEAD 84% | TAIL 83% | B/ATR nan
2000-01-11 | Bull | 40.25 / 3.9% | HEAD 83% | TAIL 0% | B/ATR nan
2000-01-12 | Bear | 37.5 / -2.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-13 | Bear | 35.88 / -3.0% | HEAD 0% | TAIL 56% | B/ATR nan
2000-01-14 | Bull | 39.75 / 8.9% | HEAD 23% | TAIL 0% | B/ATR nan
2000-01-18 | Bull | 39.0 / 2.6% | HEAD 0% | TAIL 37% | B/ATR nan
2000-01-19 | Bull | 38.0 / 0.0% | HEAD 10000% | TAIL 2500% | B/ATR nan
2000-01-20 | Bull | 39.0 / 3.3% | HEAD 0% | TAIL 20% | B/ATR nan
2000-01-21 | Bull | 41.0 / 2.5% | HEAD 38% | TAIL 25% | B/ATR nan
2000-01-24 | Bear | 42.0 / -0.6% | HEAD 300% | TAIL 400% | B/ATR nan
2000-01-25 | Bull | 45.0 / 7.1% | HEAD 50% | TAIL 17% | B/ATR nan
2000-01-26 | Bull | 47.5 / 1.1% | HEAD 300% | TAIL 0% | B/ATR nan
2000-01-27 | Bull | 48.75 / 2.1% | HEAD 100% | TAIL 150% | B/ATR nan
2000-01-28 | Bear | 46.0 / -6.1% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-31 | Bear | 46.25 / -1.1% | HEAD 0% | TAIL 300% | B/ATR nan
2000-02-01 | Bull | 47.75 / 3.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-02 | Bull | 52.5 / 2.9% | HEAD 17% | TAIL 50% | B/ATR nan
2000-02-03 | Bull | 56.75 / 7.3% | HEAD 0% | TAIL 16% | B/ATR nan
2000-02-04 | Bull | 62.25 / 2.7% | HEAD 15% | TAIL 23% | B/ATR nan
2000-02-07 | Bull | 69.5 / 0.5% | HEAD 163% | TAIL 789% | B/ATR nan
2000-02-08 | Bull | 74.75 / 0.3% | HEAD 148% | TAIL 1000% | B/ATR nan
2000-02-09 | Bear | 67.0 / -4.3% | HEAD 0% | TAIL 100% | B/ATR nan
2000-02-10 | Bull | 66.25 / 1.5% | HEAD 75% | TAIL 0% | B/ATR nan
2000-02-11 | Bear | 60.0 / -7.6% | HEAD 4% | TAIL 51% | B/ATR nan
2000-02-14 | Bull | 61.06 / 0.9% | HEAD 168% | TAIL 89% | B/ATR nan
2000-02-15 | Bear | 60.0 / -2.0% | HEAD 160% | TAIL 80% | B/ATR nan
2000-02-16 | Bear | 60.5 / -0.2% | HEAD 1246% | TAIL 0% | B/ATR nan
2000-02-17 | Bull | 62.0 / 2.1% | HEAD 80% | TAIL 0% | B/ATR nan
2000-02-18 | Bear | 59.25 / -4.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-22 | Bear | 61.5 / -1.2% | HEAD 33% | TAIL 167% | B/ATR nan
2000-02-23 | Bear | 61.75 / -1.2% | HEAD 0% | TAIL 33% | B/ATR nan
2000-02-24 | Bull | 68.0 / 3.8% | HEAD 10% | TAIL 30% | B/ATR nan
2000-02-25 | Bull | 65.87 / 0.4% | HEAD 452% | TAIL 448% | B/ATR nan
2000-02-28 | Bull | 64.5 / 3.6% | HEAD 44% | TAIL 33% | B/ATR nan
2000-02-29 | Bear | 64.12 / -0.4% | HEAD 252% | TAIL 48% | B/ATR nan
2000-03-01 | Bull | 65.25 / 2.0% | HEAD 60% | TAIL 0% | B/ATR nan
2000-03-02 | Bull | 71.0 / 3.3% | HEAD 44% | TAIL 0% | B/ATR nan
2000-03-03 | Bear | 73.75 / -0.3% | HEAD 0% | TAIL 700% | B/ATR nan
2000-03-06 | Bull | 73.62 / 2.3% | HEAD 54% | TAIL 0% | B/ATR nan
2000-03-07 | Bear | 73.0 / -1.4% | HEAD 200% | TAIL 0% | B/ATR nan
2000-03-08 | Bear | 67.5 / -2.2% | HEAD 0% | TAIL 100% | B/ATR nan
2000-03-09 | Bear | 62.63 / -5.1% | HEAD 0% | TAIL 19% | B/ATR nan
2000-03-10 | Bull | 69.0 / 2.2% | HEAD 0% | TAIL 133% | B/ATR nan
2000-03-13 | Bear | 65.37 / -0.2% | HEAD 0% | TAIL 2592% | B/ATR nan
2000-03-14 | Bull | 75.0 / 15.5% | HEAD 10% | TAIL 0% | B/ATR nan
2000-03-15 | Bull | 72.0 / 0.0% | HEAD 5000% | TAIL 30000% | B/ATR nan
2000-03-16 | Bear | 62.5 / -7.7% | HEAD 0% | TAIL 14% | B/ATR nan
2000-03-17 | Bull | 65.75 / 2.7% | HEAD 0% | TAIL 114% | B/ATR nan
2000-03-20 | Bull | 68.0 / 0.7% | HEAD 400% | TAIL 0% | B/ATR nan
2000-03-21 | Bear | 66.75 / -0.4% | HEAD 800% | TAIL 1148% | B/ATR nan
2000-03-22 | Bull | 66.0 / 1.5% | HEAD 0% | TAIL 50% | B/ATR nan
2000-03-23 | Bull | 64.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-24 | Bull | 70.0 / 7.7% | HEAD 50% | TAIL 0% | B/ATR nan
2000-03-27 | Bear | 67.5 / -2.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-28 | Bull | 66.0 / 0.8% | HEAD 0% | TAIL 200% | B/ATR nan
2000-03-29 | Bear | 62.5 / -1.6% | HEAD 50% | TAIL 0% | B/ATR nan
2000-03-30 | Bull | 64.0 / 1.6% | HEAD 200% | TAIL 0% | B/ATR nan
2000-03-31 | Bear | 65.5 / -1.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-03 | Bear | 60.25 / -5.9% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-04 | Bear | 55.0 / -6.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-05 | Bull | 58.0 / 8.4% | HEAD 17% | TAIL 0% | B/ATR nan
2000-04-06 | Bear | 60.63 / -0.7% | HEAD 160% | TAIL 0% | B/ATR nan
2000-04-07 | Bull | 62.0 / 0.0% | HEAD 20000% | TAIL 0% | B/ATR nan
2000-04-10 | Bear | 59.5 / -2.5% | HEAD 67% | TAIL 0% | B/ATR nan
2000-04-11 | Bear | 58.0 / -0.9% | HEAD 0% | TAIL 150% | B/ATR nan
2000-04-12 | Bull | 59.0 / 3.1% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-13 | Bull | 54.5 / 0.9% | HEAD 400% | TAIL 0% | B/ATR nan
2000-04-14 | Bear | 50.75 / -2.4% | HEAD 25% | TAIL 0% | B/ATR nan
2000-04-17 | Bull | 51.0 / 5.2% | HEAD 20% | TAIL 18% | B/ATR nan
2000-04-18 | Bear | 52.0 / -3.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-19 | Bull | 56.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-20 | Bull | 57.0 / 0.9% | HEAD 200% | TAIL 100% | B/ATR nan
2000-04-24 | Bear | 54.75 / -2.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-25 | Bull | 58.13 / 0.6% | HEAD 469% | TAIL 19% | B/ATR nan
2000-04-26 | Bear | 62.31 / -2.4% | HEAD 29% | TAIL 0% | B/ATR nan
2000-04-27 | Bear | 63.5 / -1.2% | HEAD 0% | TAIL 67% | B/ATR nan
2000-04-28 | Bull | 65.12 / 0.1% | HEAD 3133% | TAIL 0% | B/ATR nan
2000-05-01 | Bull | 66.0 / 0.0% | HEAD 15000% | TAIL 8800% | B/ATR nan
2000-05-02 | Bull | 68.25 / 0.2% | HEAD 1346% | TAIL 0% | B/ATR nan
2000-05-03 | Bear | 65.62 / -4.6% | HEAD 0% | TAIL 84% | B/ATR nan
2000-05-04 | Bull | 66.19 / 2.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-05 | Bear | 64.0 / -0.8% | HEAD 0% | TAIL 362% | B/ATR nan
2000-05-08 | Bear | 66.12 / -0.2% | HEAD 0% | TAIL 477% | B/ATR nan
2000-05-09 | Bear | 62.5 / -2.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-10 | Bull | 64.0 / 2.2% | HEAD 69% | TAIL 192% | B/ATR nan
2000-05-11 | Bear | 61.0 / -2.4% | HEAD 100% | TAIL 0% | B/ATR nan
2000-05-12 | Bull | 62.88 / 0.6% | HEAD 361% | TAIL 0% | B/ATR nan
2000-05-15 | Bear | 63.0 / -1.9% | HEAD 27% | TAIL 40% | B/ATR nan
2000-05-16 | Bear | 63.0 / -0.8% | HEAD 0% | TAIL 0% | B/ATR nan
