2001-10-04 | Bull | 22.1 / 10.8% | HEAD 1% | TAIL 0% | B/ATR 1.9
2001-10-23 | Bull | 29.19 / 9.1% | HEAD 0% | TAIL 4% | B/ATR 2.1
2002-01-22 | Bull | 39.29 / 8.2% | HEAD 15% | TAIL 19% | B/ATR 2.3
2005-06-17 | Bull | 61.53 / 12.6% | HEAD 8% | TAIL 0% | B/ATR 6.1
2005-12-02 | Bull | 48.48 / 3.7% | HEAD 0% | TAIL 3% | B/ATR 1.6
2007-07-19 | Bull | 29.27 / 6.4% | HEAD 16% | TAIL 1% | B/ATR 2.8
2007-10-22 | Bull | 35.02 / 3.9% | HEAD 10% | TAIL 13% | B/ATR 1.9
2008-01-23 | Bull | 27.41 / 6.6% | HEAD 4% | TAIL 9% | B/ATR 1.8
2008-10-13 | Bull | 20.64 / 8.7% | HEAD 5% | TAIL 20% | B/ATR 1.7
2012-04-12 | Bull | 8.3 / 6.0% | HEAD 13% | TAIL 0% | B/ATR 1.5
2012-07-09 | Bull | 10.53 / 5.7% | HEAD 19% | TAIL 16% | B/ATR 1.7
2013-06-28 | Bull | 7.05 / 4.1% | HEAD 18% | TAIL 0% | B/ATR 1.6
2013-12-18 | Bull | 12.99 / 2.6% | HEAD 3% | TAIL 0% | B/ATR 1.6
2014-01-23 | Bull | 16.23 / 5.9% | HEAD 8% | TAIL 2% | B/ATR 3.7
2015-04-23 | Bull | 15.48 / 5.2% | HEAD 1% | TAIL 0% | B/ATR 2.6
2016-02-24 | Bull | 15.46 / 4.7% | HEAD 0% | TAIL 0% | B/ATR 2.0
2016-07-27 | Bull | 17.81 / 3.3% | HEAD 5% | TAIL 2% | B/ATR 1.7
2016-08-10 | Bull | 21.39 / 2.6% | HEAD 15% | TAIL 4% | B/ATR 1.6
2017-03-13 | Bull | 30.92 / 3.1% | HEAD 16% | TAIL 0% | B/ATR 2.0
2017-07-24 | Bull | 40.75 / 4.3% | HEAD 4% | TAIL 4% | B/ATR 2.9
2018-02-14 | Bull | 39.77 / 2.5% | HEAD 6% | TAIL 0% | B/ATR 1.6
