2000-01-03 | Bear | 148.9 / -3.3% | HEAD 0% | TAIL 18% | B/ATR nan
2000-01-04 | Bear | 144.7 / -2.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-05 | Bull | 146.0 / 0.8% | HEAD 67% | TAIL 0% | B/ATR nan
2000-01-06 | Bull | 146.1 / 0.1% | HEAD 0% | TAIL 700% | B/ATR nan
2000-01-07 | Bull | 150.0 / 2.1% | HEAD 16% | TAIL 0% | B/ATR nan
2000-01-10 | Bear | 151.0 / -1.3% | HEAD 125% | TAIL 0% | B/ATR nan
2000-01-11 | Bull | 152.5 / 0.9% | HEAD 71% | TAIL 0% | B/ATR nan
2000-01-12 | Bull | 154.6 / 1.3% | HEAD 20% | TAIL 5% | B/ATR nan
2000-01-13 | Bear | 152.1 / -1.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-14 | Bear | 151.0 / -0.3% | HEAD 0% | TAIL 250% | B/ATR nan
2000-01-18 | Bear | 148.6 / -0.9% | HEAD 0% | TAIL 114% | B/ATR nan
2000-01-19 | Bear | 147.5 / -1.4% | HEAD 67% | TAIL 90% | B/ATR nan
2000-01-20 | Bear | 142.3 / -3.9% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-21 | Bear | 141.5 / -0.4% | HEAD 0% | TAIL 340% | B/ATR nan
2000-01-24 | Bear | 137.5 / -2.8% | HEAD 12% | TAIL 25% | B/ATR nan
2000-01-25 | Bear | 134.7 / -2.0% | HEAD 0% | TAIL 25% | B/ATR nan
2000-01-26 | Bull | 155.0 / 3.3% | HEAD 70% | TAIL 0% | B/ATR nan
2000-01-27 | Bull | 155.6 / 0.7% | HEAD 27% | TAIL 136% | B/ATR nan
2000-01-28 | Bull | 155.0 / 0.0% | HEAD 50000% | TAIL 4000% | B/ATR nan
2000-01-31 | Bull | 164.0 / 5.9% | HEAD 11% | TAIL 4% | B/ATR nan
2000-02-01 | Bear | 162.3 / -0.4% | HEAD 14% | TAIL 114% | B/ATR nan
2000-02-02 | Bull | 164.0 / 0.6% | HEAD 680% | TAIL 50% | B/ATR nan
2000-02-03 | Bull | 167.1 / 1.7% | HEAD 14% | TAIL 0% | B/ATR nan
2000-02-04 | Bull | 167.1 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-07 | Bear | 161.9 / -1.3% | HEAD 0% | TAIL 43% | B/ATR nan
2000-02-08 | Bear | 158.2 / -1.6% | HEAD 0% | TAIL 8% | B/ATR nan
2000-02-09 | Bear | 155.0 / -2.0% | HEAD 0% | TAIL 53% | B/ATR nan
2000-02-10 | Bear | 147.6 / -4.2% | HEAD 0% | TAIL 2% | B/ATR nan
2000-02-11 | Bear | 145.5 / -0.2% | HEAD 400% | TAIL 500% | B/ATR nan
2000-02-14 | Bear | 140.1 / -2.7% | HEAD 0% | TAIL 15% | B/ATR nan
2000-02-15 | Bear | 137.5 / -2.8% | HEAD 33% | TAIL 0% | B/ATR nan
2000-02-16 | Bull | 140.6 / 2.3% | HEAD 45% | TAIL 0% | B/ATR nan
2000-02-17 | Bear | 138.9 / -1.5% | HEAD 95% | TAIL 138% | B/ATR nan
2000-02-18 | Bear | 138.5 / -0.3% | HEAD 225% | TAIL 375% | B/ATR nan
2000-02-22 | Bear | 134.4 / -2.3% | HEAD 0% | TAIL 13% | B/ATR nan
2000-02-23 | Bear | 134.3 / -0.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-24 | Bear | 133.0 / -1.0% | HEAD 0% | TAIL 77% | B/ATR nan
2000-02-25 | Bear | 131.9 / -0.3% | HEAD 75% | TAIL 100% | B/ATR nan
2000-02-28 | Bear | 130.4 / -0.5% | HEAD 14% | TAIL 400% | B/ATR nan
2000-02-29 | Bull | 130.8 / 0.0% | HEAD 2000% | TAIL 8000% | B/ATR nan
2000-03-01 | Bear | 128.8 / -0.9% | HEAD 8% | TAIL 25% | B/ATR nan
2000-03-02 | Bull | 129.5 / 0.4% | HEAD 0% | TAIL 200% | B/ATR nan
2000-03-03 | Bear | 128.1 / -1.1% | HEAD 0% | TAIL 21% | B/ATR nan
2000-03-06 | Bear | 122.3 / -3.3% | HEAD 7% | TAIL 17% | B/ATR nan
2000-03-07 | Bear | 113.5 / -4.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-08 | Bull | 117.1 / 3.2% | HEAD 11% | TAIL 56% | B/ATR nan
2000-03-09 | Bear | 115.5 / -1.4% | HEAD 0% | TAIL 63% | B/ATR nan
2000-03-10 | Bull | 116.0 / 0.4% | HEAD 300% | TAIL 0% | B/ATR nan
2000-03-13 | Bull | 116.0 / 0.9% | HEAD 30% | TAIL 50% | B/ATR nan
2000-03-14 | Bull | 118.0 / 1.7% | HEAD 25% | TAIL 25% | B/ATR nan
2000-03-15 | Bull | 119.3 / 1.1% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-16 | Bull | 131.9 / 9.9% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-17 | Bear | 127.5 / -2.7% | HEAD 43% | TAIL 29% | B/ATR nan
2000-03-20 | Bear | 125.0 / -2.0% | HEAD 0% | TAIL 16% | B/ATR nan
2000-03-21 | Bull | 126.1 / 1.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-22 | Bull | 131.5 / 4.1% | HEAD 29% | TAIL 0% | B/ATR nan
2000-03-23 | Bull | 132.0 / 0.3% | HEAD 25% | TAIL 400% | B/ATR nan
2000-03-24 | Bear | 131.8 / -0.2% | HEAD 300% | TAIL 300% | B/ATR nan
2000-03-27 | Bear | 129.5 / -0.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-28 | Bull | 131.4 / 1.5% | HEAD 58% | TAIL 5% | B/ATR nan
2000-03-29 | Bull | 135.8 / 3.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-30 | Bull | 145.8 / 7.4% | HEAD 7% | TAIL 0% | B/ATR nan
2000-03-31 | Bull | 145.5 / 0.0% | HEAD 33000% | TAIL 4000% | B/ATR nan
2000-04-03 | Bear | 142.9 / -1.1% | HEAD 0% | TAIL 63% | B/ATR nan
2000-04-04 | Bull | 145.5 / 2.1% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-05 | Bull | 149.4 / 3.4% | HEAD 12% | TAIL 10% | B/ATR nan
2000-04-06 | Bull | 151.3 / 1.3% | HEAD 37% | TAIL 47% | B/ATR nan
2000-04-07 | Bull | 154.3 / 2.0% | HEAD 7% | TAIL 13% | B/ATR nan
2000-04-10 | Bear | 151.4 / -1.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-11 | Bull | 152.2 / 0.5% | HEAD 13% | TAIL 175% | B/ATR nan
2000-04-12 | Bear | 149.8 / -1.4% | HEAD 32% | TAIL 14% | B/ATR nan
2000-04-13 | Bear | 149.3 / -0.4% | HEAD 150% | TAIL 0% | B/ATR nan
2000-04-14 | Bear | 144.9 / -1.8% | HEAD 0% | TAIL 35% | B/ATR nan
2000-04-17 | Bear | 142.8 / -0.8% | HEAD 0% | TAIL 83% | B/ATR nan
2000-04-18 | Bear | 143.5 / -0.2% | HEAD 67% | TAIL 600% | B/ATR nan
2000-04-19 | Bull | 142.9 / 0.9% | HEAD 0% | TAIL 8% | B/ATR nan
2000-04-20 | Bear | 140.3 / -1.1% | HEAD 0% | TAIL 31% | B/ATR nan
2000-04-24 | Bull | 139.1 / 0.1% | HEAD 300% | TAIL 0% | B/ATR nan
2000-04-25 | Bull | 142.5 / 2.4% | HEAD 15% | TAIL 0% | B/ATR nan
2000-04-26 | Bear | 141.5 / -0.4% | HEAD 0% | TAIL 240% | B/ATR nan
2000-04-27 | Bull | 142.0 / 1.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-28 | Bull | 145.0 / 2.1% | HEAD 0% | TAIL 3% | B/ATR nan
2000-05-01 | Bull | 148.0 / 2.1% | HEAD 87% | TAIL 0% | B/ATR nan
2000-05-02 | Bear | 145.0 / -2.0% | HEAD 17% | TAIL 0% | B/ATR nan
2000-05-03 | Bear | 140.1 / -2.7% | HEAD 38% | TAIL 0% | B/ATR nan
2000-05-04 | Bull | 139.3 / 0.2% | HEAD 567% | TAIL 0% | B/ATR nan
2000-05-05 | Bull | 139.7 / 0.1% | HEAD 300% | TAIL 250% | B/ATR nan
2000-05-08 | Bear | 139.3 / -0.2% | HEAD 0% | TAIL 167% | B/ATR nan
2000-05-09 | Bear | 137.5 / -1.3% | HEAD 39% | TAIL 0% | B/ATR nan
2000-05-10 | Bear | 137.3 / -0.1% | HEAD 300% | TAIL 150% | B/ATR nan
2000-05-11 | Bull | 139.5 / 1.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-12 | Bear | 138.1 / -0.6% | HEAD 111% | TAIL 11% | B/ATR nan
2000-05-15 | Bull | 142.0 / 2.1% | HEAD 34% | TAIL 10% | B/ATR nan
2000-05-16 | Bear | 141.3 / -0.4% | HEAD 0% | TAIL 360% | B/ATR nan
2000-05-17 | Bear | 137.5 / -1.6% | HEAD 13% | TAIL 0% | B/ATR nan
2000-05-18 | Bear | 138.1 / -0.1% | HEAD 0% | TAIL 1050% | B/ATR nan
2000-05-19 | Bull | 139.6 / 1.2% | HEAD 88% | TAIL 6% | B/ATR nan
2000-05-22 | Bull | 140.7 / 0.9% | HEAD 8% | TAIL 42% | B/ATR nan
2000-05-23 | Bull | 140.9 / 0.1% | HEAD 50% | TAIL 300% | B/ATR nan
2000-05-24 | Bull | 145.3 / 3.1% | HEAD 0% | TAIL 14% | B/ATR nan
2000-05-25 | Bear | 143.3 / -1.8% | HEAD 19% | TAIL 52% | B/ATR nan
2000-05-26 | Bull | 143.0 / 0.1% | HEAD 400% | TAIL 250% | B/ATR nan
2000-05-30 | Bull | 147.5 / 4.4% | HEAD 0% | TAIL 5% | B/ATR nan
2000-05-31 | Bear | 145.3 / -0.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-06-01 | Bull | 148.3 / 2.9% | HEAD 29% | TAIL 0% | B/ATR nan
2000-06-02 | Bull | 149.8 / 1.7% | HEAD 0% | TAIL 32% | B/ATR nan
2000-06-05 | Bear | 149.1 / -0.4% | HEAD 0% | TAIL 300% | B/ATR nan
2000-06-06 | Bear | 148.0 / -1.3% | HEAD 15% | TAIL 0% | B/ATR nan
2000-06-07 | Bull | 149.0 / 0.7% | HEAD 0% | TAIL 80% | B/ATR nan
2000-06-08 | Bear | 147.9 / -0.8% | HEAD 0% | TAIL 50% | B/ATR nan
2000-06-09 | Bull | 148.5 / 0.4% | HEAD 167% | TAIL 0% | B/ATR nan
2000-06-12 | Bear | 145.8 / -1.8% | HEAD 0% | TAIL 19% | B/ATR nan
2000-06-13 | Bear | 145.5 / -0.3% | HEAD 225% | TAIL 125% | B/ATR nan
2000-06-14 | Bull | 145.4 / 0.1% | HEAD 500% | TAIL 2300% | B/ATR nan
2000-06-15 | Bull | 147.7 / 1.9% | HEAD 11% | TAIL 0% | B/ATR nan
2000-06-16 | Bull | 149.8 / 1.2% | HEAD 0% | TAIL 11% | B/ATR nan
2000-06-19 | Bull | 150.0 / 0.7% | HEAD 0% | TAIL 60% | B/ATR nan
2000-06-20 | Bull | 150.0 / 0.3% | HEAD 300% | TAIL 100% | B/ATR nan
2000-06-21 | Bear | 149.1 / -0.3% | HEAD 0% | TAIL 25% | B/ATR nan
2000-06-22 | Bear | 147.3 / -1.2% | HEAD 22% | TAIL 0% | B/ATR 0.5
2000-06-23 | Bear | 145.6 / -1.2% | HEAD 0% | TAIL 29% | B/ATR 0.4
2000-06-26 | Bear | 139.9 / -3.8% | HEAD 0% | TAIL 16% | B/ATR 1.4
2000-06-27 | Bear | 139.4 / -0.6% | HEAD 22% | TAIL 44% | B/ATR 0.2
2000-06-28 | Bull | 143.8 / 3.2% | HEAD 0% | TAIL 9% | B/ATR 1.1
2000-06-29 | Bear | 143.0 / -0.6% | HEAD 12% | TAIL 0% | B/ATR 0.2
2000-06-30 | Bear | 141.6 / -1.3% | HEAD 33% | TAIL 17% | B/ATR 0.5
2000-07-03 | Bull | 142.2 / 0.8% | HEAD 0% | TAIL 0% | B/ATR 0.3
2000-07-05 | Bull | 143.3 / 0.6% | HEAD 187% | TAIL 62% | B/ATR 0.2
2000-07-06 | Bear | 141.1 / -1.5% | HEAD 0% | TAIL 50% | B/ATR 0.6
2000-07-07 | Bull | 143.9 / 1.5% | HEAD 5% | TAIL 19% | B/ATR 0.6
2000-07-10 | Bull | 146.8 / 2.2% | HEAD 6% | TAIL 0% | B/ATR 0.9
2000-07-11 | Bull | 147.3 / 0.3% | HEAD 20% | TAIL 60% | B/ATR 0.1
2000-07-12 | Bull | 147.1 / 0.1% | HEAD 900% | TAIL 400% | B/ATR 0.0
2000-07-13 | Bull | 147.8 / 0.7% | HEAD 20% | TAIL 50% | B/ATR 0.3
2000-07-14 | Bull | 150.6 / 1.6% | HEAD 13% | TAIL 4% | B/ATR 0.6
2000-07-17 | Bear | 149.0 / -1.0% | HEAD 67% | TAIL 47% | B/ATR 0.4
2000-07-18 | Bear | 148.5 / -1.0% | HEAD 20% | TAIL 0% | B/ATR 0.4
2000-07-19 | Bear | 147.5 / -0.9% | HEAD 0% | TAIL 0% | B/ATR 0.4
2000-07-20 | Bull | 151.0 / 1.8% | HEAD 15% | TAIL 4% | B/ATR 0.7
