2000-05-30 | Bull | 147.5 / 4.4% | HEAD 0% | TAIL 5% | B/ATR 1.5
2000-11-03 | Bull | 146.9 / 2.9% | HEAD 10% | TAIL 19% | B/ATR 1.5
2000-12-05 | Bull | 162.1 / 6.2% | HEAD 4% | TAIL 0% | B/ATR 3.3
2000-12-08 | Bull | 165.0 / 2.9% | HEAD 0% | TAIL 0% | B/ATR 1.6
2000-12-27 | Bull | 179.1 / 2.7% | HEAD 0% | TAIL 6% | B/ATR 1.5
2001-01-08 | Bull | 169.6 / 3.5% | HEAD 4% | TAIL 0% | B/ATR 1.8
2001-01-16 | Bull | 169.0 / 5.4% | HEAD 0% | TAIL 0% | B/ATR 2.6
2001-04-10 | Bull | 194.7 / 4.1% | HEAD 1% | TAIL 12% | B/ATR 1.9
2001-09-17 | Bull | 179.5 / 5.0% | HEAD 9% | TAIL 0% | B/ATR 2.4
2001-09-27 | Bull | 187.0 / 7.2% | HEAD 0% | TAIL 0% | B/ATR 3.5
2001-09-28 | Bull | 195.0 / 4.6% | HEAD 18% | TAIL 6% | B/ATR 2.3
2002-02-08 | Bull | 195.8 / 2.7% | HEAD 15% | TAIL 0% | B/ATR 1.5
2002-02-26 | Bull | 199.1 / 2.9% | HEAD 16% | TAIL 0% | B/ATR 1.7
2002-04-30 | Bull | 218.0 / 2.3% | HEAD 14% | TAIL 0% | B/ATR 1.7
2002-07-05 | Bull | 198.7 / 2.5% | HEAD 2% | TAIL 0% | B/ATR 1.7
2002-07-26 | Bull | 193.0 / 3.4% | HEAD 0% | TAIL 9% | B/ATR 2.1
2002-07-29 | Bull | 203.2 / 4.7% | HEAD 3% | TAIL 2% | B/ATR 2.9
2002-10-11 | Bull | 201.9 / 4.8% | HEAD 0% | TAIL 0% | B/ATR 2.5
2002-10-21 | Bull | 211.2 / 3.3% | HEAD 19% | TAIL 7% | B/ATR 1.8
2003-03-13 | Bull | 214.0 / 3.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2003-05-02 | Bull | 242.43 / 2.9% | HEAD 8% | TAIL 0% | B/ATR 1.9
2003-09-03 | Bull | 274.44 / 2.0% | HEAD 1% | TAIL 0% | B/ATR 1.6
2003-10-16 | Bull | 273.75 / 2.1% | HEAD 0% | TAIL 0% | B/ATR 1.7
2003-10-22 | Bull | 267.01 / 2.7% | HEAD 3% | TAIL 7% | B/ATR 2.1
2003-12-01 | Bull | 263.26 / 2.2% | HEAD 13% | TAIL 0% | B/ATR 1.6
2004-01-05 | Bull | 262.0 / 2.1% | HEAD 0% | TAIL 0% | B/ATR 1.5
2004-02-26 | Bull | 272.45 / 2.4% | HEAD 1% | TAIL 0% | B/ATR 1.8
2004-03-01 | Bull | 280.5 / 2.7% | HEAD 20% | TAIL 7% | B/ATR 2.1
2004-03-31 | Bull | 287.9 / 2.7% | HEAD 0% | TAIL 4% | B/ATR 2.1
2004-07-01 | Bull | 284.0 / 2.2% | HEAD 16% | TAIL 7% | B/ATR 1.6
2004-07-29 | Bull | 277.0 / 2.5% | HEAD 7% | TAIL 0% | B/ATR 1.9
2004-08-02 | Bull | 289.0 / 1.9% | HEAD 0% | TAIL 9% | B/ATR 1.5
2004-08-10 | Bull | 287.48 / 2.3% | HEAD 0% | TAIL 0% | B/ATR 1.7
2004-10-21 | Bull | 305.0 / 2.3% | HEAD 5% | TAIL 0% | B/ATR 1.9
2004-10-29 | Bull | 318.0 / 1.9% | HEAD 0% | TAIL 17% | B/ATR 1.6
2004-12-28 | Bull | 355.25 / 3.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2004-12-31 | Bull | 364.0 / 2.2% | HEAD 12% | TAIL 0% | B/ATR 2.0
2005-01-18 | Bull | 363.7 / 2.3% | HEAD 0% | TAIL 0% | B/ATR 1.9
2005-02-01 | Bull | 349.65 / 2.4% | HEAD 0% | TAIL 0% | B/ATR 1.9
2005-02-24 | Bull | 366.69 / 3.0% | HEAD 1% | TAIL 0% | B/ATR 2.3
2005-03-14 | Bull | 367.91 / 2.6% | HEAD 1% | TAIL 2% | B/ATR 1.9
2005-04-11 | Bull | 354.91 / 2.4% | HEAD 1% | TAIL 17% | B/ATR 1.7
2005-08-22 | Bull | 323.1 / 3.1% | HEAD 11% | TAIL 0% | B/ATR 2.1
2005-09-28 | Bull | 326.72 / 3.7% | HEAD 1% | TAIL 8% | B/ATR 2.5
2005-11-02 | Bull | 325.25 / 2.8% | HEAD 0% | TAIL 14% | B/ATR 1.9
2006-01-27 | Bull | 331.0 / 2.5% | HEAD 6% | TAIL 1% | B/ATR 2.0
2006-06-01 | Bull | 346.3 / 2.5% | HEAD 13% | TAIL 6% | B/ATR 2.0
2006-08-02 | Bull | 349.89 / 2.9% | HEAD 2% | TAIL 0% | B/ATR 2.2
2006-08-03 | Bull | 360.0 / 2.9% | HEAD 0% | TAIL 0% | B/ATR 2.2
2006-08-30 | Bull | 360.5 / 2.4% | HEAD 3% | TAIL 0% | B/ATR 1.8
2006-09-14 | Bull | 384.34 / 3.0% | HEAD 5% | TAIL 9% | B/ATR 2.4
2007-08-06 | Bull | 475.98 / 2.6% | HEAD 0% | TAIL 8% | B/ATR 1.7
2007-08-07 | Bull | 494.09 / 3.5% | HEAD 5% | TAIL 0% | B/ATR 2.4
2007-08-08 | Bull | 516.29 / 4.5% | HEAD 0% | TAIL 14% | B/ATR 3.2
2007-09-04 | Bull | 494.03 / 3.6% | HEAD 0% | TAIL 0% | B/ATR 2.1
2007-10-09 | Bull | 508.0 / 3.0% | HEAD 14% | TAIL 0% | B/ATR 1.7
2007-11-08 | Bull | 507.8 / 4.1% | HEAD 20% | TAIL 0% | B/ATR 2.0
2007-11-13 | Bull | 489.59 / 4.2% | HEAD 1% | TAIL 0% | B/ATR 1.9
2008-01-23 | Bull | 427.92 / 6.7% | HEAD 11% | TAIL 4% | B/ATR 2.0
2008-01-31 | Bull | 463.0 / 5.2% | HEAD 0% | TAIL 17% | B/ATR 1.7
2008-07-08 | Bull | 374.5 / 5.1% | HEAD 0% | TAIL 17% | B/ATR 1.7
2008-07-16 | Bull | 350.0 / 9.4% | HEAD 0% | TAIL 13% | B/ATR 2.8
2008-07-29 | Bull | 374.8 / 5.6% | HEAD 0% | TAIL 0% | B/ATR 1.8
2008-09-05 | Bull | 376.5 / 4.9% | HEAD 0% | TAIL 4% | B/ATR 1.5
2008-10-13 | Bull | 381.0 / 12.3% | HEAD 0% | TAIL 9% | B/ATR 2.8
2008-10-24 | Bull | 324.0 / 11.0% | HEAD 0% | TAIL 15% | B/ATR 1.8
2008-10-29 | Bull | 343.7 / 11.2% | HEAD 6% | TAIL 6% | B/ATR 1.9
2009-04-21 | Bull | 287.8 / 10.7% | HEAD 0% | TAIL 17% | B/ATR 1.5
2010-04-14 | Bull | 387.72 / 2.8% | HEAD 0% | TAIL 0% | B/ATR 1.7
2010-11-04 | Bull | 370.1 / 4.4% | HEAD 0% | TAIL 9% | B/ATR 1.8
2011-05-12 | Bull | 414.5 / 3.0% | HEAD 4% | TAIL 0% | B/ATR 2.1
2011-07-29 | Bull | 400.42 / 2.6% | HEAD 14% | TAIL 2% | B/ATR 1.7
2011-08-11 | Bull | 376.97 / 4.7% | HEAD 16% | TAIL 17% | B/ATR 2.8
2011-09-07 | Bull | 394.98 / 3.1% | HEAD 0% | TAIL 0% | B/ATR 1.7
2011-10-04 | Bull | 365.9 / 7.8% | HEAD 0% | TAIL 7% | B/ATR 3.4
2011-10-18 | Bull | 370.4 / 3.8% | HEAD 0% | TAIL 8% | B/ATR 1.7
2012-03-28 | Bull | 450.9 / 5.4% | HEAD 4% | TAIL 2% | B/ATR 3.5
2012-10-18 | Bull | 486.8 / 4.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2012-11-01 | Bull | 484.8 / 3.1% | HEAD 0% | TAIL 0% | B/ATR 2.3
2013-04-30 | Bull | 536.25 / 4.0% | HEAD 0% | TAIL 2% | B/ATR 3.1
2013-12-20 | Bull | 576.0 / 1.9% | HEAD 0% | TAIL 0% | B/ATR 2.1
