2000-01-03 | Bear | 75.94 / -1.9% | HEAD 52% | TAIL 17% | B/ATR nan
2000-01-04 | Bear | 73.0 / -2.3% | HEAD 61% | TAIL 7% | B/ATR nan
2000-01-05 | Bear | 71.75 / -0.5% | HEAD 279% | TAIL 445% | B/ATR nan
2000-01-06 | Bull | 74.0 / 1.7% | HEAD 105% | TAIL 80% | B/ATR nan
2000-01-07 | Bear | 70.5 / -4.4% | HEAD 0% | TAIL 77% | B/ATR nan
2000-01-10 | Bull | 74.38 / 2.9% | HEAD 53% | TAIL 56% | B/ATR nan
2000-01-11 | Bear | 72.31 / -2.6% | HEAD 129% | TAIL 29% | B/ATR nan
2000-01-12 | Bull | 74.0 / 1.0% | HEAD 308% | TAIL 283% | B/ATR nan
2000-01-13 | Bull | 77.88 / 4.0% | HEAD 0% | TAIL 38% | B/ATR nan
2000-01-14 | Bear | 73.25 / -5.0% | HEAD 32% | TAIL 19% | B/ATR nan
2000-01-18 | Bull | 73.56 / 0.2% | HEAD 783% | TAIL 1150% | B/ATR nan
2000-01-19 | Bear | 72.13 / -1.9% | HEAD 64% | TAIL 46% | B/ATR nan
2000-01-20 | Bear | 69.75 / -3.6% | HEAD 19% | TAIL 10% | B/ATR nan
2000-01-21 | Bear | 67.13 / -6.1% | HEAD 0% | TAIL 46% | B/ATR nan
2000-01-24 | Bull | 69.5 / 3.3% | HEAD 68% | TAIL 0% | B/ATR nan
2000-01-25 | Bear | 65.88 / -4.4% | HEAD 26% | TAIL 45% | B/ATR nan
2000-01-26 | Bear | 63.56 / -3.6% | HEAD 76% | TAIL 24% | B/ATR nan
2000-01-27 | Bull | 64.75 / 1.5% | HEAD 106% | TAIL 27% | B/ATR nan
2000-01-28 | Bear | 59.5 / -6.9% | HEAD 48% | TAIL 10% | B/ATR nan
2000-01-31 | Bull | 62.19 / 2.4% | HEAD 22% | TAIL 174% | B/ATR nan
2000-02-01 | Bull | 63.5 / 2.2% | HEAD 36% | TAIL 119% | B/ATR nan
2000-02-02 | Bull | 65.88 / 1.4% | HEAD 86% | TAIL 139% | B/ATR nan
2000-02-03 | Bull | 68.0 / 3.0% | HEAD 50% | TAIL 56% | B/ATR nan
2000-02-04 | Bear | 67.38 / -1.2% | HEAD 0% | TAIL 232% | B/ATR nan
2000-02-07 | Bull | 74.0 / 9.6% | HEAD 3% | TAIL 0% | B/ATR nan
2000-02-08 | Bull | 76.06 / 2.7% | HEAD 16% | TAIL 59% | B/ATR nan
2000-02-09 | Bear | 73.25 / -3.7% | HEAD 56% | TAIL 0% | B/ATR nan
2000-02-10 | Bear | 72.38 / -2.5% | HEAD 3% | TAIL 134% | B/ATR nan
2000-02-11 | Bear | 71.13 / -0.5% | HEAD 608% | TAIL 508% | B/ATR nan
2000-02-14 | Bear | 67.75 / -1.1% | HEAD 233% | TAIL 100% | B/ATR nan
2000-02-15 | Bear | 69.0 / -1.3% | HEAD 113% | TAIL 372% | B/ATR nan
2000-02-16 | Bear | 66.19 / -6.4% | HEAD 0% | TAIL 15% | B/ATR nan
2000-02-17 | Bear | 65.25 / -1.7% | HEAD 182% | TAIL 27% | B/ATR nan
2000-02-18 | Bear | 63.13 / -4.0% | HEAD 2% | TAIL 36% | B/ATR nan
2000-02-22 | Bull | 64.5 / 0.0% | HEAD 11300% | TAIL 13700% | B/ATR nan
2000-02-23 | Bull | 67.0 / 3.1% | HEAD 9% | TAIL 50% | B/ATR nan
2000-02-24 | Bull | 70.13 / 3.5% | HEAD 105% | TAIL 74% | B/ATR nan
2000-02-25 | Bull | 73.63 / 3.0% | HEAD 50% | TAIL 44% | B/ATR nan
2000-02-28 | Bull | 78.06 / 5.1% | HEAD 38% | TAIL 69% | B/ATR nan
2000-02-29 | Bull | 96.0 / 21.5% | HEAD 23% | TAIL 0% | B/ATR nan
2000-03-01 | Bear | 101.8 / -0.2% | HEAD 4850% | TAIL 350% | B/ATR nan
2000-03-02 | Bear | 97.5 / -2.5% | HEAD 4% | TAIL 220% | B/ATR nan
2000-03-03 | Bear | 93.5 / -1.2% | HEAD 232% | TAIL 204% | B/ATR nan
2000-03-06 | Bull | 96.0 / 2.7% | HEAD 80% | TAIL 0% | B/ATR nan
2000-03-07 | Bull | 105.0 / 9.9% | HEAD 11% | TAIL 17% | B/ATR nan
2000-03-08 | Bear | 101.0 / -1.9% | HEAD 115% | TAIL 138% | B/ATR nan
2000-03-09 | Bull | 110.0 / 11.1% | HEAD 12% | TAIL 19% | B/ATR nan
2000-03-10 | Bear | 106.4 / -1.5% | HEAD 188% | TAIL 213% | B/ATR nan
2000-03-13 | Bull | 118.0 / 15.7% | HEAD 2% | TAIL 3% | B/ATR nan
2000-03-14 | Bear | 111.5 / -10.8% | HEAD 14% | TAIL 15% | B/ATR nan
2000-03-15 | Bull | 113.0 / 1.3% | HEAD 400% | TAIL 147% | B/ATR nan
2000-03-16 | Bull | 113.4 / 2.2% | HEAD 62% | TAIL 121% | B/ATR nan
2000-03-17 | Bull | 128.9 / 13.7% | HEAD 0% | TAIL 3% | B/ATR nan
2000-03-20 | Bull | 135.6 / 5.0% | HEAD 114% | TAIL 32% | B/ATR nan
2000-03-21 | Bear | 119.3 / -12.9% | HEAD 6% | TAIL 41% | B/ATR nan
2000-03-22 | Bull | 141.0 / 9.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-23 | Bear | 134.6 / -1.8% | HEAD 25% | TAIL 129% | B/ATR nan
2000-03-24 | Bull | 134.75 / 0.6% | HEAD 1116% | TAIL 75% | B/ATR nan
2000-03-27 | Bull | 139.5 / 0.0% | HEAD 15000% | TAIL 20000% | B/ATR nan
2000-03-28 | Bear | 136.5 / -2.8% | HEAD 41% | TAIL 26% | B/ATR nan
2000-03-29 | Bear | 134.5 / -1.5% | HEAD 0% | TAIL 430% | B/ATR nan
2000-03-30 | Bear | 121.0 / -4.4% | HEAD 50% | TAIL 89% | B/ATR nan
2000-03-31 | Bull | 126.0 / 1.8% | HEAD 91% | TAIL 168% | B/ATR nan
2000-04-03 | Bear | 120.0 / -4.6% | HEAD 0% | TAIL 50% | B/ATR nan
2000-04-04 | Bear | 114.8 / -6.7% | HEAD 0% | TAIL 106% | B/ATR nan
2000-04-05 | Bull | 131.0 / 12.3% | HEAD 10% | TAIL 1% | B/ATR nan
2000-04-06 | Bull | 130.9 / 0.7% | HEAD 333% | TAIL 389% | B/ATR nan
2000-04-07 | Bear | 128.4 / -3.2% | HEAD 52% | TAIL 45% | B/ATR nan
2000-04-10 | Bear | 121.6 / -6.8% | HEAD 4% | TAIL 0% | B/ATR nan
2000-04-11 | Bear | 116.6 / -0.8% | HEAD 656% | TAIL 144% | B/ATR nan
2000-04-12 | Bear | 110.9 / -5.0% | HEAD 40% | TAIL 10% | B/ATR nan
2000-04-13 | Bear | 106.5 / -7.4% | HEAD 47% | TAIL 6% | B/ATR nan
2000-04-14 | Bear | 96.06 / -9.5% | HEAD 39% | TAIL 37% | B/ATR nan
2000-04-17 | Bull | 114.0 / 14.9% | HEAD 27% | TAIL 15% | B/ATR nan
2000-04-18 | Bull | 126.5 / 2.8% | HEAD 43% | TAIL 163% | B/ATR nan
2000-04-19 | Bear | 121.0 / -4.7% | HEAD 17% | TAIL 0% | B/ATR nan
2000-04-20 | Bull | 125.3 / 1.0% | HEAD 54% | TAIL 385% | B/ATR nan
2000-04-24 | Bull | 123.4 / 1.5% | HEAD 206% | TAIL 44% | B/ATR nan
2000-04-25 | Bull | 129.9 / 3.2% | HEAD 82% | TAIL 5% | B/ATR nan
2000-04-26 | Bear | 128.8 / -0.9% | HEAD 667% | TAIL 42% | B/ATR nan
2000-04-27 | Bull | 135.0 / 5.5% | HEAD 47% | TAIL 24% | B/ATR nan
2000-04-28 | Bull | 139.3 / 2.6% | HEAD 86% | TAIL 80% | B/ATR nan
2000-05-01 | Bear | 131.8 / -6.2% | HEAD 55% | TAIL 10% | B/ATR nan
2000-05-02 | Bear | 62.75 / -4.9% | HEAD 73% | TAIL 23% | B/ATR nan
2000-05-03 | Bull | 62.31 / 0.1% | HEAD 3867% | TAIL 3333% | B/ATR nan
2000-05-04 | Bear | 61.75 / -0.8% | HEAD 550% | TAIL 400% | B/ATR nan
2000-05-05 | Bear | 60.5 / -2.4% | HEAD 67% | TAIL 29% | B/ATR nan
2000-05-08 | Bear | 58.38 / -3.9% | HEAD 45% | TAIL 3% | B/ATR nan
2000-05-09 | Bear | 55.44 / -5.4% | HEAD 59% | TAIL 53% | B/ATR nan
2000-05-10 | Bear | 53.0 / -3.4% | HEAD 53% | TAIL 103% | B/ATR nan
2000-05-11 | Bull | 58.44 / 7.2% | HEAD 40% | TAIL 47% | B/ATR nan
2000-05-12 | Bull | 60.75 / 3.2% | HEAD 114% | TAIL 0% | B/ATR nan
2000-05-15 | Bull | 63.13 / 3.5% | HEAD 6% | TAIL 115% | B/ATR nan
2000-05-16 | Bull | 64.63 / 1.2% | HEAD 208% | TAIL 251% | B/ATR nan
2000-05-17 | Bear | 65.5 / -0.7% | HEAD 184% | TAIL 425% | B/ATR nan
2000-05-18 | Bear | 64.75 / -1.1% | HEAD 92% | TAIL 92% | B/ATR nan
2000-05-19 | Bear | 60.56 / -6.6% | HEAD 9% | TAIL 18% | B/ATR nan
2000-05-22 | Bull | 60.63 / 0.1% | HEAD 1957% | TAIL 5529% | B/ATR nan
2000-05-23 | Bear | 58.38 / -5.7% | HEAD 26% | TAIL 4% | B/ATR nan
2000-05-24 | Bull | 60.31 / 2.8% | HEAD 31% | TAIL 85% | B/ATR 0.2
2000-05-25 | Bull | 64.63 / 1.0% | HEAD 495% | TAIL 79% | B/ATR 0.1
2000-05-26 | Bear | 64.63 / -1.0% | HEAD 202% | TAIL 102% | B/ATR 0.1
2000-05-30 | Bear | 68.75 / -1.1% | HEAD 51% | TAIL 159% | B/ATR 0.1
2000-05-31 | Bear | 69.94 / -0.1% | HEAD 4583% | TAIL 733% | B/ATR 0.0
2000-06-01 | Bull | 73.5 / 2.1% | HEAD 42% | TAIL 33% | B/ATR 0.2
2000-06-02 | Bear | 79.25 / -1.6% | HEAD 101% | TAIL 234% | B/ATR 0.2
2000-06-05 | Bull | 81.19 / 3.4% | HEAD 49% | TAIL 65% | B/ATR 0.3
2000-06-06 | Bear | 77.06 / -1.8% | HEAD 174% | TAIL 39% | B/ATR 0.2
2000-06-07 | Bear | 76.75 / -0.4% | HEAD 303% | TAIL 745% | B/ATR 0.0
2000-06-08 | Bull | 80.75 / 2.2% | HEAD 11% | TAIL 7% | B/ATR 0.2
2000-06-09 | Bear | 80.0 / -2.4% | HEAD 47% | TAIL 0% | B/ATR 0.2
2000-06-12 | Bear | 79.5 / -1.9% | HEAD 67% | TAIL 75% | B/ATR 0.2
2000-06-13 | Bull | 82.5 / 5.0% | HEAD 30% | TAIL 8% | B/ATR 0.5
2000-06-14 | Bear | 80.38 / -3.7% | HEAD 4% | TAIL 60% | B/ATR 0.4
2000-06-15 | Bear | 78.0 / -1.9% | HEAD 50% | TAIL 67% | B/ATR 0.2
2000-06-16 | Bear | 77.38 / -0.8% | HEAD 40% | TAIL 374% | B/ATR 0.1
2000-06-19 | Bull | 81.5 / 5.3% | HEAD 0% | TAIL 12% | B/ATR 0.5
2000-06-20 | Bull | 89.88 / 11.0% | HEAD 7% | TAIL 4% | B/ATR 1.1
2000-06-21 | Bull | 90.75 / 2.5% | HEAD 167% | TAIL 44% | B/ATR 0.3
2000-06-22 | Bear | 86.88 / -6.6% | HEAD 0% | TAIL 45% | B/ATR 0.8
2000-06-23 | Bull | 88.0 / 2.6% | HEAD 92% | TAIL 11% | B/ATR 0.3
2000-06-26 | Bear | 89.19 / -0.4% | HEAD 254% | TAIL 238% | B/ATR 0.0
2000-06-27 | Bull | 90.0 / 0.1% | HEAD 625% | TAIL 525% | B/ATR 0.0
2000-06-28 | Bear | 87.56 / -4.6% | HEAD 0% | TAIL 24% | B/ATR 0.5
2000-06-29 | Bull | 90.81 / 3.3% | HEAD 2% | TAIL 102% | B/ATR 0.4
2000-06-30 | Bear | 88.06 / -3.0% | HEAD 43% | TAIL 4% | B/ATR 0.4
2000-07-03 | Bear | 90.25 / -0.8% | HEAD 0% | TAIL 33% | B/ATR 0.1
2000-07-05 | Bear | 83.75 / -4.1% | HEAD 18% | TAIL 77% | B/ATR 0.5
2000-07-06 | Bull | 86.5 / 3.6% | HEAD 8% | TAIL 67% | B/ATR 0.4
2000-07-07 | Bull | 89.5 / 3.9% | HEAD 20% | TAIL 48% | B/ATR 0.4
2000-07-10 | Bull | 91.0 / 1.3% | HEAD 247% | TAIL 194% | B/ATR 0.2
2000-07-11 | Bear | 91.0 / -0.3% | HEAD 1024% | TAIL 976% | B/ATR 0.0
