2001-01-03 | Bull | 42.0 / 19.6% | HEAD 6% | TAIL 13% | B/ATR 1.5
2002-03-01 | Bull | 36.29 / 10.0% | HEAD 4% | TAIL 0% | B/ATR 1.7
2003-05-13 | Bull | 10.15 / 11.5% | HEAD 10% | TAIL 0% | B/ATR 1.6
2003-05-27 | Bull | 11.0 / 9.7% | HEAD 10% | TAIL 3% | B/ATR 1.5
2003-06-03 | Bull | 11.39 / 9.9% | HEAD 1% | TAIL 0% | B/ATR 1.7
2005-09-06 | Bull | 12.2 / 3.9% | HEAD 13% | TAIL 0% | B/ATR 1.6
2005-09-14 | Bull | 13.23 / 4.5% | HEAD 11% | TAIL 0% | B/ATR 1.9
2006-02-06 | Bull | 16.01 / 4.6% | HEAD 18% | TAIL 0% | B/ATR 1.9
2006-04-27 | Bull | 17.4 / 4.5% | HEAD 3% | TAIL 11% | B/ATR 1.6
2008-02-01 | Bull | 7.81 / 9.2% | HEAD 12% | TAIL 8% | B/ATR 1.7
2009-10-09 | Bull | 8.78 / 7.5% | HEAD 3% | TAIL 3% | B/ATR 1.8
2011-11-16 | Bull | 6.74 / 23.7% | HEAD 8% | TAIL 0% | B/ATR 3.4
2011-12-22 | Bull | 6.41 / 12.3% | HEAD 20% | TAIL 3% | B/ATR 1.8
2012-10-25 | Bull | 5.69 / 9.4% | HEAD 4% | TAIL 4% | B/ATR 1.9
2013-05-09 | Bull | 10.711 / 4.8% | HEAD 8% | TAIL 2% | B/ATR 1.7
2013-08-05 | Bull | 14.174 / 4.9% | HEAD 1% | TAIL 2% | B/ATR 1.7
2013-08-13 | Bull | 14.97 / 5.9% | HEAD 1% | TAIL 7% | B/ATR 2.1
2013-11-21 | Bull | 19.99 / 5.0% | HEAD 13% | TAIL 8% | B/ATR 1.9
2014-03-31 | Bull | 23.66 / 6.1% | HEAD 1% | TAIL 7% | B/ATR 2.0
2015-02-10 | Bull | 31.09 / 6.8% | HEAD 3% | TAIL 5% | B/ATR 2.0
2017-10-31 | Bull | 44.31 / 4.9% | HEAD 13% | TAIL 2% | B/ATR 2.1
2018-01-02 | Bull | 43.67 / 5.1% | HEAD 2% | TAIL 16% | B/ATR 1.7
2018-02-06 | Bull | 43.88 / 8.2% | HEAD 2% | TAIL 0% | B/ATR 2.5
2018-03-02 | Bull | 49.11 / 5.9% | HEAD 5% | TAIL 15% | B/ATR 1.9
2018-03-05 | Bull | 52.03 / 6.6% | HEAD 10% | TAIL 2% | B/ATR 2.2
2018-04-04 | Bull | 53.39 / 7.6% | HEAD 3% | TAIL 10% | B/ATR 2.2
