2000-01-03|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT nan |CHG/ATR nan |B/CHG nan |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-04|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-05|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-06|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-10|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-11|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-12|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-13|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-14|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-18|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-19|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-20|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-21|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-24|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-25|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-26|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-27|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-28|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-01-31|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-02-01|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-02-02|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-02-03|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-02-04|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2000-02-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -16.7 |CHG/ATR nan |B/CHG -0.01 |B/ATR nan |V/LONG nan |V/SHORT inf |V/PREV inf |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 500
2000-02-08|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-02-09|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-02-10|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-02-11|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-02-14|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -2.4 |CHG/ATR nan |B/CHG -0.08 |B/ATR nan |V/LONG nan |V/SHORT 5.0 |V/PREV inf |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 500
2000-02-15|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-02-16|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
