2014-11-13 | Bull | 13.8 / 4.5% | HEAD 17% | TAIL 50% | B/ATR nan
2014-11-14 | Bull | 14.25 / 3.6% | HEAD 3% | TAIL 66% | B/ATR nan
2014-11-17 | Bull | 14.24 / 1.0% | HEAD 100% | TAIL 314% | B/ATR nan
2014-11-18 | Bear | 13.8 / -3.0% | HEAD 0% | TAIL 12% | B/ATR nan
2014-11-19 | Bull | 13.52 / 1.3% | HEAD 200% | TAIL 639% | B/ATR nan
2014-11-20 | Bull | 13.6 / 3.6% | HEAD 74% | TAIL 0% | B/ATR nan
2014-11-21 | Bear | 13.2 / -2.9% | HEAD 5% | TAIL 0% | B/ATR nan
2014-11-24 | Bull | 13.18 / 0.2% | HEAD 1067% | TAIL 67% | B/ATR nan
2014-11-25 | Bull | 13.48 / 2.6% | HEAD 109% | TAIL 0% | B/ATR nan
2014-11-26 | Bull | 13.75 / 2.4% | HEAD 47% | TAIL 0% | B/ATR nan
2014-11-28 | Bear | 13.09 / -2.3% | HEAD 113% | TAIL 110% | B/ATR nan
2014-12-01 | Bear | 12.84 / -1.6% | HEAD 90% | TAIL 29% | B/ATR nan
2014-12-02 | Bull | 13.0 / 1.6% | HEAD 45% | TAIL 0% | B/ATR nan
2014-12-03 | Bear | 12.84 / -0.5% | HEAD 186% | TAIL 386% | B/ATR nan
2014-12-04 | Bear | 12.67 / -1.4% | HEAD 28% | TAIL 75% | B/ATR nan
2014-12-05 | Bull | 12.7 / 1.0% | HEAD 33% | TAIL 0% | B/ATR nan
2014-12-08 | Bear | 11.5 / -8.6% | HEAD 2% | TAIL 19% | B/ATR nan
2014-12-09 | Bull | 12.23 / 5.9% | HEAD 29% | TAIL 0% | B/ATR nan
2014-12-10 | Bull | 12.83 / 4.1% | HEAD 25% | TAIL 71% | B/ATR nan
2014-12-11 | Bull | 13.5 / 3.2% | HEAD 48% | TAIL 131% | B/ATR nan
2014-12-12 | Bull | 13.78 / 7.7% | HEAD 7% | TAIL 0% | B/ATR nan
2014-12-15 | Bear | 13.48 / -3.6% | HEAD 0% | TAIL 106% | B/ATR nan
2014-12-16 | Bull | 13.22 / 0.9% | HEAD 498% | TAIL 437% | B/ATR nan
2014-12-17 | Bull | 13.75 / 4.0% | HEAD 0% | TAIL 40% | B/ATR nan
2014-12-18 | Bear | 13.47 / -2.0% | HEAD 0% | TAIL 0% | B/ATR nan
2014-12-19 | Bull | 13.72 / 4.6% | HEAD 5% | TAIL 0% | B/ATR nan
2014-12-22 | Bear | 13.11 / -3.7% | HEAD 5% | TAIL 2% | B/ATR nan
2014-12-23 | Bear | 12.89 / -3.0% | HEAD 37% | TAIL 95% | B/ATR nan
2014-12-24 | Bear | 12.5 / -4.6% | HEAD 17% | TAIL 45% | B/ATR nan
2014-12-26 | Bull | 12.51 / 0.1% | HEAD 7100% | TAIL 1699% | B/ATR nan
2014-12-29 | Bear | 12.25 / -2.1% | HEAD 177% | TAIL 19% | B/ATR nan
2014-12-30 | Bull | 12.25 / 0.4% | HEAD 1200% | TAIL 500% | B/ATR nan
2014-12-31 | Bear | 12.15 / -0.4% | HEAD 320% | TAIL 160% | B/ATR nan
2015-01-02 | Bull | 13.39 / 10.9% | HEAD 1% | TAIL 0% | B/ATR nan
2015-01-05 | Bear | 12.96 / -3.7% | HEAD 0% | TAIL 20% | B/ATR nan
2015-01-06 | Bear | 12.97 / -0.1% | HEAD 3200% | TAIL 1700% | B/ATR nan
2015-01-07 | Bear | 13.35 / -0.4% | HEAD 60% | TAIL 1060% | B/ATR nan
2015-01-08 | Bull | 14.18 / 6.6% | HEAD 2% | TAIL 26% | B/ATR nan
2015-01-09 | Bear | 13.94 / -1.8% | HEAD 0% | TAIL 58% | B/ATR nan
2015-01-12 | Bull | 14.24 / 2.3% | HEAD 22% | TAIL 79% | B/ATR nan
2015-01-13 | Bull | 14.45 / 0.3% | HEAD 380% | TAIL 1340% | B/ATR nan
2015-01-14 | Bull | 14.58 / 1.7% | HEAD 25% | TAIL 104% | B/ATR nan
2015-01-15 | Bear | 14.34 / -1.8% | HEAD 8% | TAIL 88% | B/ATR nan
2015-01-16 | Bull | 14.38 / 1.3% | HEAD 50% | TAIL 0% | B/ATR nan
2015-01-20 | Bear | 14.1 / -1.3% | HEAD 167% | TAIL 317% | B/ATR nan
2015-01-21 | Bear | 13.86 / -1.6% | HEAD 56% | TAIL 44% | B/ATR nan
2015-01-22 | Bull | 14.3 / 3.2% | HEAD 0% | TAIL 0% | B/ATR nan
2015-01-23 | Bear | 14.1 / -0.4% | HEAD 217% | TAIL 167% | B/ATR nan
2015-01-26 | Bull | 14.05 / 0.4% | HEAD 260% | TAIL 20% | B/ATR nan
2015-01-27 | Bull | 14.57 / 3.6% | HEAD 14% | TAIL 4% | B/ATR nan
2015-01-28 | Bull | 14.81 / 1.4% | HEAD 86% | TAIL 57% | B/ATR nan
2015-01-29 | Bull | 14.84 / 0.5% | HEAD 112% | TAIL 150% | B/ATR nan
2015-01-30 | Bear | 14.45 / -1.7% | HEAD 52% | TAIL 0% | B/ATR nan
2015-02-02 | Bull | 14.9 / 0.9% | HEAD 38% | TAIL 292% | B/ATR nan
2015-02-03 | Bear | 14.36 / -2.2% | HEAD 64% | TAIL 0% | B/ATR nan
2015-02-04 | Bull | 14.73 / 2.8% | HEAD 0% | TAIL 42% | B/ATR nan
2015-02-05 | Bear | 14.51 / -0.5% | HEAD 414% | TAIL 136% | B/ATR nan
2015-02-06 | Bull | 14.53 / 2.1% | HEAD 20% | TAIL 6% | B/ATR nan
2015-02-09 | Bear | 14.0 / -3.2% | HEAD 0% | TAIL 0% | B/ATR nan
2015-02-10 | Bear | 13.9 / -0.7% | HEAD 0% | TAIL 400% | B/ATR nan
2015-02-11 | Bull | 14.0 / 1.0% | HEAD 0% | TAIL 136% | B/ATR nan
2015-02-12 | Bull | 13.99 / 0.1% | HEAD 1100% | TAIL 2799% | B/ATR nan
2015-02-13 | Bear | 13.75 / -0.9% | HEAD 85% | TAIL 31% | B/ATR nan
2015-02-17 | Bull | 13.86 / 1.8% | HEAD 54% | TAIL 0% | B/ATR nan
2015-02-18 | Bull | 13.86 / 0.7% | HEAD 0% | TAIL 10% | B/ATR nan
2015-02-19 | Bull | 14.18 / 2.5% | HEAD 12% | TAIL 88% | B/ATR nan
2015-02-20 | Bull | 14.0 / 2.0% | HEAD 33% | TAIL 0% | B/ATR nan
2015-02-23 | Bull | 14.04 / 0.3% | HEAD 0% | TAIL 475% | B/ATR nan
2015-02-24 | Bull | 14.4 / 2.5% | HEAD 20% | TAIL 19% | B/ATR nan
2015-02-25 | Bull | 14.43 / 0.8% | HEAD 36% | TAIL 91% | B/ATR nan
2015-02-26 | Bull | 14.38 / 0.4% | HEAD 96% | TAIL 0% | B/ATR nan
2015-02-27 | Bear | 14.34 / -0.1% | HEAD 800% | TAIL 1800% | B/ATR nan
2015-03-02 | Bull | 14.74 / 3.1% | HEAD 9% | TAIL 9% | B/ATR nan
2015-03-03 | Bull | 14.7 / 0.5% | HEAD 57% | TAIL 329% | B/ATR nan
2015-03-04 | Bear | 14.29 / -1.5% | HEAD 82% | TAIL 14% | B/ATR nan
2015-03-05 | Bull | 14.65 / 1.7% | HEAD 17% | TAIL 67% | B/ATR nan
2015-03-06 | Bear | 14.25 / -0.6% | HEAD 278% | TAIL 0% | B/ATR nan
2015-03-09 | Bear | 14.2 / -0.1% | HEAD 2400% | TAIL 300% | B/ATR nan
2015-03-10 | Bear | 13.91 / -1.0% | HEAD 100% | TAIL 36% | B/ATR nan
2015-03-11 | Bull | 14.0 / 0.9% | HEAD 183% | TAIL 8% | B/ATR nan
2015-03-12 | Bull | 14.12 / 0.3% | HEAD 261% | TAIL 213% | B/ATR nan
2015-03-13 | Bull | 14.05 / 0.5% | HEAD 427% | TAIL 169% | B/ATR nan
2015-03-16 | Bear | 14.0 / -0.1% | HEAD 3084% | TAIL 1300% | B/ATR nan
2015-03-17 | Bull | 14.31 / 2.9% | HEAD 5% | TAIL 0% | B/ATR nan
2015-03-18 | Bull | 14.4 / 1.1% | HEAD 33% | TAIL 200% | B/ATR nan
2015-03-19 | Bear | 14.09 / -0.8% | HEAD 133% | TAIL 25% | B/ATR nan
2015-03-20 | Bull | 14.73 / 4.5% | HEAD 3% | TAIL 12% | B/ATR nan
2015-03-23 | Bull | 14.79 / 0.7% | HEAD 9% | TAIL 81% | B/ATR nan
2015-03-24 | Bear | 14.48 / -1.1% | HEAD 81% | TAIL 50% | B/ATR nan
2015-03-25 | Bear | 14.05 / -2.8% | HEAD 30% | TAIL 10% | B/ATR nan
2015-03-26 | Bear | 14.01 / -0.4% | HEAD 280% | TAIL 69% | B/ATR nan
2015-03-27 | Bull | 14.06 / 0.1% | HEAD 100% | TAIL 2300% | B/ATR nan
2015-03-30 | Bear | 14.0 / -1.3% | HEAD 226% | TAIL 0% | B/ATR nan
2015-03-31 | Bear | 13.98 / -0.6% | HEAD 0% | TAIL 112% | B/ATR nan
2015-04-01 | Bull | 14.06 / 0.6% | HEAD 75% | TAIL 200% | B/ATR nan
2015-04-02 | Bull | 14.38 / 2.1% | HEAD 41% | TAIL 0% | B/ATR nan
2015-04-06 | Bull | 14.38 / 0.0% | HEAD 3900% | TAIL 3700% | B/ATR nan
2015-04-07 | Bull | 14.48 / 2.3% | HEAD 41% | TAIL 0% | B/ATR nan
2015-04-08 | Bull | 14.51 / 0.2% | HEAD 1350% | TAIL 567% | B/ATR nan
2015-04-09 | Bull | 14.55 / 0.8% | HEAD 319% | TAIL 36% | B/ATR nan
2015-04-10 | Bull | 15.0 / 3.0% | HEAD 0% | TAIL 16% | B/ATR nan
2015-04-13 | Bull | 15.01 / 0.1% | HEAD 400% | TAIL 1100% | B/ATR nan
2015-04-14 | Bull | 15.09 / 0.1% | HEAD 100% | TAIL 1880% | B/ATR nan
2015-04-15 | Bull | 15.17 / 0.5% | HEAD 0% | TAIL 265% | B/ATR nan
