2000-01-03 | Bull | 10.69 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-04 | Bull | 10.69 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-05 | Bull | 10.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-06 | Bull | 10.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-07 | Bull | 10.75 / 1.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-10 | Bull | 10.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-11 | Bear | 10.38 / -3.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-12 | Bull | 10.62 / 1.1% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-13 | Bull | 11.0 / 1.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-14 | Bear | 10.62 / -3.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-18 | Bull | 10.87 / 1.1% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-19 | Bull | 10.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-20 | Bull | 10.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-21 | Bull | 10.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-24 | Bull | 10.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-25 | Bull | 10.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-26 | Bull | 10.5 / 1.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-27 | Bull | 10.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-28 | Bull | 10.5 / 1.2% | HEAD 0% | TAIL 58% | B/ATR nan
2000-01-31 | Bull | 10.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-01 | Bear | 10.5 / -1.1% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-02 | Bear | 10.25 / -2.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-03 | Bear | 10.25 / -1.3% | HEAD 185% | TAIL 0% | B/ATR nan
2000-02-04 | Bear | 10.25 / -1.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-07 | Bull | 10.25 / 1.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-08 | Bull | 10.38 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-09 | Bull | 10.25 / 0.0% | HEAD 0% | TAIL 1200% | B/ATR nan
2000-02-10 | Bear | 10.38 / -1.1% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-11 | Bull | 10.5 / 0.0% | HEAD 0% | TAIL 2500% | B/ATR nan
2000-02-14 | Bear | 10.44 / -0.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-15 | Bull | 11.13 / 6.0% | HEAD 0% | TAIL 10% | B/ATR nan
2000-02-16 | Bull | 11.0 / 0.0% | HEAD 0% | TAIL 2500% | B/ATR nan
2000-02-17 | Bull | 10.87 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-18 | Bear | 10.62 / -1.2% | HEAD 192% | TAIL 0% | B/ATR nan
2000-02-22 | Bull | 11.0 / 1.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-23 | Bull | 11.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-24 | Bear | 11.0 / -2.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-25 | Bull | 11.13 / 1.2% | HEAD 0% | TAIL 100% | B/ATR nan
2000-02-28 | Bull | 11.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-29 | Bear | 11.13 / -2.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-01 | Bull | 11.38 / 3.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-02 | Bull | 11.44 / 0.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-03 | Bull | 11.38 / 0.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-06 | Bull | 11.38 / 0.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-07 | Bear | 11.0 / -2.7% | HEAD 0% | TAIL 42% | B/ATR nan
2000-03-08 | Bull | 11.25 / 2.3% | HEAD 76% | TAIL 0% | B/ATR nan
2000-03-09 | Bull | 11.25 / 0.0% | HEAD 1900% | TAIL 0% | B/ATR nan
2000-03-10 | Bull | 11.5 / 0.0% | HEAD 2500% | TAIL 600% | B/ATR nan
2000-03-13 | Bull | 11.63 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-14 | Bull | 11.75 / 1.0% | HEAD 833% | TAIL 0% | B/ATR nan
2000-03-15 | Bear | 12.0 / -2.0% | HEAD 100% | TAIL 0% | B/ATR nan
2000-03-16 | Bear | 11.88 / -1.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-17 | Bear | 11.94 / -0.5% | HEAD 0% | TAIL 100% | B/ATR nan
2000-03-20 | Bull | 12.12 / 1.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-21 | Bear | 11.88 / -2.0% | HEAD 0% | TAIL 54% | B/ATR nan
2000-03-22 | Bear | 11.75 / -1.1% | HEAD 46% | TAIL 0% | B/ATR nan
2000-03-23 | Bear | 11.75 / -0.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-24 | Bull | 11.75 / 0.0% | HEAD 0% | TAIL 2500% | B/ATR nan
2000-03-27 | Bull | 11.88 / 1.1% | HEAD 0% | TAIL 192% | B/ATR nan
2000-03-28 | Bull | 12.25 / 2.1% | HEAD 0% | TAIL 0% | B/ATR nan
