2000-06-30 | Bull | 16.75 / 3.5% | HEAD 0% | TAIL 0% | B/ATR 1.9
2000-09-05 | Bull | 19.75 / 4.6% | HEAD 0% | TAIL 15% | B/ATR 2.5
2000-09-13 | Bull | 22.5 / 8.4% | HEAD 7% | TAIL 0% | B/ATR 5.0
2000-09-28 | Bull | 20.75 / 3.8% | HEAD 8% | TAIL 0% | B/ATR 1.9
2000-09-29 | Bull | 21.63 / 4.2% | HEAD 0% | TAIL 0% | B/ATR 2.2
2000-10-02 | Bull | 22.44 / 3.7% | HEAD 7% | TAIL 16% | B/ATR 2.0
2000-10-09 | Bull | 23.19 / 10.1% | HEAD 0% | TAIL 0% | B/ATR 5.0
2001-01-08 | Bull | 21.75 / 6.1% | HEAD 15% | TAIL 0% | B/ATR 2.1
2001-04-25 | Bull | 21.16 / 5.3% | HEAD 8% | TAIL 19% | B/ATR 1.7
2001-06-25 | Bull | 18.25 / 5.8% | HEAD 10% | TAIL 0% | B/ATR 1.6
2001-06-29 | Bull | 17.18 / 7.4% | HEAD 0% | TAIL 0% | B/ATR 1.8
2001-10-01 | Bull | 16.09 / 6.9% | HEAD 11% | TAIL 10% | B/ATR 1.6
2002-11-07 | Bull | 11.35 / 6.6% | HEAD 0% | TAIL 13% | B/ATR 1.8
2002-11-08 | Bull | 11.98 / 5.1% | HEAD 3% | TAIL 0% | B/ATR 1.5
2002-12-17 | Bull | 13.01 / 5.8% | HEAD 14% | TAIL 0% | B/ATR 1.9
2003-06-04 | Bull | 16.19 / 5.5% | HEAD 7% | TAIL 0% | B/ATR 2.3
2003-06-26 | Bull | 13.8 / 5.4% | HEAD 15% | TAIL 0% | B/ATR 1.8
2004-01-14 | Bull | 17.3 / 6.4% | HEAD 18% | TAIL 0% | B/ATR 2.8
2004-01-15 | Bull | 18.21 / 4.1% | HEAD 15% | TAIL 20% | B/ATR 1.9
2004-02-02 | Bull | 17.5 / 7.7% | HEAD 0% | TAIL 0% | B/ATR 3.1
2004-02-26 | Bull | 19.07 / 4.5% | HEAD 11% | TAIL 1% | B/ATR 1.7
2004-03-12 | Bull | 21.55 / 4.4% | HEAD 17% | TAIL 13% | B/ATR 1.7
2004-03-25 | Bull | 23.81 / 4.0% | HEAD 20% | TAIL 9% | B/ATR 1.7
2004-07-14 | Bull | 33.25 / 12.3% | HEAD 7% | TAIL 0% | B/ATR 3.3
2004-07-19 | Bull | 32.56 / 5.7% | HEAD 0% | TAIL 5% | B/ATR 1.5
2005-01-26 | Bull | 44.12 / 5.0% | HEAD 4% | TAIL 0% | B/ATR 1.5
2005-04-19 | Bull | 46.75 / 8.1% | HEAD 7% | TAIL 0% | B/ATR 2.3
2007-08-10 | Bull | 38.94 / 5.2% | HEAD 3% | TAIL 0% | B/ATR 2.2
2007-11-23 | Bull | 32.9 / 7.7% | HEAD 11% | TAIL 0% | B/ATR 2.0
2007-12-07 | Bull | 34.66 / 6.1% | HEAD 5% | TAIL 0% | B/ATR 1.6
2008-01-22 | Bull | 28.26 / 9.2% | HEAD 10% | TAIL 6% | B/ATR 1.8
2008-09-18 | Bull | 31.79 / 10.4% | HEAD 0% | TAIL 15% | B/ATR 2.1
2010-01-06 | Bull | 32.03 / 3.8% | HEAD 19% | TAIL 7% | B/ATR 1.6
2010-06-02 | Bull | 29.22 / 3.7% | HEAD 0% | TAIL 0% | B/ATR 1.5
2012-06-06 | Bull | 13.27 / 6.2% | HEAD 4% | TAIL 6% | B/ATR 1.6
2013-09-25 | Bull | 8.92 / 10.1% | HEAD 10% | TAIL 0% | B/ATR 2.6
2013-11-11 | Bull | 9.05 / 7.4% | HEAD 6% | TAIL 3% | B/ATR 2.0
2013-12-19 | Bull | 8.6 / 6.7% | HEAD 2% | TAIL 0% | B/ATR 1.7
2014-01-16 | Bull | 11.11 / 6.7% | HEAD 19% | TAIL 0% | B/ATR 2.1
2014-01-21 | Bull | 12.54 / 9.5% | HEAD 6% | TAIL 2% | B/ATR 3.3
2014-10-16 | Bull | 8.04 / 7.8% | HEAD 16% | TAIL 16% | B/ATR 2.2
2014-10-28 | Bull | 8.32 / 6.1% | HEAD 6% | TAIL 17% | B/ATR 1.8
2014-12-09 | Bull | 9.01 / 6.0% | HEAD 14% | TAIL 10% | B/ATR 1.8
2015-01-08 | Bull | 11.88 / 5.1% | HEAD 10% | TAIL 2% | B/ATR 2.0
2015-03-18 | Bull | 10.81 / 5.2% | HEAD 2% | TAIL 13% | B/ATR 1.6
2015-07-14 | Bull | 15.86 / 3.7% | HEAD 14% | TAIL 16% | B/ATR 1.6
2015-08-13 | Bull | 15.09 / 4.9% | HEAD 19% | TAIL 1% | B/ATR 1.8
2017-04-10 | Bull | 8.63 / 6.7% | HEAD 9% | TAIL 7% | B/ATR 1.9
2017-10-02 | Bull | 5.76 / 8.7% | HEAD 2% | TAIL 0% | B/ATR 1.9
