2002-05-23 | Bull | 16.75 / 3.5% | HEAD 116% | TAIL 27% | B/ATR nan
2002-05-24 | Bear | 16.94 / -0.4% | HEAD 250% | TAIL 300% | B/ATR nan
2002-05-28 | Bear | 16.2 / -4.6% | HEAD 33% | TAIL 0% | B/ATR nan
2002-05-29 | Bear | 15.45 / -5.2% | HEAD 0% | TAIL 29% | B/ATR nan
2002-05-30 | Bear | 15.0 / -3.3% | HEAD 0% | TAIL 0% | B/ATR nan
2002-05-31 | Bear | 15.07 / -0.2% | HEAD 0% | TAIL 233% | B/ATR nan
2002-06-03 | Bull | 15.8 / 4.5% | HEAD 43% | TAIL 7% | B/ATR nan
2002-06-04 | Bear | 15.65 / -1.6% | HEAD 24% | TAIL 40% | B/ATR nan
2002-06-05 | Bull | 16.06 / 3.3% | HEAD 33% | TAIL 10% | B/ATR nan
2002-06-06 | Bull | 16.55 / 2.8% | HEAD 156% | TAIL 4% | B/ATR nan
2002-06-07 | Bear | 15.66 / -5.0% | HEAD 0% | TAIL 25% | B/ATR nan
2002-06-10 | Bull | 16.19 / 1.9% | HEAD 87% | TAIL 0% | B/ATR nan
2002-06-11 | Bear | 16.15 / -0.2% | HEAD 1125% | TAIL 875% | B/ATR nan
2002-06-12 | Bear | 15.3 / -5.3% | HEAD 47% | TAIL 6% | B/ATR nan
2002-06-13 | Bear | 15.16 / -1.9% | HEAD 83% | TAIL 13% | B/ATR nan
2002-06-14 | Bear | 13.81 / -8.8% | HEAD 4% | TAIL 7% | B/ATR nan
2002-06-17 | Bear | 12.91 / -9.0% | HEAD 50% | TAIL 5% | B/ATR nan
2002-06-18 | Bear | 12.75 / -3.0% | HEAD 3% | TAIL 246% | B/ATR nan
2002-06-19 | Bull | 13.32 / 4.4% | HEAD 112% | TAIL 46% | B/ATR nan
2002-06-20 | Bear | 13.4 / -1.5% | HEAD 480% | TAIL 50% | B/ATR nan
2002-06-21 | Bear | 13.71 / -0.3% | HEAD 250% | TAIL 1100% | B/ATR nan
2002-06-24 | Bear | 13.7 / -0.1% | HEAD 4900% | TAIL 3000% | B/ATR nan
2002-06-25 | Bear | 13.5 / -2.5% | HEAD 76% | TAIL 71% | B/ATR nan
2002-06-26 | Bull | 13.84 / 2.6% | HEAD 31% | TAIL 169% | B/ATR nan
2002-06-27 | Bear | 13.21 / -6.5% | HEAD 14% | TAIL 0% | B/ATR nan
2002-06-28 | Bull | 13.99 / 4.0% | HEAD 37% | TAIL 0% | B/ATR nan
2002-07-01 | Bull | 14.39 / 2.8% | HEAD 67% | TAIL 26% | B/ATR nan
2002-07-02 | Bull | 16.42 / 11.3% | HEAD 19% | TAIL 12% | B/ATR nan
2002-07-03 | Bull | 17.0 / 3.0% | HEAD 0% | TAIL 170% | B/ATR nan
2002-07-05 | Bull | 17.87 / 5.1% | HEAD 37% | TAIL 1% | B/ATR nan
2002-07-08 | Bear | 16.46 / -6.1% | HEAD 0% | TAIL 10% | B/ATR nan
2002-07-09 | Bear | 16.25 / -1.2% | HEAD 150% | TAIL 325% | B/ATR nan
2002-07-10 | Bull | 16.29 / 0.2% | HEAD 700% | TAIL 1367% | B/ATR nan
2002-07-11 | Bull | 17.77 / 10.0% | HEAD 8% | TAIL 19% | B/ATR nan
2002-07-12 | Bear | 16.91 / -5.5% | HEAD 2% | TAIL 1% | B/ATR nan
2002-07-15 | Bear | 16.0 / -8.0% | HEAD 6% | TAIL 66% | B/ATR nan
2002-07-16 | Bear | 15.77 / -2.3% | HEAD 16% | TAIL 84% | B/ATR nan
2002-07-17 | Bear | 15.25 / -4.9% | HEAD 33% | TAIL 24% | B/ATR nan
2002-07-18 | Bull | 16.09 / 2.9% | HEAD 53% | TAIL 20% | B/ATR nan
2002-07-19 | Bull | 16.24 / 0.6% | HEAD 10% | TAIL 430% | B/ATR nan
2002-07-22 | Bull | 16.39 / 3.1% | HEAD 24% | TAIL 57% | B/ATR nan
2002-07-23 | Bear | 16.05 / -2.6% | HEAD 124% | TAIL 52% | B/ATR nan
2002-07-24 | Bear | 15.6 / -2.8% | HEAD 40% | TAIL 124% | B/ATR nan
2002-07-25 | Bear | 14.51 / -7.9% | HEAD 3% | TAIL 2% | B/ATR nan
2002-07-26 | Bear | 12.2 / -17.0% | HEAD 5% | TAIL 12% | B/ATR nan
2002-07-29 | Bear | 12.27 / -2.2% | HEAD 139% | TAIL 132% | B/ATR nan
2002-07-30 | Bull | 12.8 / 2.3% | HEAD 138% | TAIL 0% | B/ATR nan
2002-07-31 | Bull | 13.35 / 2.7% | HEAD 26% | TAIL 91% | B/ATR nan
2002-08-01 | Bear | 12.48 / -6.2% | HEAD 17% | TAIL 23% | B/ATR nan
2002-08-02 | Bear | 10.89 / -12.2% | HEAD 1% | TAIL 66% | B/ATR nan
2002-08-05 | Bear | 10.85 / -0.5% | HEAD 960% | TAIL 400% | B/ATR nan
2002-08-06 | Bear | 10.65 / -4.4% | HEAD 22% | TAIL 51% | B/ATR nan
2002-08-07 | Bull | 11.11 / 4.3% | HEAD 0% | TAIL 54% | B/ATR nan
2002-08-08 | Bull | 11.15 / 0.0% | HEAD 1000% | TAIL 6400% | B/ATR nan
2002-08-09 | Bear | 11.02 / -1.4% | HEAD 200% | TAIL 75% | B/ATR nan
2002-08-12 | Bear | 10.6 / -5.7% | HEAD 9% | TAIL 8% | B/ATR nan
2002-08-13 | Bull | 10.82 / 0.7% | HEAD 643% | TAIL 271% | B/ATR nan
2002-08-14 | Bull | 11.67 / 7.5% | HEAD 0% | TAIL 7% | B/ATR nan
2002-08-15 | Bull | 12.36 / 5.5% | HEAD 61% | TAIL 9% | B/ATR nan
2002-08-16 | Bull | 12.78 / 2.2% | HEAD 57% | TAIL 179% | B/ATR nan
2002-08-19 | Bull | 13.75 / 6.2% | HEAD 4% | TAIL 12% | B/ATR nan
2002-08-20 | Bear | 13.25 / -3.9% | HEAD 22% | TAIL 65% | B/ATR nan
2002-08-21 | Bull | 13.56 / 1.6% | HEAD 19% | TAIL 233% | B/ATR nan
2002-08-22 | Bull | 13.77 / 1.0% | HEAD 157% | TAIL 443% | B/ATR nan
2002-08-23 | Bear | 13.91 / -0.1% | HEAD 300% | TAIL 3600% | B/ATR nan
2002-08-26 | Bear | 13.55 / -2.9% | HEAD 0% | TAIL 105% | B/ATR nan
2002-08-27 | Bear | 12.23 / -9.7% | HEAD 0% | TAIL 17% | B/ATR nan
2002-08-28 | Bull | 12.1 / 0.3% | HEAD 900% | TAIL 1275% | B/ATR nan
2002-08-29 | Bull | 12.65 / 8.5% | HEAD 26% | TAIL 12% | B/ATR nan
2002-08-30 | Bull | 13.11 / 2.4% | HEAD 119% | TAIL 90% | B/ATR nan
2002-09-03 | Bear | 12.96 / -1.1% | HEAD 253% | TAIL 113% | B/ATR nan
2002-09-04 | Bull | 13.0 / 0.3% | HEAD 625% | TAIL 625% | B/ATR nan
2002-09-05 | Bull | 12.85 / 0.0% | HEAD 2500% | TAIL 1000% | B/ATR nan
2002-09-06 | Bear | 12.8 / -1.5% | HEAD 58% | TAIL 26% | B/ATR nan
2002-09-09 | Bear | 12.62 / -1.9% | HEAD 32% | TAIL 48% | B/ATR nan
2002-09-10 | Bull | 13.23 / 4.9% | HEAD 11% | TAIL 26% | B/ATR nan
2002-09-11 | Bull | 13.46 / 2.4% | HEAD 66% | TAIL 0% | B/ATR nan
2002-09-12 | Bear | 12.95 / -3.9% | HEAD 11% | TAIL 28% | B/ATR nan
2002-09-13 | Bear | 12.3 / -4.7% | HEAD 13% | TAIL 33% | B/ATR nan
2002-09-16 | Bear | 12.0 / -3.9% | HEAD 0% | TAIL 12% | B/ATR nan
2002-09-17 | Bear | 11.98 / -1.0% | HEAD 0% | TAIL 358% | B/ATR nan
2002-09-18 | Bear | 11.03 / -5.8% | HEAD 10% | TAIL 6% | B/ATR nan
