2002-11-18 | Bull | 10.9 / 20.0% | HEAD 2% | TAIL 18% | B/ATR 1.8
2003-02-27 | Bull | 16.5 / 11.3% | HEAD 0% | TAIL 3% | B/ATR 1.8
2003-06-16 | Bull | 21.75 / 11.9% | HEAD 1% | TAIL 2% | B/ATR 1.9
2003-11-12 | Bull | 50.239 / 6.9% | HEAD 8% | TAIL 14% | B/ATR 1.6
2005-05-11 | Bull | 12.95 / 12.1% | HEAD 4% | TAIL 1% | B/ATR 2.3
2005-05-18 | Bull | 15.5 / 7.2% | HEAD 15% | TAIL 14% | B/ATR 1.7
2005-06-10 | Bull | 16.91 / 8.1% | HEAD 14% | TAIL 12% | B/ATR 1.9
2005-09-06 | Bull | 22.76 / 5.7% | HEAD 13% | TAIL 7% | B/ATR 1.6
2005-09-08 | Bull | 24.09 / 6.3% | HEAD 19% | TAIL 10% | B/ATR 1.9
2005-11-02 | Bull | 27.12 / 6.6% | HEAD 12% | TAIL 0% | B/ATR 1.8
2006-04-05 | Bull | 28.66 / 6.3% | HEAD 14% | TAIL 5% | B/ATR 1.6
2006-11-08 | Bull | 28.88 / 4.8% | HEAD 7% | TAIL 15% | B/ATR 1.5
2007-06-06 | Bull | 22.6 / 5.9% | HEAD 14% | TAIL 3% | B/ATR 1.7
2007-09-25 | Bull | 21.01 / 8.9% | HEAD 3% | TAIL 1% | B/ATR 2.2
2007-12-20 | Bull | 27.24 / 8.9% | HEAD 12% | TAIL 16% | B/ATR 2.5
2008-01-10 | Bull | 24.7 / 9.1% | HEAD 15% | TAIL 18% | B/ATR 2.1
2008-01-31 | Bull | 25.15 / 11.5% | HEAD 8% | TAIL 17% | B/ATR 2.4
2008-04-16 | Bull | 38.97 / 5.8% | HEAD 7% | TAIL 14% | B/ATR 1.5
2008-09-18 | Bull | 31.04 / 8.7% | HEAD 6% | TAIL 0% | B/ATR 1.8
2008-11-13 | Bull | 24.36 / 18.6% | HEAD 3% | TAIL 0% | B/ATR 2.4
2009-03-12 | Bull | 39.96 / 8.6% | HEAD 1% | TAIL 10% | B/ATR 1.8
2009-10-15 | Bull | 50.35 / 6.5% | HEAD 19% | TAIL 0% | B/ATR 1.9
2009-12-23 | Bull | 56.85 / 5.0% | HEAD 3% | TAIL 1% | B/ATR 1.5
2010-03-01 | Bull | 69.7 / 5.6% | HEAD 1% | TAIL 0% | B/ATR 1.9
2010-04-05 | Bull | 79.99 / 5.8% | HEAD 2% | TAIL 0% | B/ATR 2.3
2010-04-13 | Bull | 86.38 / 3.7% | HEAD 9% | TAIL 9% | B/ATR 1.6
2010-04-26 | Bull | 108.17 / 7.6% | HEAD 20% | TAIL 1% | B/ATR 3.7
2010-05-12 | Bull | 107.83 / 6.0% | HEAD 1% | TAIL 4% | B/ATR 2.5
