2005-10-26 | Bear | 0.5 / -9.1% | HEAD 0% | TAIL 60% | B/ATR nan
2005-10-27 | Bear | 0.47 / -6.0% | HEAD 33% | TAIL 200% | B/ATR nan
2005-10-28 | Bear | 0.5 / -2.0% | HEAD 0% | TAIL 800% | B/ATR nan
2005-10-31 | Bull | 0.53 / 0.0% | HEAD 800% | TAIL 0% | B/ATR nan
2005-11-01 | Bull | 0.6 / 0.0% | HEAD 0% | TAIL 700% | B/ATR nan
2005-11-02 | Bear | 0.58 / -3.3% | HEAD 250% | TAIL 0% | B/ATR nan
2005-11-03 | Bull | 0.76 / 24.6% | HEAD 60% | TAIL 0% | B/ATR nan
2005-11-04 | Bear | 0.87 / -8.4% | HEAD 50% | TAIL 188% | B/ATR nan
2005-11-07 | Bull | 1.0 / 11.1% | HEAD 170% | TAIL 0% | B/ATR nan
2005-11-08 | Bear | 0.93 / -7.0% | HEAD 0% | TAIL 43% | B/ATR nan
2005-11-09 | Bear | 0.8 / -5.9% | HEAD 100% | TAIL 400% | B/ATR nan
2005-11-10 | Bear | 0.84 / -5.6% | HEAD 20% | TAIL 220% | B/ATR nan
2005-11-11 | Bull | 0.85 / 6.2% | HEAD 100% | TAIL 0% | B/ATR nan
2005-11-14 | Bear | 0.88 / -12.0% | HEAD 0% | TAIL 67% | B/ATR nan
2005-11-15 | Bear | 0.89 / -5.3% | HEAD 20% | TAIL 60% | B/ATR nan
2005-11-16 | Bull | 0.95 / 4.4% | HEAD 25% | TAIL 50% | B/ATR nan
2005-11-17 | Bull | 1.05 / 6.1% | HEAD 200% | TAIL 67% | B/ATR nan
2005-11-18 | Bull | 1.27 / 7.6% | HEAD 0% | TAIL 33% | B/ATR nan
2005-11-21 | Bear | 1.15 / -8.7% | HEAD 9% | TAIL 91% | B/ATR nan
2005-11-22 | Bear | 1.09 / -5.2% | HEAD 17% | TAIL 350% | B/ATR nan
2005-11-23 | Bear | 1.12 / -2.6% | HEAD 167% | TAIL 233% | B/ATR nan
2005-11-25 | Bear | 1.17 / -2.5% | HEAD 0% | TAIL 233% | B/ATR nan
2005-11-28 | Bear | 1.05 / -12.5% | HEAD 0% | TAIL 33% | B/ATR nan
2005-11-29 | Bear | 1.0 / -1.0% | HEAD 900% | TAIL 500% | B/ATR nan
2005-11-30 | Bear | 0.8 / -12.1% | HEAD 82% | TAIL 27% | B/ATR nan
2005-12-01 | Bull | 0.85 / 21.4% | HEAD 167% | TAIL 67% | B/ATR nan
2005-12-02 | Bear | 0.94 / -1.1% | HEAD 700% | TAIL 600% | B/ATR nan
2005-12-05 | Bear | 0.95 / -5.0% | HEAD 220% | TAIL 200% | B/ATR nan
2005-12-06 | Bear | 0.95 / -5.9% | HEAD 67% | TAIL 83% | B/ATR nan
2005-12-07 | Bull | 0.9 / 5.9% | HEAD 200% | TAIL 100% | B/ATR nan
2005-12-08 | Bull | 0.85 / 0.0% | HEAD 500% | TAIL 500% | B/ATR nan
2005-12-09 | Bear | 0.85 / -5.6% | HEAD 40% | TAIL 0% | B/ATR nan
2005-12-12 | Bull | 0.9 / 12.5% | HEAD 0% | TAIL 0% | B/ATR nan
2005-12-13 | Bear | 0.85 / -5.6% | HEAD 0% | TAIL 80% | B/ATR nan
2005-12-14 | Bull | 0.93 / 3.3% | HEAD 67% | TAIL 333% | B/ATR nan
2005-12-15 | Bull | 0.98 / 0.0% | HEAD 0% | TAIL 800% | B/ATR nan
2005-12-16 | Bear | 0.88 / -10.2% | HEAD 0% | TAIL 0% | B/ATR nan
2005-12-19 | Bull | 0.9 / 0.0% | HEAD 200% | TAIL 700% | B/ATR nan
2005-12-20 | Bull | 0.89 / 7.2% | HEAD 17% | TAIL 0% | B/ATR nan
2005-12-21 | Bear | 0.85 / -3.4% | HEAD 33% | TAIL 167% | B/ATR nan
2005-12-22 | Bull | 0.89 / 11.2% | HEAD 0% | TAIL 0% | B/ATR nan
2005-12-23 | Bull | 0.85 / 6.2% | HEAD 100% | TAIL 0% | B/ATR nan
2005-12-27 | Bear | 0.8 / -9.1% | HEAD 0% | TAIL 25% | B/ATR nan
2005-12-28 | Bear | 0.83 / -2.4% | HEAD 0% | TAIL 500% | B/ATR nan
2005-12-29 | Bull | 0.9 / 5.9% | HEAD 120% | TAIL 0% | B/ATR nan
2005-12-30 | Bear | 0.89 / -1.1% | HEAD 0% | TAIL 400% | B/ATR nan
2006-01-03 | Bear | 0.91 / -4.2% | HEAD 0% | TAIL 100% | B/ATR nan
2006-01-04 | Bull | 0.99 / 19.3% | HEAD 6% | TAIL 0% | B/ATR nan
2006-01-05 | Bear | 0.98 / -1.0% | HEAD 0% | TAIL 1500% | B/ATR nan
2006-01-06 | Bear | 0.95 / -4.0% | HEAD 150% | TAIL 250% | B/ATR nan
2006-01-09 | Bull | 1.46 / 39.0% | HEAD 7% | TAIL 24% | B/ATR nan
2006-01-10 | Bull | 2.13 / 23.1% | HEAD 0% | TAIL 13% | B/ATR nan
2006-01-11 | Bear | 2.25 / -13.5% | HEAD 71% | TAIL 71% | B/ATR nan
2006-01-12 | Bull | 2.31 / 5.0% | HEAD 282% | TAIL 0% | B/ATR nan
2006-01-13 | Bear | 1.95 / -20.4% | HEAD 0% | TAIL 70% | B/ATR nan
2006-01-17 | Bear | 2.01 / -4.3% | HEAD 0% | TAIL 122% | B/ATR nan
2006-01-18 | Bull | 2.22 / 8.3% | HEAD 47% | TAIL 59% | B/ATR nan
2006-01-19 | Bear | 2.21 / -3.9% | HEAD 33% | TAIL 44% | B/ATR nan
2006-01-20 | Bear | 2.1 / -8.7% | HEAD 0% | TAIL 50% | B/ATR nan
2006-01-23 | Bull | 2.0 / 0.0% | HEAD 1000% | TAIL 900% | B/ATR nan
2006-01-24 | Bear | 1.9 / -2.6% | HEAD 100% | TAIL 280% | B/ATR nan
2006-01-25 | Bear | 1.69 / -8.6% | HEAD 31% | TAIL 87% | B/ATR nan
2006-01-26 | Bull | 1.8 / 7.1% | HEAD 83% | TAIL 67% | B/ATR nan
2006-01-27 | Bear | 1.7 / -10.5% | HEAD 0% | TAIL 0% | B/ATR nan
2006-01-30 | Bear | 1.59 / -6.5% | HEAD 91% | TAIL 0% | B/ATR nan
2006-01-31 | Bull | 1.68 / 5.7% | HEAD 11% | TAIL 0% | B/ATR nan
2006-02-01 | Bull | 1.68 / 0.0% | HEAD 3200% | TAIL 300% | B/ATR nan
2006-02-02 | Bear | 1.58 / -14.6% | HEAD 0% | TAIL 0% | B/ATR nan
2006-02-03 | Bear | 1.56 / -3.1% | HEAD 0% | TAIL 120% | B/ATR nan
2006-02-06 | Bear | 1.55 / -0.6% | HEAD 400% | TAIL 600% | B/ATR nan
2006-02-07 | Bull | 1.58 / 6.8% | HEAD 20% | TAIL 0% | B/ATR nan
2006-02-08 | Bull | 1.58 / 1.9% | HEAD 0% | TAIL 167% | B/ATR nan
2006-02-09 | Bull | 1.75 / 9.4% | HEAD 33% | TAIL 0% | B/ATR nan
2006-02-10 | Bull | 1.9 / 7.3% | HEAD 15% | TAIL 23% | B/ATR nan
2006-02-13 | Bear | 1.76 / -9.7% | HEAD 53% | TAIL 5% | B/ATR nan
2006-02-14 | Bear | 1.82 / -9.0% | HEAD 0% | TAIL 50% | B/ATR nan
2006-02-15 | Bull | 1.91 / 8.5% | HEAD 60% | TAIL 0% | B/ATR nan
2006-02-16 | Bear | 1.8 / -5.8% | HEAD 82% | TAIL 45% | B/ATR nan
2006-02-17 | Bull | 1.92 / 6.7% | HEAD 0% | TAIL 42% | B/ATR nan
2006-02-21 | Bear | 1.82 / -4.7% | HEAD 11% | TAIL 44% | B/ATR nan
2006-02-22 | Bull | 1.92 / 7.9% | HEAD 21% | TAIL 0% | B/ATR nan
2006-02-23 | Bull | 2.12 / 9.8% | HEAD 42% | TAIL 16% | B/ATR nan
2006-02-24 | Bear | 2.0 / -8.3% | HEAD 11% | TAIL 22% | B/ATR nan
2006-02-27 | Bull | 1.86 / 9.4% | HEAD 56% | TAIL 0% | B/ATR nan
2006-02-28 | Bear | 1.78 / -4.3% | HEAD 0% | TAIL 38% | B/ATR nan
2006-03-01 | Bull | 1.85 / 3.9% | HEAD 71% | TAIL 29% | B/ATR nan
2006-03-02 | Bear | 1.87 / -1.6% | HEAD 0% | TAIL 233% | B/ATR nan
2006-03-03 | Bear | 1.79 / -4.8% | HEAD 22% | TAIL 0% | B/ATR nan
2006-03-06 | Bull | 1.8 / 0.6% | HEAD 400% | TAIL 500% | B/ATR nan
2006-03-07 | Bull | 1.77 / 1.1% | HEAD 350% | TAIL 0% | B/ATR nan
2006-03-08 | Bull | 1.95 / 8.9% | HEAD 6% | TAIL 0% | B/ATR nan
2006-03-09 | Bull | 2.0 / 2.6% | HEAD 100% | TAIL 120% | B/ATR nan
2006-03-10 | Bear | 1.96 / -2.0% | HEAD 125% | TAIL 100% | B/ATR nan
2006-03-13 | Bull | 2.01 / 0.5% | HEAD 500% | TAIL 500% | B/ATR nan
2006-03-14 | Bull | 2.37 / 17.3% | HEAD 9% | TAIL 3% | B/ATR nan
2006-03-15 | Bear | 2.4 / -2.0% | HEAD 60% | TAIL 400% | B/ATR nan
2006-03-16 | Bear | 2.4 / -2.0% | HEAD 280% | TAIL 60% | B/ATR nan
2006-03-17 | Bull | 2.76 / 10.4% | HEAD 35% | TAIL 19% | B/ATR nan
2006-03-20 | Bull | 3.5 / 17.4% | HEAD 10% | TAIL 6% | B/ATR nan
2006-03-21 | Bear | 3.1 / -11.4% | HEAD 63% | TAIL 37% | B/ATR 2.0
2006-03-22 | Bear | 2.86 / -7.1% | HEAD 9% | TAIL 5% | B/ATR 1.1
2006-03-23 | Bear | 2.42 / -15.1% | HEAD 5% | TAIL 5% | B/ATR 2.1
2006-03-24 | Bull | 2.8 / 17.6% | HEAD 45% | TAIL 2% | B/ATR 2.0
2006-03-27 | Bear | 2.8 / -5.1% | HEAD 27% | TAIL 200% | B/ATR 0.7
