2007-01-31 | Bull | 1.16 / 19.6% | HEAD 5% | TAIL 5% | B/ATR 1.7
2007-04-26 | Bull | 1.24 / 17.0% | HEAD 6% | TAIL 6% | B/ATR 1.6
2007-07-06 | Bull | 0.95 / 26.7% | HEAD 0% | TAIL 0% | B/ATR 1.9
2008-04-01 | Bull | 0.65 / 20.4% | HEAD 18% | TAIL 0% | B/ATR 1.8
2008-05-05 | Bull | 0.85 / 21.4% | HEAD 0% | TAIL 7% | B/ATR 2.4
2008-05-08 | Bull | 1.08 / 16.1% | HEAD 13% | TAIL 0% | B/ATR 2.4
2008-06-16 | Bull | 1.5 / 11.9% | HEAD 0% | TAIL 0% | B/ATR 2.1
2008-07-11 | Bull | 1.24 / 12.7% | HEAD 0% | TAIL 7% | B/ATR 1.6
2008-12-02 | Bull | 0.81 / 24.6% | HEAD 0% | TAIL 0% | B/ATR 1.6
2008-12-12 | Bull | 0.88 / 22.2% | HEAD 13% | TAIL 6% | B/ATR 1.6
2009-04-21 | Bull | 0.73 / 21.7% | HEAD 0% | TAIL 8% | B/ATR 1.7
2009-04-24 | Bull | 0.8 / 17.6% | HEAD 0% | TAIL 0% | B/ATR 1.6
2009-07-16 | Bull | 0.74 / 17.5% | HEAD 0% | TAIL 9% | B/ATR 1.6
2009-08-24 | Bull | 0.95 / 15.9% | HEAD 0% | TAIL 0% | B/ATR 1.9
2009-10-28 | Bull | 0.88 / 51.7% | HEAD 7% | TAIL 7% | B/ATR 4.3
2010-03-16 | Bull | 1.5 / 33.9% | HEAD 0% | TAIL 0% | B/ATR 5.3
2010-03-25 | Bull | 1.69 / 10.5% | HEAD 0% | TAIL 0% | B/ATR 2.1
2010-04-30 | Bull | 2.46 / 11.3% | HEAD 16% | TAIL 4% | B/ATR 2.6
2010-05-21 | Bull | 1.95 / 22.6% | HEAD 17% | TAIL 8% | B/ATR 3.0
2010-06-22 | Bull | 2.2 / 15.2% | HEAD 0% | TAIL 17% | B/ATR 2.1
2010-11-03 | Bull | 1.31 / 22.4% | HEAD 8% | TAIL 0% | B/ATR 2.4
2011-03-01 | Bull | 1.38 / 20.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2011-04-12 | Bull | 1.55 / 16.5% | HEAD 5% | TAIL 5% | B/ATR 2.4
2012-02-13 | Bull | 0.88 / 14.3% | HEAD 18% | TAIL 18% | B/ATR 1.6
2012-05-07 | Bull | 0.7 / 25.0% | HEAD 14% | TAIL 0% | B/ATR 2.2
2012-08-22 | Bull | 0.67 / 19.6% | HEAD 18% | TAIL 0% | B/ATR 2.0
2012-08-28 | Bull | 0.78 / 18.2% | HEAD 17% | TAIL 8% | B/ATR 2.2
2013-02-26 | Bull | 0.45 / 28.6% | HEAD 0% | TAIL 0% | B/ATR 3.0
2013-03-13 | Bull | 0.77 / 10.0% | HEAD 14% | TAIL 0% | B/ATR 2.0
2013-04-05 | Bull | 0.68 / 11.5% | HEAD 0% | TAIL 14% | B/ATR 1.8
2013-05-22 | Bull | 0.69 / 19.0% | HEAD 9% | TAIL 0% | B/ATR 2.4
2013-07-09 | Bull | 0.85 / 11.8% | HEAD 11% | TAIL 0% | B/ATR 1.8
2013-08-01 | Bull | 0.93 / 9.4% | HEAD 0% | TAIL 0% | B/ATR 1.6
2013-09-12 | Bull | 3.69 / 7.6% | HEAD 4% | TAIL 19% | B/ATR 3.5
2013-09-17 | Bull | 4.6 / 23.3% | HEAD 0% | TAIL 2% | B/ATR 10.5
2013-09-18 | Bull | 5.43 / 13.4% | HEAD 11% | TAIL 17% | B/ATR 7.3
2013-09-24 | Bull | 6.64 / 9.9% | HEAD 17% | TAIL 0% | B/ATR 5.5
2014-02-19 | Bull | 4.0 / 17.3% | HEAD 7% | TAIL 0% | B/ATR 2.0
2014-11-17 | Bull | 3.32 / 23.4% | HEAD 8% | TAIL 0% | B/ATR 2.7
2014-12-17 | Bull | 3.04 / 16.0% | HEAD 2% | TAIL 0% | B/ATR 1.8
2015-09-18 | Bull | 1.53 / 27.5% | HEAD 18% | TAIL 0% | B/ATR 2.6
2016-02-24 | Bull | 2.3199 / 16.0% | HEAD 0% | TAIL 6% | B/ATR 3.1
2016-02-25 | Bull | 2.69 / 17.0% | HEAD 8% | TAIL 0% | B/ATR 3.7
2016-03-21 | Bull | 3.27 / 6.9% | HEAD 14% | TAIL 19% | B/ATR 1.6
2017-10-27 | Bull | 1.16 / 19.6% | HEAD 0% | TAIL 11% | B/ATR 2.8
