2000-03-30 | Bull | 15.5 / 3.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-31 | Bull | 15.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-03 | Bull | 15.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-04 | Bull | 15.5 / 3.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-05 | Bull | 15.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-06 | Bull | 15.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-07 | Bull | 15.44 / 4.7% | HEAD 9% | TAIL 36% | B/ATR nan
2000-04-10 | Bull | 15.44 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-11 | Bull | 15.44 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-12 | Bull | 15.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-13 | Bull | 15.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-14 | Bull | 15.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-17 | Bull | 16.0 / 6.7% | HEAD 0% | TAIL 50% | B/ATR nan
2000-04-18 | Bull | 16.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-19 | Bull | 16.0 / 6.7% | HEAD 0% | TAIL 100% | B/ATR nan
2000-04-20 | Bull | 15.0 / 7.1% | HEAD 100% | TAIL 0% | B/ATR nan
2000-04-24 | Bull | 15.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-25 | Bear | 13.0 / -7.1% | HEAD 100% | TAIL 0% | B/ATR nan
2000-04-26 | Bull | 13.5 / 8.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-27 | Bull | 14.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-28 | Bull | 14.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-01 | Bull | 14.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-02 | Bull | 15.0 / 20.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-03 | Bull | 15.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-04 | Bull | 14.0 / 9.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-05 | Bull | 13.98 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-08 | Bull | 13.98 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-09 | Bull | 12.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-10 | Bull | 14.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-11 | Bull | 14.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-12 | Bull | 14.0 / 0.0% | HEAD 0% | TAIL 600% | B/ATR nan
2000-05-15 | Bull | 14.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-16 | Bull | 14.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-17 | Bull | 13.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-18 | Bull | 14.0 / 12.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-19 | Bull | 14.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-22 | Bull | 13.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-23 | Bull | 13.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-24 | Bull | 12.5 / 0.0% | HEAD 5000% | TAIL 0% | B/ATR nan
2000-05-25 | Bull | 12.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-26 | Bull | 12.5 / 0.0% | HEAD 2500% | TAIL 0% | B/ATR nan
2000-05-30 | Bull | 12.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-31 | Bull | 12.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-06-01 | Bull | 12.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-06-02 | Bull | 12.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-06-05 | Bull | 12.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-06-06 | Bull | 12.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-06-07 | Bull | 13.0 / 0.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-06-08 | Bull | 13.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-06-09 | Bull | 13.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-06-12 | Bull | 13.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
