2002-02-13 | Bull | 0.65 / 22.6% | HEAD 0% | TAIL 0% | B/ATR 3.2
2002-04-04 | Bull | 0.87 / 7.4% | HEAD 0% | TAIL 0% | B/ATR 1.6
2002-06-26 | Bull | 0.8 / 14.3% | HEAD 0% | TAIL 0% | B/ATR 2.9
2002-08-15 | Bull | 0.7 / 7.7% | HEAD 0% | TAIL 0% | B/ATR 1.5
2002-08-26 | Bull | 0.7 / 7.7% | HEAD 0% | TAIL 0% | B/ATR 1.5
2002-08-29 | Bull | 0.7 / 7.7% | HEAD 0% | TAIL 0% | B/ATR 1.5
2002-10-30 | Bull | 0.65 / 14.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2002-12-12 | Bull | 0.95 / 11.8% | HEAD 0% | TAIL 0% | B/ATR 3.2
2003-01-06 | Bull | 0.95 / 11.8% | HEAD 0% | TAIL 0% | B/ATR 2.4
2003-01-31 | Bull | 0.75 / 15.4% | HEAD 0% | TAIL 0% | B/ATR 2.0
2003-02-03 | Bull | 0.8 / 21.2% | HEAD 0% | TAIL 0% | B/ATR 2.7
2003-04-04 | Bull | 0.79 / 21.5% | HEAD 7% | TAIL 0% | B/ATR 2.5
2003-04-21 | Bull | 0.7 / 14.8% | HEAD 0% | TAIL 0% | B/ATR 1.7
2003-09-12 | Bull | 1.2 / 20.0% | HEAD 0% | TAIL 10% | B/ATR 4.6
2003-09-22 | Bull | 1.2 / 6.2% | HEAD 0% | TAIL 0% | B/ATR 1.5
2003-09-29 | Bull | 1.2 / 7.1% | HEAD 13% | TAIL 0% | B/ATR 1.7
2003-10-17 | Bull | 1.51 / 6.3% | HEAD 0% | TAIL 0% | B/ATR 1.7
2003-10-20 | Bull | 1.67 / 10.6% | HEAD 0% | TAIL 6% | B/ATR 2.9
2003-10-21 | Bull | 2.1 / 25.7% | HEAD 5% | TAIL 0% | B/ATR 7.8
2003-11-25 | Bull | 1.88 / 8.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2003-12-29 | Bull | 1.69 / 12.7% | HEAD 0% | TAIL 0% | B/ATR 2.4
2003-12-30 | Bull | 1.72 / 10.3% | HEAD 0% | TAIL 0% | B/ATR 2.0
2004-02-13 | Bull | 2.24 / 12.0% | HEAD 0% | TAIL 4% | B/ATR 2.8
2004-02-25 | Bull | 2.79 / 19.7% | HEAD 0% | TAIL 9% | B/ATR 5.1
2004-03-12 | Bull | 3.3 / 6.5% | HEAD 0% | TAIL 15% | B/ATR 2.0
2004-10-21 | Bull | 2.25 / 21.6% | HEAD 0% | TAIL 0% | B/ATR 3.1
2004-10-27 | Bull | 2.42 / 12.6% | HEAD 11% | TAIL 0% | B/ATR 2.1
2005-02-03 | Bull | 4.67 / 13.9% | HEAD 12% | TAIL 0% | B/ATR 4.0
2005-02-07 | Bull | 4.95 / 5.3% | HEAD 20% | TAIL 4% | B/ATR 1.7
2005-02-17 | Bull | 5.4 / 5.3% | HEAD 19% | TAIL 7% | B/ATR 1.7
2005-02-24 | Bull | 6.4 / 18.5% | HEAD 0% | TAIL 0% | B/ATR 6.2
2005-03-16 | Bull | 5.99 / 7.0% | HEAD 15% | TAIL 13% | B/ATR 1.9
2005-04-07 | Bull | 7.14 / 10.2% | HEAD 2% | TAIL 3% | B/ATR 2.8
