2000-01-03 | Bear | 46.81 / -0.9% | HEAD 86% | TAIL 355% | B/ATR nan
2000-01-04 | Bear | 45.56 / -1.0% | HEAD 30% | TAIL 525% | B/ATR nan
2000-01-05 | Bear | 44.19 / -0.1% | HEAD 1250% | TAIL 733% | B/ATR nan
2000-01-06 | Bear | 41.19 / -6.5% | HEAD 0% | TAIL 59% | B/ATR nan
2000-01-07 | Bull | 41.88 / 2.1% | HEAD 49% | TAIL 70% | B/ATR nan
2000-01-10 | Bull | 43.25 / 3.0% | HEAD 140% | TAIL 60% | B/ATR nan
2000-01-11 | Bear | 41.5 / -3.5% | HEAD 33% | TAIL 0% | B/ATR nan
2000-01-12 | Bear | 40.44 / -2.6% | HEAD 6% | TAIL 53% | B/ATR nan
2000-01-13 | Bull | 42.13 / 4.3% | HEAD 21% | TAIL 29% | B/ATR nan
2000-01-14 | Bull | 43.94 / 2.8% | HEAD 147% | TAIL 10% | B/ATR nan
2000-01-18 | Bull | 45.81 / 2.9% | HEAD 15% | TAIL 153% | B/ATR nan
2000-01-19 | Bear | 45.38 / -1.3% | HEAD 0% | TAIL 61% | B/ATR nan
2000-01-20 | Bear | 45.25 / -1.1% | HEAD 500% | TAIL 74% | B/ATR nan
2000-01-21 | Bear | 44.75 / -0.8% | HEAD 47% | TAIL 295% | B/ATR nan
2000-01-24 | Bear | 42.75 / -7.4% | HEAD 0% | TAIL 7% | B/ATR nan
2000-01-25 | Bear | 42.38 / -1.3% | HEAD 79% | TAIL 246% | B/ATR nan
2000-01-26 | Bear | 40.63 / -4.1% | HEAD 64% | TAIL 43% | B/ATR nan
2000-01-27 | Bear | 38.5 / -6.0% | HEAD 0% | TAIL 61% | B/ATR nan
2000-01-28 | Bear | 37.38 / -1.6% | HEAD 40% | TAIL 242% | B/ATR nan
2000-01-31 | Bear | 37.06 / -1.3% | HEAD 164% | TAIL 412% | B/ATR nan
2000-02-01 | Bull | 37.94 / 2.2% | HEAD 38% | TAIL 170% | B/ATR nan
2000-02-02 | Bull | 39.0 / 2.3% | HEAD 86% | TAIL 22% | B/ATR nan
2000-02-03 | Bear | 39.63 / -1.5% | HEAD 131% | TAIL 40% | B/ATR nan
2000-02-04 | Bear | 40.56 / -0.8% | HEAD 0% | TAIL 253% | B/ATR nan
2000-02-07 | Bear | 38.06 / -6.6% | HEAD 0% | TAIL 2% | B/ATR nan
2000-02-08 | Bull | 39.88 / 2.3% | HEAD 156% | TAIL 114% | B/ATR nan
2000-02-09 | Bear | 40.88 / -1.2% | HEAD 136% | TAIL 14% | B/ATR nan
2000-02-10 | Bull | 49.25 / 13.5% | HEAD 13% | TAIL 0% | B/ATR nan
2000-02-11 | Bear | 50.0 / -3.3% | HEAD 4% | TAIL 214% | B/ATR nan
2000-02-14 | Bull | 58.0 / 15.7% | HEAD 0% | TAIL 6% | B/ATR nan
2000-02-15 | Bear | 55.75 / -4.1% | HEAD 3% | TAIL 100% | B/ATR nan
2000-02-16 | Bull | 58.31 / 3.4% | HEAD 101% | TAIL 33% | B/ATR nan
2000-02-17 | Bull | 60.38 / 4.1% | HEAD 16% | TAIL 21% | B/ATR nan
2000-02-18 | Bull | 67.38 / 13.2% | HEAD 11% | TAIL 6% | B/ATR nan
2000-02-22 | Bull | 65.5 / 0.4% | HEAD 252% | TAIL 900% | B/ATR nan
2000-02-23 | Bull | 65.88 / 1.7% | HEAD 60% | TAIL 72% | B/ATR nan
2000-02-24 | Bear | 65.25 / -1.5% | HEAD 44% | TAIL 275% | B/ATR nan
2000-02-25 | Bear | 61.19 / -6.3% | HEAD 0% | TAIL 65% | B/ATR nan
2000-02-28 | Bear | 60.75 / -0.2% | HEAD 477% | TAIL 769% | B/ATR nan
2000-02-29 | Bull | 64.0 / 6.0% | HEAD 21% | TAIL 0% | B/ATR nan
2000-03-01 | Bear | 62.13 / -2.9% | HEAD 0% | TAIL 53% | B/ATR nan
2000-03-02 | Bear | 57.94 / -7.5% | HEAD 0% | TAIL 4% | B/ATR nan
2000-03-03 | Bull | 58.88 / 1.5% | HEAD 70% | TAIL 57% | B/ATR nan
2000-03-06 | Bear | 58.5 / -1.3% | HEAD 600% | TAIL 67% | B/ATR nan
2000-03-07 | Bull | 83.31 / 11.5% | HEAD 46% | TAIL 35% | B/ATR nan
2000-03-08 | Bull | 84.0 / 0.9% | HEAD 103% | TAIL 825% | B/ATR nan
2000-03-09 | Bull | 100.3 / 18.0% | HEAD 50% | TAIL 2% | B/ATR nan
2000-03-10 | Bull | 118.0 / 11.8% | HEAD 216% | TAIL 5% | B/ATR nan
2000-03-13 | Bull | 149.3 / 39.5% | HEAD 2% | TAIL 0% | B/ATR nan
2000-03-14 | Bear | 110.1 / -25.8% | HEAD 0% | TAIL 5% | B/ATR nan
2000-03-15 | Bear | 105.6 / -10.5% | HEAD 25% | TAIL 29% | B/ATR nan
2000-03-16 | Bear | 94.17 / -13.6% | HEAD 26% | TAIL 10% | B/ATR nan
2000-03-17 | Bull | 99.88 / 8.6% | HEAD 90% | TAIL 0% | B/ATR nan
2000-03-20 | Bear | 99.81 / -3.5% | HEAD 103% | TAIL 89% | B/ATR nan
2000-03-21 | Bear | 94.88 / -5.1% | HEAD 18% | TAIL 154% | B/ATR nan
2000-03-22 | Bear | 95.56 / -0.1% | HEAD 4100% | TAIL 2229% | B/ATR nan
2000-03-23 | Bull | 97.25 / 2.7% | HEAD 205% | TAIL 7% | B/ATR nan
2000-03-24 | Bear | 93.19 / -3.5% | HEAD 128% | TAIL 93% | B/ATR nan
2000-03-27 | Bear | 87.06 / -6.4% | HEAD 51% | TAIL 14% | B/ATR nan
2000-03-28 | Bear | 80.56 / -4.2% | HEAD 27% | TAIL 45% | B/ATR nan
2000-03-29 | Bear | 75.25 / -7.0% | HEAD 33% | TAIL 58% | B/ATR nan
2000-03-30 | Bull | 74.81 / 2.5% | HEAD 383% | TAIL 138% | B/ATR nan
2000-03-31 | Bull | 84.48 / 5.7% | HEAD 75% | TAIL 31% | B/ATR nan
2000-04-03 | Bear | 77.88 / -7.0% | HEAD 5% | TAIL 37% | B/ATR nan
2000-04-04 | Bear | 75.0 / -8.0% | HEAD 29% | TAIL 277% | B/ATR nan
2000-04-05 | Bull | 91.69 / 21.0% | HEAD 36% | TAIL 24% | B/ATR nan
2000-04-06 | Bull | 95.94 / 0.0% | HEAD 48600% | TAIL 45600% | B/ATR nan
2000-04-07 | Bull | 102.6 / 3.4% | HEAD 70% | TAIL 79% | B/ATR nan
2000-04-10 | Bear | 93.5 / -10.4% | HEAD 56% | TAIL 18% | B/ATR nan
2000-04-11 | Bull | 87.94 / 1.1% | HEAD 751% | TAIL 745% | B/ATR nan
2000-04-12 | Bear | 78.81 / -10.5% | HEAD 21% | TAIL 3% | B/ATR nan
2000-04-13 | Bear | 75.44 / -5.0% | HEAD 70% | TAIL 33% | B/ATR nan
2000-04-14 | Bear | 68.8 / -2.6% | HEAD 297% | TAIL 180% | B/ATR nan
2000-04-17 | Bull | 72.31 / 14.8% | HEAD 29% | TAIL 0% | B/ATR nan
2000-04-18 | Bull | 85.13 / 7.0% | HEAD 83% | TAIL 42% | B/ATR nan
2000-04-19 | Bear | 81.06 / -7.7% | HEAD 18% | TAIL 16% | B/ATR nan
2000-04-20 | Bear | 80.63 / -3.1% | HEAD 60% | TAIL 43% | B/ATR nan
2000-04-24 | Bull | 76.63 / 0.8% | HEAD 437% | TAIL 535% | B/ATR nan
2000-04-25 | Bull | 85.0 / 6.2% | HEAD 51% | TAIL 4% | B/ATR nan
2000-04-26 | Bear | 84.13 / -7.5% | HEAD 30% | TAIL 2% | B/ATR nan
2000-04-27 | Bull | 91.0 / 15.9% | HEAD 7% | TAIL 4% | B/ATR nan
2000-04-28 | Bear | 89.13 / -3.6% | HEAD 108% | TAIL 0% | B/ATR nan
