2000-06-16 | Bull | 149.8 / 15.5% | HEAD 1% | TAIL 0% | B/ATR 2.2
2000-06-21 | Bull | 172.9 / 11.8% | HEAD 17% | TAIL 0% | B/ATR 2.0
2000-06-26 | Bull | 165.9 / 9.9% | HEAD 7% | TAIL 16% | B/ATR 1.6
2003-05-02 | Bull | 15.9 / 8.8% | HEAD 8% | TAIL 6% | B/ATR 1.5
2003-05-27 | Bull | 22.72 / 10.0% | HEAD 4% | TAIL 19% | B/ATR 2.4
2005-01-27 | Bull | 22.91 / 7.8% | HEAD 6% | TAIL 8% | B/ATR 2.0
2005-02-04 | Bull | 25.79 / 5.7% | HEAD 5% | TAIL 1% | B/ATR 1.7
2005-06-09 | Bull | 28.3 / 5.0% | HEAD 1% | TAIL 2% | B/ATR 1.5
2005-11-02 | Bull | 35.06 / 5.8% | HEAD 2% | TAIL 8% | B/ATR 2.1
2006-03-01 | Bull | 48.92 / 3.8% | HEAD 16% | TAIL 7% | B/ATR 1.5
2006-03-29 | Bull | 57.08 / 5.1% | HEAD 4% | TAIL 13% | B/ATR 2.2
2006-04-04 | Bull | 60.61 / 4.3% | HEAD 4% | TAIL 7% | B/ATR 1.9
2006-10-04 | Bull | 31.08 / 9.7% | HEAD 0% | TAIL 3% | B/ATR 2.1
2006-10-09 | Bull | 32.92 / 6.7% | HEAD 20% | TAIL 4% | B/ATR 1.6
2007-04-05 | Bull | 30.9 / 7.7% | HEAD 1% | TAIL 0% | B/ATR 1.8
2007-06-21 | Bull | 42.98 / 5.8% | HEAD 15% | TAIL 13% | B/ATR 2.1
2010-02-01 | Bull | 16.57 / 7.2% | HEAD 3% | TAIL 12% | B/ATR 2.0
2011-01-05 | Bull | 16.98 / 5.7% | HEAD 2% | TAIL 17% | B/ATR 2.1
2011-01-06 | Bull | 19.33 / 11.0% | HEAD 1% | TAIL 3% | B/ATR 4.3
2011-01-10 | Bull | 20.631 / 5.7% | HEAD 3% | TAIL 13% | B/ATR 2.5
2011-01-12 | Bull | 23.3525 / 14.9% | HEAD 1% | TAIL 2% | B/ATR 6.6
2011-02-17 | Bull | 25.68 / 13.0% | HEAD 11% | TAIL 4% | B/ATR 4.6
2011-10-04 | Bull | 12.9 / 12.0% | HEAD 0% | TAIL 3% | B/ATR 1.9
2012-02-16 | Bull | 16.45 / 9.2% | HEAD 9% | TAIL 4% | B/ATR 2.2
2013-08-14 | Bull | 15.03 / 4.4% | HEAD 14% | TAIL 2% | B/ATR 2.0
2013-11-08 | Bull | 15.56 / 3.7% | HEAD 9% | TAIL 12% | B/ATR 1.9
2013-11-13 | Bull | 16.15 / 3.0% | HEAD 0% | TAIL 6% | B/ATR 1.6
2014-02-14 | Bull | 17.91 / 4.1% | HEAD 6% | TAIL 1% | B/ATR 2.3
2014-02-20 | Bull | 18.78 / 3.3% | HEAD 6% | TAIL 5% | B/ATR 1.9
2014-04-08 | Bull | 18.86 / 3.6% | HEAD 8% | TAIL 5% | B/ATR 1.8
2014-08-08 | Bull | 19.0 / 4.3% | HEAD 13% | TAIL 0% | B/ATR 2.0
2014-10-21 | Bull | 18.32 / 3.5% | HEAD 3% | TAIL 8% | B/ATR 1.6
2015-05-27 | Bull | 21.84 / 4.6% | HEAD 10% | TAIL 7% | B/ATR 1.9
2015-08-10 | Bull | 23.78 / 4.2% | HEAD 18% | TAIL 15% | B/ATR 1.9
2015-08-26 | Bull | 21.81 / 4.2% | HEAD 2% | TAIL 18% | B/ATR 1.6
2015-12-04 | Bull | 33.75 / 4.1% | HEAD 5% | TAIL 0% | B/ATR 1.9
2016-03-01 | Bull | 32.75 / 4.2% | HEAD 0% | TAIL 4% | B/ATR 1.5
2016-05-13 | Bull | 40.98 / 4.6% | HEAD 1% | TAIL 11% | B/ATR 2.0
2016-09-01 | Bull | 63.15 / 2.9% | HEAD 13% | TAIL 3% | B/ATR 1.6
2016-09-15 | Bull | 62.69 / 3.6% | HEAD 3% | TAIL 6% | B/ATR 1.9
2016-09-27 | Bull | 66.54 / 3.8% | HEAD 4% | TAIL 1% | B/ATR 2.1
2016-10-24 | Bull | 70.71 / 4.0% | HEAD 3% | TAIL 0% | B/ATR 2.1
2016-11-11 | Bull | 87.97 / 10.6% | HEAD 9% | TAIL 12% | B/ATR 6.0
2016-12-23 | Bull | 109.78 / 3.2% | HEAD 2% | TAIL 3% | B/ATR 1.6
2016-12-27 | Bull | 117.32 / 4.7% | HEAD 1% | TAIL 16% | B/ATR 2.5
2017-01-09 | Bull | 107.28 / 3.7% | HEAD 19% | TAIL 0% | B/ATR 1.6
2017-05-10 | Bull | 121.29 / 6.1% | HEAD 8% | TAIL 4% | B/ATR 2.2
2017-05-15 | Bull | 134.31 / 3.7% | HEAD 2% | TAIL 4% | B/ATR 1.5
2017-08-14 | Bull | 168.4 / 5.5% | HEAD 2% | TAIL 5% | B/ATR 1.9
2017-09-15 | Bull | 180.11 / 4.2% | HEAD 0% | TAIL 3% | B/ATR 1.5
2018-01-03 | Bull | 212.47 / 4.1% | HEAD 15% | TAIL 4% | B/ATR 1.6
2018-02-06 | Bull | 225.58 / 10.4% | HEAD 1% | TAIL 2% | B/ATR 3.8
2018-02-14 | Bull | 241.42 / 4.5% | HEAD 11% | TAIL 4% | B/ATR 1.8
2018-04-04 | Bull | 226.24 / 5.2% | HEAD 4% | TAIL 9% | B/ATR 1.6
