2000-01-03|RED|H/Body 0.86 |T/Body 3.55 |CHG_PCT nan |CHG/ATR nan |B/CHG nan |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 47.2 |H 47.6 |L 45.2 |C 46.8 |V 627 Thousand
2000-01-04|RED|H/Body 0.30 |T/Body 5.25 |CHG_PCT -2.7 |CHG/ATR nan |B/CHG -0.35 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 1.0 |O 46.0 |H 46.1 |L 43.2 |C 45.6 |V 626 Thousand
2000-01-05|RED|H/Body 12.50 |T/Body 7.33 |CHG_PCT -3.0 |CHG/ATR nan |B/CHG -0.04 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.6 |O 44.2 |H 45.0 |L 43.8 |C 44.2 |V 392 Thousand
2000-01-06|RED|H/Body 0.00 |T/Body 0.59 |CHG_PCT -6.8 |CHG/ATR nan |B/CHG -0.96 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.6 |O 44.1 |H 44.1 |L 39.5 |C 41.2 |V 251 Thousand
2000-01-07|NIU|H/Body 0.49 |T/Body 0.70 |CHG_PCT 1.7 |CHG/ATR nan |B/CHG 1.28 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.6 |O 41.0 |H 42.3 |L 40.4 |C 41.9 |V 148 Thousand
2000-01-10|NIU|H/Body 1.40 |T/Body 0.60 |CHG_PCT 3.3 |CHG/ATR nan |B/CHG 0.91 |B/ATR nan |V/LONG nan |V/SHORT 1.2 |V/PREV 3.4 |O 42.0 |H 45.0 |L 41.2 |C 43.2 |V 500 Thousand
2000-01-11|RED|H/Body 0.33 |T/Body 0.00 |CHG_PCT -4.0 |CHG/ATR nan |B/CHG -0.86 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.6 |O 43.0 |H 43.5 |L 41.5 |C 41.5 |V 309 Thousand
2000-01-12|RED|H/Body 0.06 |T/Body 0.53 |CHG_PCT -2.6 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.8 |O 41.5 |H 41.6 |L 39.9 |C 40.4 |V 257 Thousand
2000-01-13|NIU|H/Body 0.21 |T/Body 0.29 |CHG_PCT 4.2 |CHG/ATR nan |B/CHG 1.04 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 1.1 |O 40.4 |H 42.5 |L 39.9 |C 42.1 |V 275 Thousand
2000-01-14|NIU|H/Body 1.47 |T/Body 0.10 |CHG_PCT 4.3 |CHG/ATR nan |B/CHG 0.66 |B/ATR nan |V/LONG nan |V/SHORT 4.2 |V/PREV 4.6 |O 42.8 |H 45.7 |L 42.6 |C 43.9 |V 1 Million
2000-01-18|NIU|H/Body 0.15 |T/Body 1.53 |CHG_PCT 4.3 |CHG/ATR nan |B/CHG 0.70 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 0.4 |O 44.5 |H 46.0 |L 42.5 |C 45.8 |V 545 Thousand
2000-01-19|RED|H/Body 0.00 |T/Body 0.61 |CHG_PCT -0.9 |CHG/ATR nan |B/CHG -1.44 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.6 |O 46.0 |H 46.0 |L 45.0 |C 45.4 |V 343 Thousand
2000-01-20|RED|H/Body 5.00 |T/Body 0.74 |CHG_PCT -0.3 |CHG/ATR nan |B/CHG -3.85 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 1.1 |O 45.8 |H 48.2 |L 44.9 |C 45.2 |V 374 Thousand
2000-01-21|RED|H/Body 0.47 |T/Body 2.95 |CHG_PCT -1.1 |CHG/ATR nan |B/CHG -0.76 |B/ATR nan |V/LONG nan |V/SHORT 2.0 |V/PREV 3.0 |O 45.1 |H 45.3 |L 43.6 |C 44.8 |V 1 Million
2000-01-24|RED|H/Body 0.00 |T/Body 0.07 |CHG_PCT -4.5 |CHG/ATR nan |B/CHG -1.72 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.5 |O 46.2 |H 46.2 |L 42.5 |C 42.8 |V 535 Thousand
