2013-08-19 | Bull | 1.3 / 18.2% | HEAD 0% | TAIL 0% | B/ATR nan
2013-08-20 | Bull | 2.25 / 60.7% | HEAD 0% | TAIL 0% | B/ATR nan
2013-08-21 | Bull | 3.2 / 36.2% | HEAD 6% | TAIL 0% | B/ATR nan
2013-08-22 | Bear | 3.1 / -3.4% | HEAD 0% | TAIL 455% | B/ATR nan
2013-08-23 | Bull | 3.1 / 0.0% | HEAD 0% | TAIL 3500% | B/ATR nan
2013-08-26 | Bull | 3.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2013-08-27 | Bull | 3.1 / 3.7% | HEAD 0% | TAIL 82% | B/ATR nan
2013-08-28 | Bull | 3.1 / 12.7% | HEAD 0% | TAIL 54% | B/ATR nan
2013-08-29 | Bull | 3.25 / 0.0% | HEAD 0% | TAIL 2500% | B/ATR nan
2013-08-30 | Bull | 3.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2013-09-03 | Bear | 2.95 / -1.7% | HEAD 0% | TAIL 0% | B/ATR nan
2013-09-04 | Bear | 3.0 / -7.7% | HEAD 0% | TAIL 40% | B/ATR nan
2013-09-05 | Bull | 2.75 / 0.0% | HEAD 1500% | TAIL 0% | B/ATR nan
2013-09-06 | Bull | 3.0 / 3.4% | HEAD 250% | TAIL 150% | B/ATR nan
2013-09-09 | Bear | 3.09 / -1.9% | HEAD 0% | TAIL 483% | B/ATR nan
2013-09-10 | Bull | 3.14 / 3.0% | HEAD 11% | TAIL 167% | B/ATR nan
2013-09-11 | Bear | 3.05 / -2.2% | HEAD 0% | TAIL 71% | B/ATR nan
2013-09-12 | Bull | 3.1 / 1.6% | HEAD 0% | TAIL 20% | B/ATR nan
2013-09-13 | Bear | 2.99 / -3.5% | HEAD 0% | TAIL 82% | B/ATR nan
2013-09-16 | Bull | 3.1 / 0.0% | HEAD 0% | TAIL 3000% | B/ATR nan
2013-09-17 | Bear | 3.09 / -0.3% | HEAD 0% | TAIL 2300% | B/ATR nan
