2000-01-03 | Bear | 42.19 / -2.2% | HEAD 0% | TAIL 127% | B/ATR nan
2000-01-04 | Bear | 40.13 / -3.0% | HEAD 70% | TAIL 90% | B/ATR nan
2000-01-05 | Bull | 44.5 / 11.2% | HEAD 44% | TAIL 19% | B/ATR nan
2000-01-06 | Bear | 44.63 / -0.3% | HEAD 1042% | TAIL 733% | B/ATR nan
2000-01-07 | Bull | 45.25 / 1.7% | HEAD 25% | TAIL 92% | B/ATR nan
2000-01-10 | Bear | 45.72 / -0.1% | HEAD 1667% | TAIL 5733% | B/ATR nan
2000-01-11 | Bull | 45.38 / 0.8% | HEAD 163% | TAIL 0% | B/ATR nan
2000-01-12 | Bear | 44.5 / -1.9% | HEAD 14% | TAIL 28% | B/ATR nan
2000-01-13 | Bull | 48.0 / 8.2% | HEAD 7% | TAIL 0% | B/ATR nan
2000-01-14 | Bear | 46.75 / -2.6% | HEAD 0% | TAIL 10% | B/ATR nan
2000-01-18 | Bull | 47.0 / 1.0% | HEAD 0% | TAIL 379% | B/ATR nan
2000-01-19 | Bear | 46.5 / -0.3% | HEAD 192% | TAIL 146% | B/ATR nan
2000-01-20 | Bear | 46.0 / -0.6% | HEAD 125% | TAIL 268% | B/ATR nan
2000-01-21 | Bull | 46.81 / 1.1% | HEAD 238% | TAIL 86% | B/ATR nan
2000-01-24 | Bear | 45.81 / -2.3% | HEAD 58% | TAIL 0% | B/ATR nan
2000-01-25 | Bull | 46.88 / 0.8% | HEAD 0% | TAIL 197% | B/ATR nan
2000-01-26 | Bear | 46.13 / -1.7% | HEAD 52% | TAIL 47% | B/ATR nan
2000-01-27 | Bull | 46.31 / 0.4% | HEAD 139% | TAIL 211% | B/ATR nan
2000-01-28 | Bear | 44.06 / -4.3% | HEAD 31% | TAIL 2% | B/ATR nan
2000-01-31 | Bear | 43.56 / -1.3% | HEAD 328% | TAIL 98% | B/ATR nan
2000-02-01 | Bear | 42.69 / -3.0% | HEAD 0% | TAIL 24% | B/ATR nan
2000-02-02 | Bull | 44.13 / 2.6% | HEAD 232% | TAIL 88% | B/ATR nan
2000-02-03 | Bull | 46.44 / 5.8% | HEAD 12% | TAIL 0% | B/ATR nan
2000-02-04 | Bear | 44.69 / -3.9% | HEAD 0% | TAIL 17% | B/ATR nan
