2000-05-30 | Bull | 51.63 / 7.6% | HEAD 15% | TAIL 3% | B/ATR 1.7
2000-06-13 | Bull | 53.44 / 6.5% | HEAD 0% | TAIL 14% | B/ATR 1.5
2000-06-26 | Bull | 54.0 / 11.9% | HEAD 3% | TAIL 1% | B/ATR 2.7
2001-09-26 | Bull | 35.71 / 6.6% | HEAD 8% | TAIL 5% | B/ATR 1.6
2002-05-23 | Bull | 47.35 / 3.5% | HEAD 1% | TAIL 9% | B/ATR 1.6
2002-05-24 | Bull | 49.12 / 3.5% | HEAD 16% | TAIL 0% | B/ATR 1.7
2002-06-10 | Bull | 52.41 / 3.9% | HEAD 12% | TAIL 13% | B/ATR 1.9
2003-08-18 | Bull | 54.06 / 4.8% | HEAD 13% | TAIL 6% | B/ATR 1.9
2004-01-15 | Bull | 64.3 / 4.8% | HEAD 10% | TAIL 5% | B/ATR 1.9
2004-04-05 | Bull | 75.86 / 5.2% | HEAD 6% | TAIL 5% | B/ATR 2.3
2004-04-14 | Bull | 77.02 / 3.5% | HEAD 18% | TAIL 0% | B/ATR 1.6
2006-02-23 | Bull | 36.63 / 5.1% | HEAD 19% | TAIL 7% | B/ATR 1.9
2006-11-30 | Bull | 37.11 / 3.9% | HEAD 7% | TAIL 16% | B/ATR 2.2
2007-08-21 | Bull | 39.04 / 5.0% | HEAD 15% | TAIL 2% | B/ATR 2.5
2007-09-04 | Bull | 38.11 / 3.9% | HEAD 8% | TAIL 5% | B/ATR 1.8
2008-08-05 | Bull | 32.38 / 5.7% | HEAD 0% | TAIL 0% | B/ATR 2.0
2008-10-30 | Bull | 25.68 / 9.2% | HEAD 4% | TAIL 0% | B/ATR 2.0
2011-02-18 | Bull | 33.85 / 9.4% | HEAD 4% | TAIL 17% | B/ATR 5.7
2011-07-01 | Bull | 33.77 / 2.9% | HEAD 4% | TAIL 10% | B/ATR 1.7
2011-08-23 | Bull | 29.02 / 4.6% | HEAD 7% | TAIL 15% | B/ATR 2.1
2011-08-24 | Bull | 29.91 / 3.5% | HEAD 5% | TAIL 2% | B/ATR 1.6
2011-08-26 | Bull | 27.25 / 4.0% | HEAD 1% | TAIL 0% | B/ATR 1.7
2011-08-29 | Bull | 28.53 / 3.9% | HEAD 3% | TAIL 3% | B/ATR 1.7
2013-05-23 | Bull | 39.55 / 4.2% | HEAD 5% | TAIL 0% | B/ATR 2.9
2013-11-22 | Bull | 41.73 / 3.1% | HEAD 1% | TAIL 0% | B/ATR 2.2
2014-01-09 | Bull | 41.29 / 2.8% | HEAD 4% | TAIL 5% | B/ATR 1.9
2015-01-07 | Bull | 49.39 / 3.3% | HEAD 8% | TAIL 8% | B/ATR 2.4
2015-03-12 | Bull | 49.16 / 2.4% | HEAD 4% | TAIL 0% | B/ATR 1.5
2017-06-01 | Bull | 47.13 / 4.7% | HEAD 16% | TAIL 20% | B/ATR 2.8
2017-12-04 | Bull | 37.3 / 5.2% | HEAD 9% | TAIL 1% | B/ATR 2.1
2018-03-02 | Bull | 25.01 / 6.7% | HEAD 10% | TAIL 8% | B/ATR 1.5
