2005-03-24 | Bull | 9.6 / 3.2% | HEAD 117% | TAIL 93% | B/ATR nan
2005-03-28 | Bull | 10.25 / 2.5% | HEAD 300% | TAIL 0% | B/ATR nan
2005-03-29 | Bear | 9.831 / -4.9% | HEAD 47% | TAIL 61% | B/ATR nan
2005-03-30 | Bull | 10.0 / 0.0% | HEAD 1800% | TAIL 690% | B/ATR nan
2005-03-31 | Bear | 10.03 / -2.1% | HEAD 0% | TAIL 36% | B/ATR nan
2005-04-01 | Bull | 10.45 / 4.5% | HEAD 0% | TAIL 42% | B/ATR nan
2005-04-04 | Bear | 10.29 / -1.5% | HEAD 0% | TAIL 150% | B/ATR nan
2005-04-05 | Bull | 11.0 / 7.3% | HEAD 93% | TAIL 0% | B/ATR nan
2005-04-06 | Bull | 12.7 / 12.4% | HEAD 57% | TAIL 4% | B/ATR nan
2005-04-07 | Bear | 12.94 / -0.5% | HEAD 800% | TAIL 567% | B/ATR nan
2005-04-08 | Bull | 12.2 / 1.7% | HEAD 260% | TAIL 0% | B/ATR nan
2005-04-11 | Bear | 11.29 / -0.1% | HEAD 4400% | TAIL 3900% | B/ATR nan
2005-04-12 | Bear | 10.65 / -5.7% | HEAD 11% | TAIL 6% | B/ATR nan
2005-04-13 | Bull | 10.28 / 1.9% | HEAD 589% | TAIL 21% | B/ATR nan
2005-04-14 | Bull | 10.85 / 0.0% | HEAD 6200% | TAIL 7400% | B/ATR nan
2005-04-15 | Bear | 10.83 / -1.5% | HEAD 100% | TAIL 75% | B/ATR nan
2005-04-18 | Bear | 10.01 / -6.4% | HEAD 0% | TAIL 1% | B/ATR nan
2005-04-19 | Bear | 10.476 / -4.7% | HEAD 0% | TAIL 71% | B/ATR nan
2005-04-20 | Bear | 10.319 / -4.0% | HEAD 0% | TAIL 49% | B/ATR nan
2005-04-21 | Bear | 9.26 / -8.3% | HEAD 0% | TAIL 1% | B/ATR nan
2005-04-22 | Bear | 9.44 / -4.3% | HEAD 0% | TAIL 93% | B/ATR nan
2005-04-25 | Bear | 9.0 / -2.6% | HEAD 48% | TAIL 153% | B/ATR nan
2005-04-26 | Bull | 8.62 / 6.9% | HEAD 50% | TAIL 179% | B/ATR nan
2005-04-27 | Bull | 8.6 / 16.8% | HEAD 20% | TAIL 0% | B/ATR nan
2005-04-28 | Bear | 8.58 / -2.5% | HEAD 0% | TAIL 159% | B/ATR nan
2005-04-29 | Bear | 8.67 / -1.5% | HEAD 0% | TAIL 469% | B/ATR nan
2005-05-02 | Bull | 8.9 / 2.7% | HEAD 22% | TAIL 0% | B/ATR nan
2005-05-03 | Bear | 9.14 / -1.7% | HEAD 0% | TAIL 400% | B/ATR nan
2005-05-04 | Bull | 9.49 / 5.9% | HEAD 2% | TAIL 15% | B/ATR nan
2005-05-05 | Bull | 9.75 / 0.4% | HEAD 0% | TAIL 1520% | B/ATR nan
2005-05-06 | Bull | 9.91 / 1.6% | HEAD 56% | TAIL 199% | B/ATR nan
2005-05-09 | Bull | 10.0 / 0.0% | HEAD 700% | TAIL 500% | B/ATR nan
2005-05-10 | Bull | 10.24 / 2.0% | HEAD 0% | TAIL 85% | B/ATR nan
2005-05-11 | Bear | 10.1 / -0.8% | HEAD 0% | TAIL 249% | B/ATR nan
2005-05-12 | Bull | 10.5 / 1.8% | HEAD 253% | TAIL 284% | B/ATR nan
2005-05-13 | Bear | 10.6 / -1.4% | HEAD 0% | TAIL 320% | B/ATR nan
2005-05-16 | Bull | 10.95 / 1.9% | HEAD 15% | TAIL 150% | B/ATR nan
2005-05-17 | Bear | 10.74 / -1.9% | HEAD 19% | TAIL 5% | B/ATR nan
2005-05-18 | Bear | 10.449 / -2.8% | HEAD 0% | TAIL 226% | B/ATR nan
2005-05-19 | Bear | 9.99 / -2.4% | HEAD 0% | TAIL 16% | B/ATR nan
2005-05-20 | Bull | 10.0 / 0.5% | HEAD 100% | TAIL 0% | B/ATR nan
2005-05-23 | Bull | 9.95 / 0.2% | HEAD 526% | TAIL 268% | B/ATR nan
2005-05-24 | Bear | 9.94 / -0.1% | HEAD 0% | TAIL 1700% | B/ATR nan
2005-05-25 | Bull | 10.0 / 2.4% | HEAD 0% | TAIL 113% | B/ATR nan
2005-05-26 | Bull | 10.22 / 1.3% | HEAD 208% | TAIL 415% | B/ATR nan
2005-05-27 | Bull | 10.69 / 2.3% | HEAD 0% | TAIL 42% | B/ATR nan
2005-05-31 | Bear | 10.94 / -0.5% | HEAD 0% | TAIL 1133% | B/ATR nan
2005-06-01 | Bull | 10.45 / 1.9% | HEAD 237% | TAIL 0% | B/ATR nan
2005-06-02 | Bear | 10.09 / -3.5% | HEAD 118% | TAIL 27% | B/ATR nan
2005-06-03 | Bull | 10.48 / 4.8% | HEAD 67% | TAIL 206% | B/ATR nan
2005-06-06 | Bear | 11.0503 / -0.9% | HEAD 0% | TAIL 662% | B/ATR nan
