2006-01-30 | Bull | 14.64 / 17.6% | HEAD 12% | TAIL 0% | B/ATR 3.3
2006-04-05 | Bull | 25.75 / 15.8% | HEAD 0% | TAIL 4% | B/ATR 3.7
2006-05-08 | Bull | 39.51 / 9.6% | HEAD 14% | TAIL 16% | B/ATR 2.7
2007-11-29 | Bull | 6.62 / 42.4% | HEAD 13% | TAIL 4% | B/ATR 3.8
2008-05-19 | Bull | 5.14 / 37.4% | HEAD 2% | TAIL 6% | B/ATR 3.0
2008-09-29 | Bull | 2.08 / 52.9% | HEAD 0% | TAIL 17% | B/ATR 2.5
2009-12-28 | Bull | 0.788 / 14.8% | HEAD 0% | TAIL 16% | B/ATR 1.6
2010-01-08 | Bull | 1.425 / 54.9% | HEAD 15% | TAIL 6% | B/ATR 7.6
2010-10-01 | Bull | 1.03 / 17.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2011-01-04 | Bull | 0.96 / 28.0% | HEAD 5% | TAIL 0% | B/ATR 2.6
2011-06-17 | Bull | 1.5 / 16.3% | HEAD 0% | TAIL 5% | B/ATR 3.3
2011-11-15 | Bull | 1.33 / 29.1% | HEAD 17% | TAIL 7% | B/ATR 3.9
2011-12-01 | Bull | 1.35 / 20.5% | HEAD 4% | TAIL 13% | B/ATR 2.6
2011-12-28 | Bull | 1.15 / 25.0% | HEAD 13% | TAIL 17% | B/ATR 2.1
2012-02-24 | Bull | 1.39 / 20.9% | HEAD 13% | TAIL 0% | B/ATR 2.1
2012-09-17 | Bull | 0.6896 / 32.6% | HEAD 3% | TAIL 14% | B/ATR 3.0
2013-05-15 | Bull | 4.24 / 7.1% | HEAD 14% | TAIL 11% | B/ATR 8.2
2013-10-02 | Bull | 4.0 / 11.1% | HEAD 12% | TAIL 0% | B/ATR 1.9
2013-11-27 | Bull | 3.76 / 13.9% | HEAD 9% | TAIL 1% | B/ATR 2.3
2014-01-07 | Bull | 5.56 / 8.4% | HEAD 0% | TAIL 5% | B/ATR 1.8
2014-01-14 | Bull | 6.38 / 9.1% | HEAD 0% | TAIL 6% | B/ATR 2.1
2014-02-20 | Bull | 8.59 / 8.1% | HEAD 8% | TAIL 0% | B/ATR 1.9
2014-02-27 | Bull | 14.94 / 30.4% | HEAD 2% | TAIL 10% | B/ATR 9.6
2014-03-28 | Bull | 15.81 / 11.4% | HEAD 8% | TAIL 0% | B/ATR 2.8
2014-08-01 | Bull | 19.14 / 7.6% | HEAD 12% | TAIL 15% | B/ATR 1.5
2014-10-16 | Bull | 11.62 / 14.5% | HEAD 18% | TAIL 10% | B/ATR 1.5
2015-11-30 | Bull | 4.99 / 20.2% | HEAD 15% | TAIL 3% | B/ATR 1.8
2016-05-25 | Bull | 6.04 / 18.2% | HEAD 3% | TAIL 4% | B/ATR 2.5
2016-11-21 | Bull | 7.65 / 15.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2016-12-08 | Bull | 9.85 / 10.7% | HEAD 8% | TAIL 0% | B/ATR 2.8
2018-03-12 | Bull | 4.15 / 18.6% | HEAD 0% | TAIL 0% | B/ATR 2.7
2018-04-18 | Bull | 3.9 / 18.2% | HEAD 8% | TAIL 17% | B/ATR 2.4
