2000-01-03 | Bear | 107.2 / -0.6% | HEAD 17% | TAIL 17% | B/ATR nan
2000-01-04 | Bear | 105.1 / -1.2% | HEAD 154% | TAIL 100% | B/ATR nan
2000-01-05 | Bear | 104.2 / -0.7% | HEAD 71% | TAIL 171% | B/ATR nan
2000-01-06 | Bull | 107.9 / 2.7% | HEAD 54% | TAIL 0% | B/ATR nan
2000-01-07 | Bull | 116.5 / 6.3% | HEAD 7% | TAIL 6% | B/ATR nan
2000-01-10 | Bull | 115.9 / 0.1% | HEAD 1400% | TAIL 1400% | B/ATR nan
2000-01-11 | Bull | 117.8 / 2.1% | HEAD 0% | TAIL 42% | B/ATR nan
2000-01-12 | Bull | 117.0 / 0.3% | HEAD 350% | TAIL 125% | B/ATR nan
2000-01-13 | Bear | 115.0 / -1.6% | HEAD 5% | TAIL 21% | B/ATR nan
2000-01-14 | Bull | 117.0 / 1.3% | HEAD 0% | TAIL 7% | B/ATR nan
2000-01-18 | Bull | 116.9 / 0.0% | HEAD 11000% | TAIL 8000% | B/ATR nan
2000-01-19 | Bull | 115.4 / 1.2% | HEAD 43% | TAIL 29% | B/ATR nan
2000-01-20 | Bear | 112.6 / -1.2% | HEAD 21% | TAIL 357% | B/ATR nan
2000-01-21 | Bear | 102.7 / -8.8% | HEAD 0% | TAIL 32% | B/ATR nan
2000-01-24 | Bull | 96.0 / 0.0% | HEAD 128800% | TAIL 11900% | B/ATR nan
2000-01-25 | Bear | 97.5 / -5.9% | HEAD 2% | TAIL 8% | B/ATR nan
2000-01-26 | Bull | 100.6 / 1.6% | HEAD 13% | TAIL 12% | B/ATR nan
2000-01-27 | Bull | 104.1 / 2.1% | HEAD 14% | TAIL 38% | B/ATR nan
2000-01-28 | Bear | 100.3 / -3.3% | HEAD 0% | TAIL 27% | B/ATR nan
2000-01-31 | Bull | 101.1 / 0.8% | HEAD 0% | TAIL 240% | B/ATR nan
2000-02-01 | Bear | 99.5 / -1.2% | HEAD 17% | TAIL 62% | B/ATR nan
2000-02-02 | Bear | 98.63 / -1.1% | HEAD 17% | TAIL 22% | B/ATR nan
2000-02-03 | Bear | 97.81 / -2.0% | HEAD 0% | TAIL 56% | B/ATR nan
2000-02-04 | Bear | 94.75 / -2.9% | HEAD 2% | TAIL 26% | B/ATR nan
2000-02-07 | Bear | 93.25 / -0.8% | HEAD 108% | TAIL 92% | B/ATR nan
2000-02-08 | Bull | 95.75 / 1.9% | HEAD 7% | TAIL 68% | B/ATR nan
2000-02-09 | Bear | 94.0 / -1.3% | HEAD 50% | TAIL 20% | B/ATR nan
2000-02-10 | Bear | 91.44 / -2.5% | HEAD 41% | TAIL 60% | B/ATR nan
2000-02-11 | Bull | 93.75 / 2.7% | HEAD 8% | TAIL 0% | B/ATR nan
