2000-10-27 | Bull | 76.94 / 4.3% | HEAD 0% | TAIL 8% | B/ATR 1.7
2002-03-01 | Bull | 87.55 / 3.0% | HEAD 0% | TAIL 6% | B/ATR 1.7
2002-06-12 | Bull | 93.0 / 2.8% | HEAD 0% | TAIL 9% | B/ATR 1.7
2002-06-17 | Bull | 93.9 / 2.6% | HEAD 0% | TAIL 0% | B/ATR 1.6
2002-07-24 | Bull | 82.25 / 5.3% | HEAD 2% | TAIL 0% | B/ATR 2.4
2004-01-26 | Bull | 99.83 / 1.9% | HEAD 8% | TAIL 0% | B/ATR 1.8
2004-01-29 | Bull | 101.0 / 2.2% | HEAD 5% | TAIL 5% | B/ATR 2.0
2005-03-30 | Bull | 53.36 / 2.7% | HEAD 14% | TAIL 3% | B/ATR 1.5
2005-09-30 | Bull | 59.46 / 2.7% | HEAD 0% | TAIL 18% | B/ATR 2.1
2005-12-13 | Bull | 58.51 / 2.3% | HEAD 18% | TAIL 0% | B/ATR 1.7
2006-10-04 | Bull | 63.34 / 2.0% | HEAD 15% | TAIL 5% | B/ATR 1.5
2007-07-12 | Bull | 62.93 / 2.2% | HEAD 4% | TAIL 1% | B/ATR 1.8
2007-08-06 | Bull | 65.0 / 3.2% | HEAD 0% | TAIL 2% | B/ATR 2.6
2008-08-08 | Bull | 69.63 / 3.9% | HEAD 10% | TAIL 8% | B/ATR 2.4
2008-09-30 | Bull | 69.69 / 3.7% | HEAD 9% | TAIL 6% | B/ATR 2.0
2008-10-01 | Bull | 71.27 / 2.8% | HEAD 9% | TAIL 0% | B/ATR 1.5
2010-05-21 | Bull | 61.85 / 2.4% | HEAD 2% | TAIL 2% | B/ATR 1.7
2010-06-08 | Bull | 62.14 / 2.4% | HEAD 7% | TAIL 13% | B/ATR 1.6
2012-02-23 | Bull | 66.42 / 3.2% | HEAD 7% | TAIL 5% | B/ATR 2.3
2013-01-25 | Bull | 73.25 / 2.1% | HEAD 0% | TAIL 0% | B/ATR 2.0
2014-08-06 | Bull | 81.09 / 2.1% | HEAD 12% | TAIL 8% | B/ATR 2.1
2015-07-07 | Bull | 81.72 / 2.1% | HEAD 7% | TAIL 0% | B/ATR 1.7
2015-12-04 | Bull | 77.83 / 2.4% | HEAD 4% | TAIL 3% | B/ATR 1.6
2016-02-08 | Bull | 82.62 / 2.9% | HEAD 4% | TAIL 0% | B/ATR 2.0
2016-09-12 | Bull | 88.25 / 2.6% | HEAD 6% | TAIL 4% | B/ATR 2.3
