2000-01-03 | Bear | 27.0 / -0.9% | HEAD 300% | TAIL 0% | B/ATR nan
2000-01-04 | Bear | 25.75 / -1.7% | HEAD 184% | TAIL 0% | B/ATR nan
2000-01-05 | Bull | 27.81 / 4.9% | HEAD 24% | TAIL 19% | B/ATR nan
2000-01-06 | Bull | 36.25 / 9.0% | HEAD 238% | TAIL 42% | B/ATR nan
2000-01-07 | Bull | 79.0 / 91.5% | HEAD 15% | TAIL 1% | B/ATR nan
2000-01-10 | Bear | 58.81 / -21.2% | HEAD 2% | TAIL 4% | B/ATR nan
2000-01-11 | Bear | 50.69 / -12.8% | HEAD 5% | TAIL 34% | B/ATR nan
2000-01-12 | Bull | 56.88 / 7.3% | HEAD 209% | TAIL 19% | B/ATR nan
2000-01-13 | Bear | 57.88 / -3.1% | HEAD 0% | TAIL 154% | B/ATR nan
2000-01-14 | Bear | 55.0 / -6.2% | HEAD 45% | TAIL 0% | B/ATR nan
2000-01-18 | Bull | 63.5 / 9.5% | HEAD 27% | TAIL 25% | B/ATR nan
2000-01-19 | Bull | 77.75 / 14.4% | HEAD 94% | TAIL 34% | B/ATR nan
2000-01-20 | Bull | 85.0 / 2.2% | HEAD 53% | TAIL 428% | B/ATR nan
2000-01-21 | Bull | 108.9 / 19.0% | HEAD 32% | TAIL 37% | B/ATR nan
2000-01-24 | Bull | 136.5 / 6.4% | HEAD 244% | TAIL 65% | B/ATR nan
2000-01-25 | Bear | 131.0 / -6.3% | HEAD 7% | TAIL 182% | B/ATR nan
2000-01-26 | Bear | 119.9 / -5.9% | HEAD 8% | TAIL 25% | B/ATR nan
2000-01-27 | Bear | 98.94 / -16.9% | HEAD 4% | TAIL 17% | B/ATR nan
2000-01-28 | Bear | 83.5 / -7.6% | HEAD 64% | TAIL 29% | B/ATR nan
2000-01-31 | Bull | 93.75 / 20.5% | HEAD 14% | TAIL 10% | B/ATR nan
2000-02-01 | Bull | 113.4 / 16.5% | HEAD 13% | TAIL 45% | B/ATR nan
2000-02-02 | Bear | 103.0 / -5.3% | HEAD 79% | TAIL 7% | B/ATR nan
2000-02-03 | Bull | 111.0 / 10.9% | HEAD 35% | TAIL 0% | B/ATR nan
2000-02-04 | Bear | 115.0 / -0.9% | HEAD 1173% | TAIL 273% | B/ATR nan
2000-02-07 | Bear | 109.0 / -7.9% | HEAD 11% | TAIL 36% | B/ATR nan
2000-02-08 | Bear | 113.0 / -1.1% | HEAD 62% | TAIL 231% | B/ATR nan
2000-02-09 | Bear | 111.5 / -4.7% | HEAD 2% | TAIL 42% | B/ATR nan
2000-02-10 | Bear | 109.1 / -2.4% | HEAD 0% | TAIL 141% | B/ATR nan
2000-02-11 | Bull | 112.1 / 5.2% | HEAD 16% | TAIL 27% | B/ATR nan
2000-02-14 | Bull | 133.5 / 14.7% | HEAD 9% | TAIL 17% | B/ATR nan
2000-02-15 | Bear | 126.4 / -7.1% | HEAD 4% | TAIL 50% | B/ATR nan
2000-02-16 | Bear | 119.6 / -2.0% | HEAD 116% | TAIL 104% | B/ATR nan
2000-02-17 | Bull | 128.8 / 9.3% | HEAD 25% | TAIL 9% | B/ATR nan
2000-02-18 | Bear | 131.0 / -0.8% | HEAD 660% | TAIL 590% | B/ATR nan
2000-02-22 | Bear | 131.0 / -3.0% | HEAD 95% | TAIL 122% | B/ATR nan
2000-02-23 | Bear | 126.9 / -4.6% | HEAD 16% | TAIL 15% | B/ATR nan
2000-02-24 | Bear | 120.6 / -5.8% | HEAD 0% | TAIL 62% | B/ATR nan
