2001-05-17 | Bull | 29.14 / 17.1% | HEAD 15% | TAIL 18% | B/ATR 2.0
2001-05-24 | Bull | 33.25 / 11.7% | HEAD 16% | TAIL 0% | B/ATR 1.6
2002-01-08 | Bull | 12.04 / 36.9% | HEAD 0% | TAIL 5% | B/ATR 3.2
2002-10-29 | Bull | 6.48 / 15.7% | HEAD 15% | TAIL 3% | B/ATR 1.8
2003-01-28 | Bull | 5.39 / 27.7% | HEAD 17% | TAIL 2% | B/ATR 2.9
2003-01-29 | Bull | 5.39 / 27.7% | HEAD 17% | TAIL 2% | B/ATR 2.9
2003-08-15 | Bull | 5.16 / 12.2% | HEAD 9% | TAIL 11% | B/ATR 2.1
2003-08-21 | Bull | 5.44 / 11.9% | HEAD 2% | TAIL 9% | B/ATR 2.2
2003-10-02 | Bull | 6.02 / 8.3% | HEAD 17% | TAIL 13% | B/ATR 1.6
2004-03-02 | Bull | 7.9 / 8.8% | HEAD 6% | TAIL 9% | B/ATR 1.5
2004-04-16 | Bull | 9.65 / 14.5% | HEAD 16% | TAIL 10% | B/ATR 2.6
2005-03-02 | Bull | 8.09 / 7.9% | HEAD 2% | TAIL 3% | B/ATR 1.9
2005-04-18 | Bull | 6.21 / 9.4% | HEAD 17% | TAIL 3% | B/ATR 1.6
2005-05-24 | Bull | 6.5 / 11.1% | HEAD 8% | TAIL 11% | B/ATR 1.9
2005-06-14 | Bull | 6.66 / 11.6% | HEAD 6% | TAIL 1% | B/ATR 2.0
2006-01-30 | Bull | 6.09 / 8.8% | HEAD 8% | TAIL 10% | B/ATR 1.8
2007-11-06 | Bull | 3.58 / 10.8% | HEAD 3% | TAIL 9% | B/ATR 2.3
2007-12-06 | Bull | 3.77 / 9.0% | HEAD 0% | TAIL 3% | B/ATR 1.8
2008-03-20 | Bull | 3.33 / 19.4% | HEAD 0% | TAIL 2% | B/ATR 2.4
2008-07-29 | Bull | 2.44 / 14.0% | HEAD 13% | TAIL 3% | B/ATR 1.5
2008-08-08 | Bull | 2.37 / 14.5% | HEAD 0% | TAIL 0% | B/ATR 1.6
2008-10-13 | Bull | 1.22 / 50.6% | HEAD 0% | TAIL 10% | B/ATR 1.9
2008-12-16 | Bull | 1.55 / 32.5% | HEAD 0% | TAIL 5% | B/ATR 2.0
2012-02-07 | Bull | 2.3601 / 14.6% | HEAD 20% | TAIL 0% | B/ATR 2.2
2013-05-08 | Bull | 0.24 / 37.1% | HEAD 8% | TAIL 6% | B/ATR 1.6
2013-05-21 | Bull | 0.318 / 22.3% | HEAD 17% | TAIL 8% | B/ATR 1.5
2013-07-30 | Bull | 0.46 / 16.7% | HEAD 0% | TAIL 16% | B/ATR 1.6
2013-08-06 | Bull | 0.539 / 14.7% | HEAD 1% | TAIL 7% | B/ATR 1.7
2013-10-10 | Bull | 0.6685 / 13.7% | HEAD 14% | TAIL 0% | B/ATR 1.7
2013-12-04 | Bull | 1.27 / 21.0% | HEAD 5% | TAIL 18% | B/ATR 4.3
2013-12-12 | Bull | 1.98 / 8.8% | HEAD 6% | TAIL 6% | B/ATR 2.7
2014-03-03 | Bull | 5.82 / 26.5% | HEAD 1% | TAIL 8% | B/ATR 5.7
2014-03-07 | Bull | 8.27 / 21.8% | HEAD 5% | TAIL 18% | B/ATR 6.4
2014-03-25 | Bull | 8.48 / 43.0% | HEAD 0% | TAIL 5% | B/ATR 7.3
2017-02-10 | Bull | 1.18 / 38.8% | HEAD 15% | TAIL 3% | B/ATR 4.4
2017-04-10 | Bull | 2.45 / 19.5% | HEAD 7% | TAIL 20% | B/ATR 4.9
2017-05-18 | Bull | 1.94 / 10.9% | HEAD 5% | TAIL 11% | B/ATR 1.7
2017-06-07 | Bull | 2.07 / 11.9% | HEAD 14% | TAIL 14% | B/ATR 1.9
2017-09-13 | Bull | 2.35 / 7.8% | HEAD 18% | TAIL 0% | B/ATR 1.5
2017-09-18 | Bull | 2.47 / 9.8% | HEAD 0% | TAIL 0% | B/ATR 2.0
2017-09-20 | Bull | 2.74 / 13.7% | HEAD 3% | TAIL 0% | B/ATR 3.0
2017-11-06 | Bull | 3.15 / 9.4% | HEAD 0% | TAIL 0% | B/ATR 2.2
