2008-03-17 | Bear | 49.39 / -1.2% | HEAD 434% | TAIL 25% | B/ATR nan
2008-03-18 | Bear | 49.6 / -0.5% | HEAD 860% | TAIL 740% | B/ATR nan
2008-03-19 | Bull | 50.1 / 1.0% | HEAD 180% | TAIL 540% | B/ATR nan
2008-03-20 | Bear | 49.15 / -2.1% | HEAD 0% | TAIL 27% | B/ATR nan
2008-03-24 | Bull | 51.0 / 2.4% | HEAD 0% | TAIL 0% | B/ATR nan
2008-03-25 | Bull | 51.75 / 0.7% | HEAD 0% | TAIL 229% | B/ATR nan
2008-03-26 | Bear | 50.3 / -2.7% | HEAD 55% | TAIL 0% | B/ATR nan
2008-03-27 | Bull | 50.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2008-03-28 | Bear | 51.06 / -1.5% | HEAD 89% | TAIL 66% | B/ATR nan
2008-03-31 | Bear | 50.58 / -3.7% | HEAD 109% | TAIL 29% | B/ATR nan
2008-04-01 | Bear | 50.58 / -1.0% | HEAD 204% | TAIL 296% | B/ATR nan
2008-04-02 | Bear | 51.21 / -0.1% | HEAD 2767% | TAIL 3533% | B/ATR nan
2008-04-03 | Bull | 51.05 / 0.1% | HEAD 900% | TAIL 1200% | B/ATR nan
2008-04-04 | Bull | 51.37 / 0.1% | HEAD 367% | TAIL 1800% | B/ATR nan
2008-04-07 | Bear | 50.67 / -1.2% | HEAD 48% | TAIL 27% | B/ATR nan
2008-04-08 | Bull | 50.6 / 0.8% | HEAD 105% | TAIL 0% | B/ATR nan
2008-04-09 | Bear | 49.38 / -2.2% | HEAD 8% | TAIL 21% | B/ATR nan
2008-04-10 | Bear | 48.66 / -1.7% | HEAD 51% | TAIL 19% | B/ATR nan
2008-04-11 | Bear | 48.33 / -0.3% | HEAD 250% | TAIL 156% | B/ATR nan
2008-04-14 | Bear | 48.0 / -0.7% | HEAD 0% | TAIL 163% | B/ATR nan
2008-04-15 | Bull | 48.2 / 0.9% | HEAD 36% | TAIL 0% | B/ATR nan
2008-04-16 | Bull | 49.46 / 1.9% | HEAD 16% | TAIL 19% | B/ATR nan
2008-04-17 | Bull | 49.85 / 0.3% | HEAD 115% | TAIL 231% | B/ATR nan
2008-04-18 | Bear | 49.96 / -1.0% | HEAD 85% | TAIL 109% | B/ATR nan
2008-04-21 | Bull | 50.63 / 0.9% | HEAD 60% | TAIL 249% | B/ATR nan
2008-04-22 | Bear | 50.07 / -1.0% | HEAD 57% | TAIL 28% | B/ATR nan
2008-04-23 | Bull | 52.0 / 2.0% | HEAD 34% | TAIL 10% | B/ATR nan
2008-04-24 | Bull | 52.0 / 0.0% | HEAD 4300% | TAIL 5000% | B/ATR nan
2008-04-25 | Bear | 51.3 / -1.6% | HEAD 5% | TAIL 65% | B/ATR nan
2008-04-28 | Bull | 51.07 / 0.3% | HEAD 177% | TAIL 146% | B/ATR nan
2008-04-29 | Bull | 52.01 / 1.1% | HEAD 33% | TAIL 207% | B/ATR nan
2008-04-30 | Bear | 51.03 / -1.3% | HEAD 46% | TAIL 19% | B/ATR nan
2008-05-01 | Bear | 50.75 / -0.2% | HEAD 425% | TAIL 163% | B/ATR nan
2008-05-02 | Bull | 51.02 / 0.2% | HEAD 67% | TAIL 417% | B/ATR nan
2008-05-05 | Bear | 50.81 / -0.1% | HEAD 1267% | TAIL 300% | B/ATR nan
2008-05-06 | Bull | 51.88 / 1.9% | HEAD 7% | TAIL 5% | B/ATR nan
2008-05-07 | Bear | 51.69 / -0.4% | HEAD 168% | TAIL 200% | B/ATR nan
2008-05-08 | Bull | 52.2 / 1.1% | HEAD 2% | TAIL 27% | B/ATR nan
2008-05-09 | Bull | 51.83 / 0.0% | HEAD 3150% | TAIL 1400% | B/ATR nan
2008-05-12 | Bull | 52.47 / 0.9% | HEAD 14% | TAIL 139% | B/ATR nan
2008-05-13 | Bull | 52.46 / 0.1% | HEAD 950% | TAIL 950% | B/ATR nan
2008-05-14 | Bull | 52.67 / 0.3% | HEAD 112% | TAIL 69% | B/ATR nan
2008-05-15 | Bull | 53.25 / 1.4% | HEAD 8% | TAIL 55% | B/ATR nan
2008-05-16 | Bull | 53.38 / 0.3% | HEAD 80% | TAIL 587% | B/ATR nan
2008-05-19 | Bull | 53.63 / 0.3% | HEAD 229% | TAIL 400% | B/ATR nan
2008-05-20 | Bear | 52.91 / -0.7% | HEAD 164% | TAIL 23% | B/ATR nan
2008-05-21 | Bear | 51.98 / -2.0% | HEAD 13% | TAIL 14% | B/ATR nan
2008-05-22 | Bull | 52.28 / 0.9% | HEAD 107% | TAIL 9% | B/ATR nan
2008-05-23 | Bear | 51.8 / -0.6% | HEAD 293% | TAIL 17% | B/ATR nan
2008-05-27 | Bear | 51.63 / -0.6% | HEAD 7% | TAIL 176% | B/ATR nan
2008-05-28 | Bear | 51.16 / -1.0% | HEAD 37% | TAIL 61% | B/ATR nan
2008-05-29 | Bull | 52.02 / 2.1% | HEAD 13% | TAIL 3% | B/ATR nan
2008-05-30 | Bull | 52.66 / 1.1% | HEAD 56% | TAIL 44% | B/ATR nan
2008-06-02 | Bear | 52.11 / -0.1% | HEAD 1375% | TAIL 475% | B/ATR nan
2008-06-03 | Bear | 51.67 / -0.8% | HEAD 121% | TAIL 0% | B/ATR nan
2008-06-04 | Bull | 51.95 / 0.5% | HEAD 123% | TAIL 73% | B/ATR nan
2008-06-05 | Bear | 51.81 / -0.4% | HEAD 95% | TAIL 123% | B/ATR nan
2008-06-06 | Bear | 50.5 / -1.9% | HEAD 1% | TAIL 10% | B/ATR nan
2008-06-09 | Bear | 49.49 / -2.6% | HEAD 11% | TAIL 24% | B/ATR nan
2008-06-10 | Bull | 49.49 / 1.0% | HEAD 33% | TAIL 100% | B/ATR nan
2008-06-11 | Bull | 49.86 / 0.7% | HEAD 200% | TAIL 100% | B/ATR nan
2008-06-12 | Bull | 51.29 / 2.8% | HEAD 6% | TAIL 0% | B/ATR nan
2008-06-13 | Bull | 51.61 / 0.6% | HEAD 82% | TAIL 176% | B/ATR nan
2008-06-16 | Bear | 50.73 / -0.9% | HEAD 0% | TAIL 111% | B/ATR nan
2008-06-17 | Bull | 50.63 / 0.2% | HEAD 425% | TAIL 537% | B/ATR nan
2008-06-18 | Bear | 49.9 / -0.6% | HEAD 106% | TAIL 25% | B/ATR nan
2008-06-19 | Bull | 50.4 / 1.2% | HEAD 30% | TAIL 17% | B/ATR nan
2008-06-20 | Bear | 50.22 / -0.2% | HEAD 335% | TAIL 529% | B/ATR nan
2008-06-23 | Bull | 50.64 / 0.6% | HEAD 19% | TAIL 139% | B/ATR nan
2008-06-24 | Bull | 51.17 / 1.8% | HEAD 40% | TAIL 22% | B/ATR nan
2008-06-25 | Bull | 51.77 / 0.6% | HEAD 306% | TAIL 63% | B/ATR nan
2008-06-26 | Bear | 50.15 / -1.9% | HEAD 46% | TAIL 0% | B/ATR nan
2008-06-27 | Bear | 49.83 / -0.6% | HEAD 50% | TAIL 218% | B/ATR nan
2008-06-30 | Bear | 49.39 / -0.8% | HEAD 89% | TAIL 134% | B/ATR nan
2008-07-01 | Bull | 50.39 / 2.8% | HEAD 15% | TAIL 22% | B/ATR nan
2008-07-02 | Bull | 50.6 / 0.3% | HEAD 362% | TAIL 462% | B/ATR nan
2008-07-03 | Bull | 51.47 / 1.8% | HEAD 4% | TAIL 31% | B/ATR nan
2008-07-07 | Bull | 51.85 / 0.7% | HEAD 126% | TAIL 97% | B/ATR nan
2008-07-08 | Bull | 53.77 / 3.9% | HEAD 11% | TAIL 8% | B/ATR nan
2008-07-09 | Bull | 54.0 / 0.5% | HEAD 154% | TAIL 168% | B/ATR nan
2008-07-10 | Bear | 53.44 / -0.8% | HEAD 22% | TAIL 162% | B/ATR nan
2008-07-11 | Bull | 53.37 / 0.8% | HEAD 107% | TAIL 155% | B/ATR nan
2008-07-14 | Bull | 53.56 / 1.2% | HEAD 52% | TAIL 29% | B/ATR nan
2008-07-15 | Bull | 53.3 / 0.8% | HEAD 139% | TAIL 139% | B/ATR nan
2008-07-16 | Bull | 52.92 / 0.3% | HEAD 300% | TAIL 693% | B/ATR nan
2008-07-17 | Bear | 50.96 / -4.2% | HEAD 0% | TAIL 3% | B/ATR nan
2008-07-18 | Bear | 50.72 / -0.7% | HEAD 97% | TAIL 158% | B/ATR nan
2008-07-21 | Bear | 50.48 / -0.7% | HEAD 51% | TAIL 68% | B/ATR nan
2008-07-22 | Bull | 52.05 / 3.6% | HEAD 3% | TAIL 11% | B/ATR nan
2008-07-23 | Bear | 51.47 / -2.1% | HEAD 0% | TAIL 52% | B/ATR nan
2008-07-24 | Bull | 52.46 / 2.1% | HEAD 59% | TAIL 0% | B/ATR nan
2008-07-25 | Bull | 53.05 / 1.5% | HEAD 64% | TAIL 0% | B/ATR nan
2008-07-28 | Bear | 52.62 / -0.3% | HEAD 294% | TAIL 175% | B/ATR nan
2008-07-29 | Bull | 53.34 / 1.1% | HEAD 12% | TAIL 18% | B/ATR nan
2008-07-30 | Bear | 53.37 / -0.4% | HEAD 242% | TAIL 368% | B/ATR nan
2008-07-31 | Bear | 51.65 / -3.2% | HEAD 24% | TAIL 18% | B/ATR nan
2008-08-01 | Bull | 52.08 / 0.6% | HEAD 158% | TAIL 0% | B/ATR nan
2008-08-04 | Bull | 53.72 / 3.1% | HEAD 22% | TAIL 51% | B/ATR nan
2008-08-05 | Bull | 55.2 / 2.8% | HEAD 23% | TAIL 7% | B/ATR nan
2008-08-06 | Bull | 55.53 / 1.2% | HEAD 93% | TAIL 22% | B/ATR 0.5
2008-08-07 | Bear | 54.64 / -0.9% | HEAD 37% | TAIL 69% | B/ATR 0.4
2008-08-08 | Bull | 55.21 / 1.3% | HEAD 41% | TAIL 0% | B/ATR 0.5
2008-08-11 | Bull | 55.75 / 1.9% | HEAD 0% | TAIL 6% | B/ATR 0.8
2008-08-12 | Bull | 55.95 / 0.6% | HEAD 91% | TAIL 26% | B/ATR 0.3
2008-08-13 | Bear | 55.54 / -0.6% | HEAD 41% | TAIL 53% | B/ATR 0.2
2008-08-14 | Bull | 55.47 / 0.4% | HEAD 130% | TAIL 130% | B/ATR 0.2
2008-08-15 | Bull | 55.57 / 0.1% | HEAD 217% | TAIL 433% | B/ATR 0.0
2008-08-18 | Bear | 55.01 / -1.2% | HEAD 6% | TAIL 15% | B/ATR 0.5
2008-08-19 | Bear | 54.51 / -0.5% | HEAD 172% | TAIL 24% | B/ATR 0.2
2008-08-20 | Bull | 54.61 / 0.1% | HEAD 150% | TAIL 800% | B/ATR 0.0
2008-08-21 | Bull | 54.82 / 1.1% | HEAD 37% | TAIL 105% | B/ATR 0.5
2008-08-22 | Bull | 55.53 / 1.0% | HEAD 0% | TAIL 111% | B/ATR 0.4
2008-08-25 | Bear | 54.87 / -0.8% | HEAD 84% | TAIL 72% | B/ATR 0.3
2008-08-26 | Bear | 54.64 / -0.3% | HEAD 207% | TAIL 287% | B/ATR 0.1
2008-08-27 | Bear | 54.1 / -1.2% | HEAD 22% | TAIL 60% | B/ATR 0.5
2008-08-28 | Bear | 53.92 / -0.2% | HEAD 278% | TAIL 411% | B/ATR 0.1
2008-08-29 | Bear | 53.7 / -0.1% | HEAD 1167% | TAIL 67% | B/ATR 0.0
2008-09-02 | Bull | 54.81 / 2.0% | HEAD 48% | TAIL 5% | B/ATR 0.8
2008-09-03 | Bear | 54.07 / -1.2% | HEAD 107% | TAIL 10% | B/ATR 0.5
2008-09-04 | Bear | 53.37 / -1.2% | HEAD 32% | TAIL 25% | B/ATR 0.5
2008-09-05 | Bull | 54.0 / 1.2% | HEAD 32% | TAIL 17% | B/ATR 0.5
2008-09-08 | Bull | 54.98 / 1.8% | HEAD 43% | TAIL 32% | B/ATR 0.7
2008-09-09 | Bear | 54.78 / -0.5% | HEAD 280% | TAIL 0% | B/ATR 0.2
2008-09-10 | Bear | 54.62 / -0.5% | HEAD 100% | TAIL 107% | B/ATR 0.2
2008-09-11 | Bull | 54.81 / 1.0% | HEAD 0% | TAIL 100% | B/ATR 0.4
2008-09-12 | Bear | 53.68 / -1.3% | HEAD 37% | TAIL 61% | B/ATR 0.5
2008-09-15 | Bear | 52.82 / -0.6% | HEAD 306% | TAIL 0% | B/ATR 0.2
2008-09-16 | Bull | 53.77 / 3.5% | HEAD 27% | TAIL 139% | B/ATR 1.4
2008-09-17 | Bear | 48.98 / -8.4% | HEAD 0% | TAIL 20% | B/ATR 3.5
2008-09-18 | Bull | 50.0 / 0.6% | HEAD 982% | TAIL 0% | B/ATR 0.2
2008-09-19 | Bear | 51.42 / -1.4% | HEAD 36% | TAIL 189% | B/ATR 0.6
2008-09-22 | Bear | 50.03 / -1.5% | HEAD 150% | TAIL 56% | B/ATR 0.6
2008-09-23 | Bear | 49.25 / -1.3% | HEAD 142% | TAIL 0% | B/ATR 0.5
2008-09-24 | Bull | 49.79 / 0.5% | HEAD 160% | TAIL 236% | B/ATR 0.2
2008-09-25 | Bull | 51.61 / 3.2% | HEAD 24% | TAIL 20% | B/ATR 1.2
2008-09-26 | Bull | 50.9 / 0.3% | HEAD 343% | TAIL 536% | B/ATR 0.1
2008-09-29 | Bear | 46.8 / -7.7% | HEAD 5% | TAIL 0% | B/ATR 2.9
2008-09-30 | Bull | 48.1 / 0.0% | HEAD 16500% | TAIL 4100% | B/ATR 0.0
2008-10-01 | Bull | 50.78 / 5.9% | HEAD 1% | TAIL 22% | B/ATR 2.0
2008-10-02 | Bear | 49.08 / -2.6% | HEAD 119% | TAIL 25% | B/ATR 0.9
2008-10-03 | Bear | 49.67 / -0.5% | HEAD 817% | TAIL 96% | B/ATR 0.2
2008-10-06 | Bear | 46.12 / -4.8% | HEAD 46% | TAIL 91% | B/ATR 1.6
2008-10-07 | Bear | 44.36 / -6.9% | HEAD 5% | TAIL 19% | B/ATR 2.3
2008-10-08 | Bull | 43.05 / 2.6% | HEAD 202% | TAIL 53% | B/ATR 0.8
2008-10-09 | Bear | 39.0 / -11.0% | HEAD 25% | TAIL 11% | B/ATR 3.3
2008-10-10 | Bull | 39.74 / 7.4% | HEAD 193% | TAIL 136% | B/ATR 1.8
2008-10-13 | Bull | 44.99 / 7.1% | HEAD 34% | TAIL 18% | B/ATR 2.0
2008-10-14 | Bear | 44.04 / -6.0% | HEAD 3% | TAIL 65% | B/ATR 1.8
2008-10-15 | Bear | 40.82 / -7.0% | HEAD 21% | TAIL 37% | B/ATR 1.9
2008-10-16 | Bull | 43.01 / 4.5% | HEAD 47% | TAIL 94% | B/ATR 1.2
2008-10-17 | Bull | 43.3 / 1.2% | HEAD 427% | TAIL 75% | B/ATR 0.3
2008-10-20 | Bear | 43.39 / -0.9% | HEAD 347% | TAIL 103% | B/ATR 0.2
2008-10-21 | Bear | 42.16 / -2.2% | HEAD 86% | TAIL 53% | B/ATR 0.5
2008-10-22 | Bear | 40.83 / -3.9% | HEAD 52% | TAIL 32% | B/ATR 1.0
