2011-04-28 | Bull | 69.03 / 2.3% | HEAD 12% | TAIL 3% | B/ATR 1.7
2011-07-21 | Bull | 71.49 / 2.5% | HEAD 16% | TAIL 1% | B/ATR 1.8
2012-01-25 | Bull | 76.81 / 4.0% | HEAD 4% | TAIL 4% | B/ATR 2.2
2012-09-13 | Bull | 90.15 / 3.6% | HEAD 13% | TAIL 7% | B/ATR 2.4
2013-01-02 | Bull | 86.74 / 2.4% | HEAD 1% | TAIL 18% | B/ATR 1.5
2013-02-07 | Bull | 89.82 / 3.1% | HEAD 7% | TAIL 11% | B/ATR 2.0
2013-10-14 | Bull | 86.69 / 2.4% | HEAD 18% | TAIL 2% | B/ATR 1.5
2014-02-07 | Bull | 80.25 / 2.5% | HEAD 2% | TAIL 8% | B/ATR 1.5
2014-10-16 | Bull | 85.26 / 2.5% | HEAD 3% | TAIL 9% | B/ATR 2.0
2015-04-16 | Bull | 84.96 / 3.1% | HEAD 12% | TAIL 8% | B/ATR 2.2
2015-05-14 | Bull | 86.79 / 2.1% | HEAD 7% | TAIL 5% | B/ATR 1.5
2015-12-04 | Bull | 89.7 / 2.6% | HEAD 2% | TAIL 0% | B/ATR 1.8
2015-12-16 | Bull | 90.15 / 2.4% | HEAD 6% | TAIL 2% | B/ATR 1.7
2016-06-30 | Bull | 101.72 / 2.7% | HEAD 7% | TAIL 6% | B/ATR 1.9
2016-09-12 | Bull | 100.64 / 2.7% | HEAD 13% | TAIL 4% | B/ATR 1.9
2017-07-05 | Bull | 118.54 / 2.0% | HEAD 8% | TAIL 0% | B/ATR 1.8
2017-07-19 | Bull | 121.62 / 1.8% | HEAD 3% | TAIL 4% | B/ATR 1.6
2018-01-19 | Bull | 108.92 / 3.2% | HEAD 6% | TAIL 1% | B/ATR 2.3
2018-01-26 | Bull | 110.19 / 2.6% | HEAD 10% | TAIL 2% | B/ATR 1.9
2018-02-23 | Bull | 106.11 / 2.4% | HEAD 10% | TAIL 9% | B/ATR 1.5
2018-03-02 | Bull | 106.81 / 2.4% | HEAD 11% | TAIL 0% | B/ATR 1.5
