2008-01-23 | Bull | 21.71 / 8.4% | HEAD 12% | TAIL 0% | B/ATR 1.7
2008-04-28 | Bull | 19.805 / 8.9% | HEAD 2% | TAIL 6% | B/ATR 1.6
2008-08-13 | Bull | 15.22 / 15.5% | HEAD 12% | TAIL 8% | B/ATR 2.1
2009-09-10 | Bull | 10.81 / 9.4% | HEAD 13% | TAIL 12% | B/ATR 1.5
2010-02-10 | Bull | 14.76 / 10.0% | HEAD 7% | TAIL 0% | B/ATR 2.3
2011-02-16 | Bull | 18.01 / 10.1% | HEAD 14% | TAIL 0% | B/ATR 3.2
2011-11-04 | Bull | 17.0 / 13.4% | HEAD 9% | TAIL 0% | B/ATR 2.8
2013-01-29 | Bull | 23.77 / 6.8% | HEAD 11% | TAIL 14% | B/ATR 2.5
2013-05-07 | Bull | 28.57 / 10.6% | HEAD 16% | TAIL 0% | B/ATR 4.7
2013-06-21 | Bull | 30.84 / 6.6% | HEAD 4% | TAIL 7% | B/ATR 2.8
2014-01-16 | Bull | 40.31 / 10.4% | HEAD 4% | TAIL 0% | B/ATR 3.9
2014-09-17 | Bull | 35.94 / 8.9% | HEAD 6% | TAIL 0% | B/ATR 2.2
2014-11-06 | Bull | 42.74 / 8.0% | HEAD 4% | TAIL 0% | B/ATR 2.3
2015-02-27 | Bull | 31.73 / 7.8% | HEAD 8% | TAIL 0% | B/ATR 1.5
2017-01-10 | Bull | 41.2 / 7.7% | HEAD 10% | TAIL 2% | B/ATR 2.2
2017-03-01 | Bull | 46.11 / 4.9% | HEAD 14% | TAIL 5% | B/ATR 1.6
2017-06-12 | Bull | 43.84 / 5.7% | HEAD 3% | TAIL 5% | B/ATR 1.8
2017-10-05 | Bull | 59.09 / 4.5% | HEAD 13% | TAIL 1% | B/ATR 1.8
2017-11-07 | Bull | 71.68 / 5.5% | HEAD 15% | TAIL 11% | B/ATR 2.7
2018-01-08 | Bull | 78.12 / 9.8% | HEAD 1% | TAIL 0% | B/ATR 4.3
2018-02-14 | Bull | 74.5 / 3.8% | HEAD 16% | TAIL 0% | B/ATR 1.6
2018-03-05 | Bull | 75.82 / 4.1% | HEAD 11% | TAIL 7% | B/ATR 1.6
