2002-11-08 | Bull | 15.45 / 4.7% | HEAD 127% | TAIL 0% | B/ATR nan
2002-11-11 | Bull | 16.4 / 7.2% | HEAD 32% | TAIL 15% | B/ATR nan
2002-11-12 | Bear | 15.86 / -3.9% | HEAD 0% | TAIL 48% | B/ATR nan
2002-11-13 | Bull | 16.3 / 4.0% | HEAD 32% | TAIL 13% | B/ATR nan
2002-11-14 | Bull | 17.0 / 4.0% | HEAD 46% | TAIL 15% | B/ATR nan
2002-11-15 | Bull | 17.31 / 1.5% | HEAD 119% | TAIL 19% | B/ATR nan
2002-11-18 | Bull | 18.0 / 0.1% | HEAD 7500% | TAIL 5400% | B/ATR nan
2002-11-19 | Bear | 16.16 / -10.6% | HEAD 0% | TAIL 0% | B/ATR nan
2002-11-20 | Bull | 17.18 / 4.7% | HEAD 8% | TAIL 34% | B/ATR nan
2002-11-21 | Bull | 17.3 / 2.5% | HEAD 174% | TAIL 0% | B/ATR nan
2002-11-22 | Bull | 17.6 / 1.1% | HEAD 0% | TAIL 430% | B/ATR nan
2002-11-25 | Bull | 18.47 / 5.1% | HEAD 0% | TAIL 26% | B/ATR nan
2002-11-26 | Bear | 17.0 / -7.2% | HEAD 81% | TAIL 23% | B/ATR nan
2002-11-27 | Bull | 17.67 / 3.3% | HEAD 44% | TAIL 37% | B/ATR nan
2002-11-29 | Bear | 17.59 / -0.1% | HEAD 4000% | TAIL 5900% | B/ATR nan
2002-12-02 | Bull | 17.5 / 0.0% | HEAD 5400% | TAIL 7500% | B/ATR nan
2002-12-03 | Bull | 17.9 / 1.4% | HEAD 80% | TAIL 208% | B/ATR nan
2002-12-04 | Bull | 18.95 / 4.6% | HEAD 187% | TAIL 13% | B/ATR nan
2002-12-05 | Bear | 18.96 / -2.8% | HEAD 0% | TAIL 2% | B/ATR nan
2002-12-06 | Bear | 18.9 / -3.1% | HEAD 0% | TAIL 57% | B/ATR nan
2002-12-09 | Bull | 19.03 / 0.4% | HEAD 275% | TAIL 62% | B/ATR nan
2002-12-10 | Bear | 18.9 / -0.5% | HEAD 140% | TAIL 70% | B/ATR nan
2002-12-11 | Bear | 18.62 / -2.8% | HEAD 0% | TAIL 74% | B/ATR nan
2002-12-12 | Bear | 18.23 / -1.9% | HEAD 20% | TAIL 0% | B/ATR nan
