2003-06-24 | Bull | 32.05 / 8.3% | HEAD 4% | TAIL 0% | B/ATR 1.8
2003-11-06 | Bull | 29.99 / 7.6% | HEAD 5% | TAIL 9% | B/ATR 1.6
2004-10-15 | Bull | 33.49 / 4.5% | HEAD 1% | TAIL 0% | B/ATR 1.7
2004-11-15 | Bull | 36.46 / 5.7% | HEAD 14% | TAIL 3% | B/ATR 2.1
2005-06-28 | Bull | 42.01 / 5.0% | HEAD 7% | TAIL 0% | B/ATR 1.8
2005-12-05 | Bull | 42.43 / 8.1% | HEAD 10% | TAIL 5% | B/ATR 2.7
2006-04-18 | Bull | 47.62 / 5.7% | HEAD 3% | TAIL 0% | B/ATR 2.0
2006-05-25 | Bull | 48.58 / 5.1% | HEAD 2% | TAIL 14% | B/ATR 1.8
2006-10-31 | Bull | 46.62 / 5.0% | HEAD 0% | TAIL 9% | B/ATR 1.9
2007-05-30 | Bull | 60.57 / 7.4% | HEAD 4% | TAIL 7% | B/ATR 3.7
2007-08-07 | Bull | 54.14 / 5.5% | HEAD 2% | TAIL 11% | B/ATR 2.1
2007-08-09 | Bull | 57.41 / 5.1% | HEAD 15% | TAIL 4% | B/ATR 2.0
2008-01-23 | Bull | 34.86 / 17.2% | HEAD 4% | TAIL 10% | B/ATR 2.7
2008-02-26 | Bull | 39.44 / 8.2% | HEAD 2% | TAIL 14% | B/ATR 1.6
2009-10-29 | Bull | 48.94 / 6.6% | HEAD 5% | TAIL 1% | B/ATR 1.9
2010-02-12 | Bull | 52.54 / 9.0% | HEAD 10% | TAIL 7% | B/ATR 2.8
2010-04-22 | Bull | 63.11 / 5.1% | HEAD 15% | TAIL 1% | B/ATR 2.1
2010-05-17 | Bull | 71.45 / 3.6% | HEAD 14% | TAIL 6% | B/ATR 1.6
2010-06-16 | Bull | 72.37 / 6.3% | HEAD 4% | TAIL 4% | B/ATR 2.3
2011-06-20 | Bull | 84.52 / 4.6% | HEAD 1% | TAIL 16% | B/ATR 1.9
2011-10-04 | Bull | 64.91 / 10.5% | HEAD 2% | TAIL 7% | B/ATR 2.3
2012-05-08 | Bull | 73.48 / 8.9% | HEAD 11% | TAIL 0% | B/ATR 3.3
2012-06-15 | Bull | 76.35 / 5.5% | HEAD 19% | TAIL 3% | B/ATR 2.2
2012-06-18 | Bull | 79.84 / 4.9% | HEAD 10% | TAIL 6% | B/ATR 2.1
2012-06-19 | Bull | 84.03 / 5.3% | HEAD 3% | TAIL 8% | B/ATR 2.3
2012-08-02 | Bull | 99.91 / 9.8% | HEAD 9% | TAIL 12% | B/ATR 4.5
2012-10-15 | Bull | 105.56 / 3.6% | HEAD 4% | TAIL 0% | B/ATR 1.6
2013-05-09 | Bull | 146.33 / 3.0% | HEAD 16% | TAIL 0% | B/ATR 1.6
2013-07-17 | Bull | 148.24 / 3.6% | HEAD 7% | TAIL 19% | B/ATR 1.7
2014-07-16 | Bull | 60.0 / 4.5% | HEAD 14% | TAIL 0% | B/ATR 1.8
2015-11-16 | Bull | 35.93 / 10.0% | HEAD 8% | TAIL 3% | B/ATR 2.3
2015-11-18 | Bull | 40.24 / 9.1% | HEAD 8% | TAIL 13% | B/ATR 2.3
2016-03-07 | Bull | 30.89 / 12.3% | HEAD 1% | TAIL 5% | B/ATR 2.0
2017-09-25 | Bull | 27.3 / 6.1% | HEAD 3% | TAIL 0% | B/ATR 1.5
2017-10-10 | Bull | 28.95 / 6.2% | HEAD 3% | TAIL 3% | B/ATR 1.7
