2002-11-08|NIU|H/Body 1.27 |T/Body 0.00 |CHG_PCT nan |CHG/ATR nan |B/CHG nan |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 14.8 |H 16.3 |L 14.8 |C 15.4 |V 2 Million
2002-11-11|NIU|H/Body 0.32 |T/Body 0.15 |CHG_PCT 6.1 |CHG/ATR nan |B/CHG 1.16 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.2 |O 15.3 |H 16.8 |L 15.1 |C 16.4 |V 567 Thousand
2002-11-12|RED|H/Body 0.00 |T/Body 0.48 |CHG_PCT -3.3 |CHG/ATR nan |B/CHG -1.19 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.4 |O 16.5 |H 16.5 |L 15.6 |C 15.9 |V 250 Thousand
2002-11-13|NIU|H/Body 0.32 |T/Body 0.13 |CHG_PCT 2.8 |CHG/ATR nan |B/CHG 1.41 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.4 |O 15.7 |H 16.5 |L 15.6 |C 16.3 |V 102 Thousand
2002-11-14|NIU|H/Body 0.46 |T/Body 0.15 |CHG_PCT 4.3 |CHG/ATR nan |B/CHG 0.93 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 2.1 |O 16.4 |H 17.3 |L 16.2 |C 17.0 |V 218 Thousand
2002-11-15|NIU|H/Body 1.19 |T/Body 0.19 |CHG_PCT 1.8 |CHG/ATR nan |B/CHG 0.84 |B/ATR nan |V/LONG nan |V/SHORT 0.1 |V/PREV 0.4 |O 17.1 |H 17.6 |L 17.0 |C 17.3 |V 78 Thousand
2002-11-18|NIU|H/Body 75.00 |T/Body 54.00 |CHG_PCT 4.0 |CHG/ATR nan |B/CHG 0.01 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 1.8 |O 18.0 |H 18.8 |L 17.4 |C 18.0 |V 140 Thousand
2002-11-19|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -10.2 |CHG/ATR nan |B/CHG -1.04 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.8 |O 18.1 |H 18.1 |L 16.2 |C 16.2 |V 105 Thousand
2002-11-20|NIU|H/Body 0.08 |T/Body 0.34 |CHG_PCT 6.3 |CHG/ATR nan |B/CHG 0.75 |B/ATR nan |V/LONG nan |V/SHORT 1.5 |V/PREV 1.9 |O 16.4 |H 17.2 |L 16.1 |C 17.2 |V 198 Thousand
2002-11-21|NIU|H/Body 1.74 |T/Body 0.00 |CHG_PCT 0.7 |CHG/ATR nan |B/CHG 3.58 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.4 |O 16.9 |H 18.1 |L 16.9 |C 17.3 |V 83 Thousand
2002-11-22|NIU|H/Body 0.00 |T/Body 4.30 |CHG_PCT 1.7 |CHG/ATR nan |B/CHG 0.67 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.5 |O 17.4 |H 17.6 |L 16.5 |C 17.6 |V 41 Thousand
