2012-11-02 | Bear | 31.1 / -3.0% | HEAD 116% | TAIL 82% | B/ATR nan
2012-11-05 | Bull | 33.3 / 6.8% | HEAD 2% | TAIL 16% | B/ATR nan
2012-11-06 | Bear | 33.3 / -0.3% | HEAD 500% | TAIL 1100% | B/ATR nan
2012-11-07 | Bear | 32.45 / -0.3% | HEAD 530% | TAIL 420% | B/ATR nan
2012-11-08 | Bull | 33.08 / 3.3% | HEAD 41% | TAIL 3% | B/ATR nan
2012-11-09 | Bear | 32.13 / -1.2% | HEAD 0% | TAIL 162% | B/ATR nan
2012-11-12 | Bull | 32.235 / 0.3% | HEAD 395% | TAIL 467% | B/ATR nan
2012-11-13 | Bull | 32.41 / 1.6% | HEAD 18% | TAIL 32% | B/ATR nan
2012-11-14 | Bull | 33.39 / 2.0% | HEAD 64% | TAIL 31% | B/ATR nan
2012-11-15 | Bull | 33.63 / 2.8% | HEAD 35% | TAIL 0% | B/ATR nan
2012-11-16 | Bull | 34.45 / 1.9% | HEAD 116% | TAIL 16% | B/ATR nan
2012-11-19 | Bear | 34.57 / -0.7% | HEAD 209% | TAIL 109% | B/ATR nan
2012-11-20 | Bull | 35.08 / 1.1% | HEAD 145% | TAIL 45% | B/ATR nan
2012-11-21 | Bear | 35.1199 / -0.9% | HEAD 0% | TAIL 59% | B/ATR nan
2012-11-23 | Bull | 35.49 / 0.3% | HEAD 67% | TAIL 122% | B/ATR nan
2012-11-26 | Bull | 37.99 / 7.0% | HEAD 14% | TAIL 4% | B/ATR nan
2012-11-27 | Bear | 35.78 / -4.6% | HEAD 8% | TAIL 28% | B/ATR nan
2012-11-28 | Bull | 36.9 / 3.2% | HEAD 3% | TAIL 12% | B/ATR nan
2012-11-29 | Bull | 37.0 / 0.0% | HEAD 1400% | TAIL 5000% | B/ATR nan
2012-11-30 | Bear | 36.9 / -0.3% | HEAD 813% | TAIL 210% | B/ATR nan
2012-12-03 | Bear | 36.74 / -1.8% | HEAD 0% | TAIL 32% | B/ATR nan
2012-12-04 | Bull | 36.7 / 0.9% | HEAD 0% | TAIL 147% | B/ATR nan
2012-12-05 | Bear | 36.0 / -0.8% | HEAD 300% | TAIL 77% | B/ATR nan
2012-12-06 | Bull | 36.72 / 1.3% | HEAD 60% | TAIL 162% | B/ATR nan
2012-12-07 | Bear | 36.74 / -1.2% | HEAD 25% | TAIL 20% | B/ATR nan
2012-12-10 | Bear | 36.5 / -1.8% | HEAD 47% | TAIL 27% | B/ATR nan
2012-12-11 | Bear | 36.06 / -1.7% | HEAD 34% | TAIL 38% | B/ATR nan
2012-12-12 | Bull | 36.69 / 0.7% | HEAD 132% | TAIL 288% | B/ATR nan
2012-12-13 | Bull | 34.9 / 4.2% | HEAD 101% | TAIL 21% | B/ATR nan
2012-12-14 | Bull | 34.51 / 0.0% | HEAD 12300% | TAIL 500% | B/ATR nan
2012-12-17 | Bull | 33.72 / 0.3% | HEAD 1091% | TAIL 0% | B/ATR nan
2012-12-18 | Bear | 32.7 / -3.4% | HEAD 8% | TAIL 84% | B/ATR nan
2012-12-19 | Bull | 32.97 / 4.5% | HEAD 19% | TAIL 0% | B/ATR nan
2012-12-20 | Bear | 32.0 / -2.6% | HEAD 10% | TAIL 37% | B/ATR nan
2012-12-21 | Bull | 31.49 / 1.1% | HEAD 74% | TAIL 68% | B/ATR nan
2012-12-24 | Bull | 32.35 / 2.4% | HEAD 70% | TAIL 30% | B/ATR nan
2012-12-26 | Bear | 32.37 / -0.2% | HEAD 353% | TAIL 450% | B/ATR nan
2012-12-27 | Bull | 32.76 / 1.5% | HEAD 26% | TAIL 21% | B/ATR nan
2012-12-28 | Bull | 33.89 / 3.6% | HEAD 51% | TAIL 8% | B/ATR nan
2012-12-31 | Bear | 33.73 / -0.5% | HEAD 231% | TAIL 144% | B/ATR nan
2013-01-02 | Bear | 33.23 / -1.7% | HEAD 70% | TAIL 16% | B/ATR nan
2013-01-03 | Bull | 34.39 / 2.9% | HEAD 10% | TAIL 18% | B/ATR nan
2013-01-04 | Bear | 34.29 / -0.2% | HEAD 743% | TAIL 871% | B/ATR nan
2013-01-07 | Bear | 32.97 / -3.7% | HEAD 96% | TAIL 4% | B/ATR nan
2013-01-08 | Bear | 32.19 / -2.0% | HEAD 106% | TAIL 38% | B/ATR nan
2013-01-09 | Bull | 33.05 / 3.1% | HEAD 46% | TAIL 14% | B/ATR nan
2013-01-10 | Bear | 32.78 / -1.9% | HEAD 84% | TAIL 44% | B/ATR nan
2013-01-11 | Bear | 32.82 / -0.4% | HEAD 177% | TAIL 285% | B/ATR nan
2013-01-14 | Bear | 32.8 / -0.8% | HEAD 0% | TAIL 220% | B/ATR nan
2013-01-15 | Bear | 32.55 / -0.0% | HEAD 6500% | TAIL 3100% | B/ATR nan
2013-01-16 | Bear | 32.3 / -0.9% | HEAD 0% | TAIL 241% | B/ATR nan
2013-01-17 | Bull | 33.98 / 4.3% | HEAD 1% | TAIL 17% | B/ATR nan
2013-01-18 | Bull | 35.16 / 4.1% | HEAD 28% | TAIL 15% | B/ATR nan
2013-01-22 | Bull | 35.73 / 2.1% | HEAD 67% | TAIL 0% | B/ATR nan
2013-01-23 | Bear | 35.7 / -0.4% | HEAD 119% | TAIL 312% | B/ATR nan
