2003-01-24 | Bull | 3.9 / 52.9% | HEAD 0% | TAIL 4% | B/ATR nan
2003-01-27 | Bull | 4.35 / 11.5% | HEAD 0% | TAIL 22% | B/ATR nan
2003-01-28 | Bear | 4.0 / -11.1% | HEAD 30% | TAIL 0% | B/ATR nan
2003-01-29 | Bear | 4.0 / -11.1% | HEAD 30% | TAIL 0% | B/ATR nan
2003-01-30 | Bull | 3.75 / 0.0% | HEAD 2500% | TAIL 0% | B/ATR nan
2003-01-31 | Bear | 3.4 / -15.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-03 | Bull | 3.9 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-04 | Bull | 4.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-05 | Bear | 3.5 / -12.5% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-06 | Bull | 4.0 / 6.7% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-07 | Bull | 4.0 / 6.7% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-10 | Bull | 3.75 / 0.0% | HEAD 2500% | TAIL 0% | B/ATR nan
2003-02-11 | Bull | 3.75 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-12 | Bull | 4.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-13 | Bull | 4.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-14 | Bull | 3.9 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-18 | Bull | 3.9 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-19 | Bear | 4.0 / -5.9% | HEAD 0% | TAIL 100% | B/ATR nan
2003-02-20 | Bear | 4.1 / -3.5% | HEAD 80% | TAIL 67% | B/ATR nan
2003-02-21 | Bull | 4.0 / 0.0% | HEAD 2500% | TAIL 0% | B/ATR nan
2003-02-24 | Bull | 4.15 / 3.8% | HEAD 100% | TAIL 0% | B/ATR nan
2003-02-25 | Bull | 4.3 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-26 | Bull | 4.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-27 | Bull | 3.9 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-02-28 | Bear | 4.05 / -1.2% | HEAD 0% | TAIL 100% | B/ATR nan
2003-03-03 | Bull | 4.05 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-04 | Bull | 4.05 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-05 | Bull | 3.95 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-06 | Bull | 4.02 / 0.0% | HEAD 0% | TAIL 200% | B/ATR nan
2003-03-07 | Bull | 4.02 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-10 | Bear | 3.9 / -1.3% | HEAD 100% | TAIL 0% | B/ATR nan
2003-03-11 | Bear | 3.85 / -4.2% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-12 | Bull | 3.85 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-13 | Bull | 3.85 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-14 | Bull | 3.85 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-17 | Bull | 4.02 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-18 | Bull | 4.02 / 0.0% | HEAD 0% | TAIL 200% | B/ATR nan
2003-03-19 | Bull | 4.02 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-20 | Bull | 4.02 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-21 | Bull | 3.55 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-24 | Bull | 3.55 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-25 | Bull | 3.55 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2003-03-26 | Bull | 3.55 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
