2003-06-19 | Bull | 1.8 / 33.3% | HEAD 0% | TAIL 0% | B/ATR 2.6
2004-01-20 | Bull | 1.35 / 12.5% | HEAD 0% | TAIL 0% | B/ATR 3.2
2004-02-09 | Bull | 1.59 / 9.7% | HEAD 0% | TAIL 0% | B/ATR 2.5
2004-02-19 | Bull | 1.5 / 7.1% | HEAD 0% | TAIL 0% | B/ATR 1.7
2004-02-25 | Bull | 1.45 / 11.5% | HEAD 0% | TAIL 0% | B/ATR 2.4
2004-02-26 | Bull | 1.5 / 7.1% | HEAD 0% | TAIL 0% | B/ATR 1.6
2004-05-25 | Bull | 1.49 / 10.4% | HEAD 14% | TAIL 0% | B/ATR 1.7
2004-08-17 | Bull | 0.95 / 28.4% | HEAD 19% | TAIL 0% | B/ATR 3.3
2004-09-07 | Bull | 1.01 / 24.7% | HEAD 0% | TAIL 0% | B/ATR 3.1
2004-11-02 | Bull | 0.63 / 34.0% | HEAD 13% | TAIL 0% | B/ATR 2.6
2004-11-08 | Bull | 0.69 / 25.5% | HEAD 0% | TAIL 0% | B/ATR 2.3
2005-01-05 | Bull | 0.65 / 25.0% | HEAD 0% | TAIL 0% | B/ATR 2.4
2005-01-28 | Bull | 0.74 / 21.3% | HEAD 0% | TAIL 0% | B/ATR 2.5
2005-03-08 | Bull | 0.8 / 21.2% | HEAD 0% | TAIL 0% | B/ATR 2.9
2005-04-19 | Bull | 0.91 / 16.7% | HEAD 0% | TAIL 0% | B/ATR 2.8
2005-04-28 | Bull | 0.88 / 10.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2005-05-12 | Bull | 0.95 / 18.7% | HEAD 0% | TAIL 0% | B/ATR 3.1
2005-10-21 | Bull | 0.8 / 27.0% | HEAD 0% | TAIL 0% | B/ATR 5.6
2005-12-02 | Bull | 0.9 / 15.4% | HEAD 17% | TAIL 0% | B/ATR 4.2
2005-12-30 | Bull | 1.0 / 8.7% | HEAD 0% | TAIL 0% | B/ATR 2.5
