2014-12-17 | Bull | 16.3 / 3.2% | HEAD 35% | TAIL 8% | B/ATR nan
2014-12-18 | Bull | 17.86 / 7.1% | HEAD 13% | TAIL 10% | B/ATR nan
2014-12-19 | Bear | 17.15 / -2.6% | HEAD 89% | TAIL 22% | B/ATR nan
2014-12-22 | Bear | 16.3 / -3.9% | HEAD 80% | TAIL 14% | B/ATR nan
2014-12-23 | Bear | 15.74 / -4.6% | HEAD 29% | TAIL 34% | B/ATR nan
2014-12-24 | Bull | 15.88 / 0.5% | HEAD 462% | TAIL 250% | B/ATR nan
2014-12-26 | Bear | 15.79 / -0.7% | HEAD 428% | TAIL 255% | B/ATR nan
2014-12-29 | Bull | 16.16 / 1.6% | HEAD 169% | TAIL 73% | B/ATR nan
2014-12-30 | Bear | 16.04 / -1.9% | HEAD 0% | TAIL 74% | B/ATR nan
2014-12-31 | Bull | 16.75 / 4.6% | HEAD 32% | TAIL 9% | B/ATR nan
2015-01-02 | Bull | 16.67 / 1.3% | HEAD 248% | TAIL 0% | B/ATR nan
2015-01-05 | Bear | 15.58 / -6.7% | HEAD 23% | TAIL 16% | B/ATR nan
2015-01-06 | Bear | 15.18 / -2.7% | HEAD 19% | TAIL 162% | B/ATR nan
2015-01-07 | Bear | 15.45 / -1.1% | HEAD 147% | TAIL 235% | B/ATR nan
2015-01-08 | Bull | 15.5 / 0.0% | HEAD 3600% | TAIL 4200% | B/ATR nan
2015-01-09 | Bear | 15.41 / -2.5% | HEAD 0% | TAIL 28% | B/ATR nan
2015-01-12 | Bear | 15.24 / -2.0% | HEAD 0% | TAIL 68% | B/ATR nan
2015-01-13 | Bear | 15.07 / -1.2% | HEAD 126% | TAIL 258% | B/ATR nan
2015-01-14 | Bull | 15.15 / 1.7% | HEAD 32% | TAIL 156% | B/ATR nan
2015-01-15 | Bear | 14.89 / -2.7% | HEAD 98% | TAIL 34% | B/ATR nan
2015-01-16 | Bull | 15.13 / 2.6% | HEAD 78% | TAIL 46% | B/ATR nan
2015-01-20 | Bear | 14.39 / -3.9% | HEAD 7% | TAIL 50% | B/ATR nan
2015-01-21 | Bear | 13.89 / -3.5% | HEAD 69% | TAIL 29% | B/ATR nan
