2000-01-03 | Bear | 2.81 / -15.1% | HEAD 14% | TAIL 12% | B/ATR nan
2000-01-04 | Bull | 2.75 / 0.0% | HEAD 1250% | TAIL 1250% | B/ATR nan
2000-01-05 | Bull | 2.625 / 0.0% | HEAD 1250% | TAIL 0% | B/ATR nan
2000-01-06 | Bull | 2.75 / 2.3% | HEAD 102% | TAIL 102% | B/ATR nan
2000-01-07 | Bear | 2.75 / -2.2% | HEAD 0% | TAIL 98% | B/ATR nan
2000-01-10 | Bear | 2.688 / -2.3% | HEAD 102% | TAIL 0% | B/ATR nan
2000-01-11 | Bear | 2.625 / -2.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-12 | Bear | 2.563 / -2.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-13 | Bull | 2.75 / 7.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-14 | Bull | 2.938 / 6.8% | HEAD 0% | TAIL 33% | B/ATR nan
2000-01-18 | Bull | 3.188 / 6.3% | HEAD 66% | TAIL 0% | B/ATR nan
2000-01-19 | Bull | 3.25 / 4.0% | HEAD 150% | TAIL 0% | B/ATR nan
2000-01-20 | Bear | 3.125 / -5.7% | HEAD 0% | TAIL 33% | B/ATR nan
2000-01-21 | Bear | 2.938 / -4.1% | HEAD 0% | TAIL 100% | B/ATR nan
2000-01-24 | Bear | 2.813 / -4.3% | HEAD 50% | TAIL 0% | B/ATR nan
2000-01-25 | Bull | 2.938 / 4.4% | HEAD 50% | TAIL 0% | B/ATR nan
2000-01-26 | Bear | 2.875 / -2.1% | HEAD 0% | TAIL 198% | B/ATR nan
2000-01-27 | Bull | 2.75 / 0.0% | HEAD 630% | TAIL 620% | B/ATR nan
2000-01-28 | Bull | 2.688 / 0.0% | HEAD 620% | TAIL 630% | B/ATR nan
2000-01-31 | Bull | 2.688 / 0.0% | HEAD 620% | TAIL 630% | B/ATR nan
2000-02-01 | Bull | 2.813 / 2.3% | HEAD 98% | TAIL 98% | B/ATR nan
2000-02-02 | Bear | 2.75 / -2.2% | HEAD 98% | TAIL 0% | B/ATR nan
2000-02-03 | Bull | 2.75 / 0.0% | HEAD 630% | TAIL 620% | B/ATR nan
2000-02-04 | Bear | 2.688 / -4.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-07 | Bull | 2.75 / 0.0% | HEAD 0% | TAIL 620% | B/ATR nan
2000-02-08 | Bull | 2.688 / 0.0% | HEAD 0% | TAIL 1250% | B/ATR nan
2000-02-09 | Bull | 2.625 / 0.0% | HEAD 0% | TAIL 620% | B/ATR nan
2000-02-10 | Bear | 2.563 / -2.4% | HEAD 0% | TAIL 102% | B/ATR nan
2000-02-11 | Bull | 2.563 / 0.0% | HEAD 1250% | TAIL 630% | B/ATR nan
2000-02-14 | Bear | 2.313 / -9.8% | HEAD 0% | TAIL 25% | B/ATR nan
2000-02-15 | Bull | 2.313 / 0.0% | HEAD 1250% | TAIL 630% | B/ATR nan
2000-02-16 | Bull | 2.438 / 5.4% | HEAD 0% | TAIL 50% | B/ATR nan
2000-02-17 | Bear | 2.313 / -5.1% | HEAD 0% | TAIL 50% | B/ATR nan
2000-02-18 | Bear | 2.063 / -10.8% | HEAD 25% | TAIL 0% | B/ATR nan
2000-02-22 | Bull | 2.125 / 0.0% | HEAD 1250% | TAIL 620% | B/ATR nan
2000-02-23 | Bear | 2.0 / -5.9% | HEAD 0% | TAIL 50% | B/ATR nan
2000-02-24 | Bull | 2.0 / 0.0% | HEAD 630% | TAIL 620% | B/ATR nan
2000-02-25 | Bear | 1.938 / -3.1% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-28 | Bull | 1.938 / 0.0% | HEAD 620% | TAIL 0% | B/ATR nan
2000-02-29 | Bull | 2.0 / 0.0% | HEAD 0% | TAIL 620% | B/ATR nan
2000-03-01 | Bull | 2.188 / 9.4% | HEAD 33% | TAIL 33% | B/ATR nan
2000-03-02 | Bull | 2.5 / 14.3% | HEAD 20% | TAIL 0% | B/ATR nan
2000-03-03 | Bear | 2.375 / -5.0% | HEAD 200% | TAIL 0% | B/ATR nan
2000-03-06 | Bull | 2.5 / 2.5% | HEAD 202% | TAIL 0% | B/ATR nan
