2000-09-26 | Bull | 4.813 / 7.0% | HEAD 20% | TAIL 0% | B/ATR 1.6
2000-09-29 | Bull | 4.813 / 10.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2000-10-12 | Bull | 5.0 / 9.6% | HEAD 0% | TAIL 0% | B/ATR 2.1
2000-11-15 | Bull | 4.75 / 10.1% | HEAD 0% | TAIL 0% | B/ATR 1.9
2000-12-01 | Bull | 4.438 / 9.2% | HEAD 0% | TAIL 0% | B/ATR 1.7
2000-12-13 | Bull | 5.5 / 8.6% | HEAD 0% | TAIL 0% | B/ATR 1.9
2001-01-05 | Bull | 6.625 / 11.6% | HEAD 0% | TAIL 0% | B/ATR 2.8
2001-01-16 | Bull | 6.813 / 6.9% | HEAD 14% | TAIL 0% | B/ATR 1.7
2001-08-31 | Bull | 5.9 / 18.0% | HEAD 11% | TAIL 6% | B/ATR 3.1
2002-07-29 | Bull | 5.05 / 10.3% | HEAD 4% | TAIL 6% | B/ATR 2.1
2002-08-06 | Bull | 5.15 / 13.7% | HEAD 0% | TAIL 5% | B/ATR 2.7
2002-10-14 | Bull | 4.63 / 8.9% | HEAD 5% | TAIL 0% | B/ATR 1.5
2003-05-21 | Bull | 5.93 / 5.9% | HEAD 15% | TAIL 0% | B/ATR 1.5
2003-07-28 | Bull | 6.6 / 6.1% | HEAD 0% | TAIL 3% | B/ATR 1.7
2003-10-07 | Bull | 7.81 / 4.8% | HEAD 0% | TAIL 14% | B/ATR 1.7
2003-12-08 | Bull | 8.81 / 5.4% | HEAD 11% | TAIL 2% | B/ATR 2.1
2003-12-16 | Bull | 9.42 / 6.3% | HEAD 11% | TAIL 20% | B/ATR 2.5
2004-01-12 | Bull | 10.63 / 4.2% | HEAD 0% | TAIL 19% | B/ATR 1.9
2004-01-20 | Bull | 10.6 / 3.9% | HEAD 15% | TAIL 12% | B/ATR 1.7
2004-01-23 | Bull | 11.28 / 3.5% | HEAD 0% | TAIL 13% | B/ATR 1.6
2004-03-01 | Bull | 11.52 / 3.8% | HEAD 0% | TAIL 2% | B/ATR 1.5
2004-05-03 | Bull | 13.06 / 4.4% | HEAD 11% | TAIL 0% | B/ATR 1.9
2004-06-17 | Bull | 13.92 / 4.5% | HEAD 15% | TAIL 12% | B/ATR 1.9
2004-07-27 | Bull | 15.78 / 5.2% | HEAD 4% | TAIL 0% | B/ATR 2.2
2004-07-29 | Bull | 16.86 / 7.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2004-08-18 | Bull | 14.94 / 6.3% | HEAD 7% | TAIL 0% | B/ATR 2.4
2004-09-01 | Bull | 15.61 / 4.1% | HEAD 0% | TAIL 3% | B/ATR 1.5
2004-11-04 | Bull | 17.05 / 4.2% | HEAD 10% | TAIL 1% | B/ATR 1.6
2004-11-23 | Bull | 19.91 / 11.2% | HEAD 12% | TAIL 3% | B/ATR 4.4
2005-07-01 | Bull | 28.52 / 5.2% | HEAD 0% | TAIL 6% | B/ATR 1.7
2005-08-10 | Bull | 33.5 / 6.0% | HEAD 1% | TAIL 1% | B/ATR 2.2
2005-09-19 | Bull | 36.67 / 4.5% | HEAD 15% | TAIL 0% | B/ATR 1.7
2005-09-26 | Bull | 37.1 / 6.0% | HEAD 12% | TAIL 3% | B/ATR 2.2
2007-06-04 | Bull | 41.01 / 5.2% | HEAD 0% | TAIL 4% | B/ATR 2.3
2007-08-07 | Bull | 38.12 / 7.0% | HEAD 20% | TAIL 7% | B/ATR 2.5
2008-01-11 | Bull | 52.89 / 5.3% | HEAD 5% | TAIL 0% | B/ATR 1.9
2008-01-14 | Bull | 56.11 / 4.4% | HEAD 5% | TAIL 19% | B/ATR 1.7
2008-06-05 | Bull | 70.39 / 8.1% | HEAD 0% | TAIL 0% | B/ATR 2.2
2010-06-02 | Bull | 47.9 / 7.2% | HEAD 2% | TAIL 7% | B/ATR 1.8
2010-06-03 | Bull | 51.01 / 6.5% | HEAD 7% | TAIL 7% | B/ATR 1.8
2011-01-31 | Bull | 49.87 / 4.5% | HEAD 7% | TAIL 0% | B/ATR 1.6
2011-07-15 | Bull | 61.78 / 6.7% | HEAD 5% | TAIL 7% | B/ATR 2.4
2011-08-30 | Bull | 65.3 / 4.7% | HEAD 18% | TAIL 11% | B/ATR 1.5
2012-05-09 | Bull | 67.83 / 6.4% | HEAD 10% | TAIL 4% | B/ATR 1.7
2013-02-27 | Bull | 74.21 / 4.0% | HEAD 15% | TAIL 0% | B/ATR 1.6
2013-04-05 | Bull | 79.12 / 4.0% | HEAD 7% | TAIL 11% | B/ATR 1.7
2013-06-17 | Bull | 77.37 / 4.3% | HEAD 8% | TAIL 0% | B/ATR 1.7
2016-01-21 | Bull | 26.03 / 18.5% | HEAD 9% | TAIL 4% | B/ATR 2.2
2016-03-02 | Bull | 28.46 / 12.6% | HEAD 3% | TAIL 0% | B/ATR 1.7
