2013-07-19 | Bull | 27.7 / 4.5% | HEAD 63% | TAIL 32% | B/ATR nan
2013-07-22 | Bull | 28.9 / 3.6% | HEAD 43% | TAIL 105% | B/ATR nan
2013-07-23 | Bear | 27.85 / -4.8% | HEAD 25% | TAIL 11% | B/ATR nan
2013-07-24 | Bull | 28.1 / 1.3% | HEAD 160% | TAIL 0% | B/ATR nan
2013-07-25 | Bear | 27.05 / -3.7% | HEAD 0% | TAIL 5% | B/ATR nan
2013-07-26 | Bull | 27.58 / 2.0% | HEAD 28% | TAIL 100% | B/ATR nan
2013-07-29 | Bull | 27.84 / 2.2% | HEAD 78% | TAIL 41% | B/ATR nan
2013-07-30 | Bull | 28.43 / 1.5% | HEAD 14% | TAIL 86% | B/ATR nan
2013-07-31 | Bear | 28.45 / -0.9% | HEAD 259% | TAIL 193% | B/ATR nan
2013-08-01 | Bull | 29.0 / 3.1% | HEAD 0% | TAIL 14% | B/ATR nan
2013-08-02 | Bear | 28.79 / -0.7% | HEAD 148% | TAIL 33% | B/ATR nan
2013-08-05 | Bull | 30.45 / 5.0% | HEAD 34% | TAIL 8% | B/ATR nan
2013-08-06 | Bear | 30.21 / -0.8% | HEAD 167% | TAIL 183% | B/ATR nan
2013-08-07 | Bear | 29.7 / -1.7% | HEAD 12% | TAIL 212% | B/ATR nan
2013-08-08 | Bull | 31.5 / 4.2% | HEAD 13% | TAIL 18% | B/ATR nan
2013-08-09 | Bear | 31.09 / -1.9% | HEAD 30% | TAIL 97% | B/ATR nan
2013-08-12 | Bull | 32.28 / 2.0% | HEAD 25% | TAIL 24% | B/ATR nan
2013-08-13 | Bull | 32.77 / 0.7% | HEAD 179% | TAIL 221% | B/ATR nan
2013-08-14 | Bear | 32.41 / -1.8% | HEAD 0% | TAIL 48% | B/ATR nan
2013-08-15 | Bear | 32.26 / -1.4% | HEAD 41% | TAIL 151% | B/ATR nan
2013-08-16 | Bull | 32.75 / 2.9% | HEAD 97% | TAIL 83% | B/ATR nan
2013-08-19 | Bear | 30.08 / -7.9% | HEAD 2% | TAIL 18% | B/ATR nan
2013-08-20 | Bull | 30.07 / 0.3% | HEAD 456% | TAIL 1033% | B/ATR nan
2013-08-21 | Bear | 29.99 / -0.4% | HEAD 754% | TAIL 400% | B/ATR nan
2013-08-22 | Bear | 29.93 / -2.0% | HEAD 216% | TAIL 19% | B/ATR nan
2013-08-23 | Bear | 29.73 / -2.5% | HEAD 168% | TAIL 27% | B/ATR nan
2013-08-26 | Bull | 30.68 / 3.6% | HEAD 24% | TAIL 0% | B/ATR nan
2013-08-27 | Bear | 29.94 / -1.0% | HEAD 148% | TAIL 119% | B/ATR nan
2013-08-28 | Bear | 29.58 / -0.2% | HEAD 220% | TAIL 1060% | B/ATR nan
2013-08-29 | Bull | 31.97 / 3.5% | HEAD 40% | TAIL 63% | B/ATR nan
2013-08-30 | Bear | 31.96 / -3.0% | HEAD 35% | TAIL 43% | B/ATR nan
2013-09-03 | Bull | 33.4 / 1.6% | HEAD 49% | TAIL 175% | B/ATR nan
2013-09-04 | Bull | 35.3 / 5.2% | HEAD 10% | TAIL 31% | B/ATR nan
2013-09-05 | Bull | 36.6 / 2.8% | HEAD 82% | TAIL 47% | B/ATR nan
2013-09-06 | Bear | 34.7 / -6.6% | HEAD 12% | TAIL 7% | B/ATR nan
2013-09-09 | Bear | 34.5 / -1.7% | HEAD 151% | TAIL 42% | B/ATR nan
2013-09-10 | Bear | 33.98 / -2.9% | HEAD 19% | TAIL 47% | B/ATR nan
2013-09-11 | Bear | 32.61 / -2.7% | HEAD 15% | TAIL 27% | B/ATR nan
2013-09-12 | Bull | 32.75 / 0.3% | HEAD 909% | TAIL 355% | B/ATR nan
2013-09-13 | Bull | 33.47 / 1.4% | HEAD 304% | TAIL 6% | B/ATR nan
2013-09-16 | Bear | 33.96 / -0.1% | HEAD 425% | TAIL 2550% | B/ATR nan
2013-09-17 | Bear | 33.85 / -1.0% | HEAD 53% | TAIL 183% | B/ATR nan
2013-09-18 | Bull | 35.66 / 4.8% | HEAD 19% | TAIL 21% | B/ATR nan
2013-09-19 | Bull | 36.0 / 0.1% | HEAD 750% | TAIL 8500% | B/ATR nan
2013-09-20 | Bear | 36.0 / -0.1% | HEAD 4625% | TAIL 823% | B/ATR nan
2013-09-23 | Bull | 37.008 / 2.8% | HEAD 10% | TAIL 30% | B/ATR nan
2013-09-24 | Bull | 38.96 / 4.8% | HEAD 8% | TAIL 41% | B/ATR nan
2013-09-25 | Bear | 38.54 / -1.8% | HEAD 35% | TAIL 144% | B/ATR nan
2013-09-26 | Bear | 36.9 / -4.3% | HEAD 39% | TAIL 19% | B/ATR nan
2013-09-27 | Bear | 35.91 / -1.8% | HEAD 67% | TAIL 39% | B/ATR nan
2013-09-30 | Bear | 35.57 / -0.5% | HEAD 182% | TAIL 329% | B/ATR nan
2013-10-01 | Bear | 34.45 / -3.4% | HEAD 54% | TAIL 8% | B/ATR nan
2013-10-02 | Bear | 34.24 / -0.5% | HEAD 338% | TAIL 325% | B/ATR nan
2013-10-03 | Bear | 33.31 / -2.9% | HEAD 9% | TAIL 18% | B/ATR nan
2013-10-04 | Bull | 35.31 / 6.3% | HEAD 33% | TAIL 11% | B/ATR nan
2013-10-07 | Bear | 34.67 / -0.6% | HEAD 120% | TAIL 138% | B/ATR nan
2013-10-08 | Bear | 34.0 / -1.7% | HEAD 55% | TAIL 140% | B/ATR nan
2013-10-09 | Bear | 32.79 / -3.4% | HEAD 0% | TAIL 15% | B/ATR nan
2013-10-10 | Bull | 34.74 / 4.8% | HEAD 32% | TAIL 0% | B/ATR nan
2013-10-11 | Bear | 34.15 / -1.8% | HEAD 110% | TAIL 28% | B/ATR nan
2013-10-14 | Bull | 34.5 / 1.8% | HEAD 65% | TAIL 63% | B/ATR nan
2013-10-15 | Bear | 34.11 / -1.0% | HEAD 83% | TAIL 109% | B/ATR nan
2013-10-16 | Bear | 34.202 / -0.1% | HEAD 7550% | TAIL 1839% | B/ATR nan
