2007-07-26 | Bear | 29.45 / -1.5% | HEAD 22% | TAIL 67% | B/ATR nan
2007-07-27 | Bear | 28.94 / -1.6% | HEAD 72% | TAIL 85% | B/ATR nan
2007-07-30 | Bull | 29.0 / 0.1% | HEAD 567% | TAIL 1533% | B/ATR nan
2007-07-31 | Bull | 29.4 / 0.7% | HEAD 175% | TAIL 70% | B/ATR nan
2007-08-01 | Bear | 28.72 / -1.8% | HEAD 0% | TAIL 42% | B/ATR nan
2007-08-02 | Bear | 28.32 / -1.4% | HEAD 63% | TAIL 173% | B/ATR nan
2007-08-03 | Bear | 28.12 / -0.4% | HEAD 30% | TAIL 370% | B/ATR nan
2007-08-06 | Bear | 27.2 / -4.4% | HEAD 4% | TAIL 204% | B/ATR nan
2007-08-07 | Bull | 28.14 / 3.3% | HEAD 125% | TAIL 61% | B/ATR nan
2007-08-08 | Bear | 27.87 / -1.3% | HEAD 97% | TAIL 100% | B/ATR nan
2007-08-09 | Bear | 27.29 / -2.5% | HEAD 21% | TAIL 0% | B/ATR nan
2007-08-10 | Bear | 26.98 / -1.1% | HEAD 106% | TAIL 100% | B/ATR nan
2007-08-13 | Bull | 27.69 / 2.6% | HEAD 4% | TAIL 0% | B/ATR nan
2007-08-14 | Bear | 27.3 / -1.4% | HEAD 62% | TAIL 64% | B/ATR nan
2007-08-15 | Bull | 26.95 / 0.9% | HEAD 20% | TAIL 100% | B/ATR nan
2007-08-16 | Bear | 25.86 / -2.4% | HEAD 34% | TAIL 133% | B/ATR nan
2007-08-17 | Bull | 27.0 / 2.5% | HEAD 43% | TAIL 3% | B/ATR nan
2007-08-20 | Bear | 26.84 / -0.0% | HEAD 1600% | TAIL 3400% | B/ATR nan
2007-08-21 | Bear | 26.75 / -0.3% | HEAD 178% | TAIL 267% | B/ATR nan
2007-08-22 | Bull | 26.76 / 0.4% | HEAD 218% | TAIL 45% | B/ATR nan
2007-08-23 | Bull | 27.04 / 0.5% | HEAD 186% | TAIL 214% | B/ATR nan
2007-08-24 | Bear | 26.92 / -0.5% | HEAD 323% | TAIL 292% | B/ATR nan
2007-08-27 | Bull | 27.05 / 0.9% | HEAD 61% | TAIL 48% | B/ATR nan
2007-08-28 | Bear | 26.3 / -2.5% | HEAD 32% | TAIL 12% | B/ATR nan
2007-08-29 | Bull | 26.58 / 0.7% | HEAD 122% | TAIL 111% | B/ATR nan
