2008-10-10 | Bull | 14.75 / 21.9% | HEAD 9% | TAIL 0% | B/ATR 3.8
2008-11-24 | Bull | 17.28 / 8.7% | HEAD 9% | TAIL 0% | B/ATR 1.5
2009-02-27 | Bull | 22.18 / 8.5% | HEAD 4% | TAIL 0% | B/ATR 1.5
2010-04-01 | Bull | 31.5 / 3.3% | HEAD 0% | TAIL 0% | B/ATR 1.5
2010-07-07 | Bull | 35.8 / 4.6% | HEAD 0% | TAIL 6% | B/ATR 1.8
2012-12-18 | Bull | 30.69 / 2.7% | HEAD 9% | TAIL 0% | B/ATR 1.5
2012-12-31 | Bull | 31.23 / 3.1% | HEAD 3% | TAIL 0% | B/ATR 1.7
2013-01-17 | Bull | 34.0 / 2.8% | HEAD 2% | TAIL 17% | B/ATR 1.7
2013-02-21 | Bull | 36.24 / 4.6% | HEAD 14% | TAIL 6% | B/ATR 2.8
2013-03-04 | Bull | 38.15 / 2.7% | HEAD 0% | TAIL 1% | B/ATR 1.7
2013-05-08 | Bull | 37.15 / 2.7% | HEAD 0% | TAIL 6% | B/ATR 1.5
2013-06-12 | Bull | 39.48 / 2.8% | HEAD 10% | TAIL 0% | B/ATR 1.5
2013-06-21 | Bull | 43.0 / 2.6% | HEAD 11% | TAIL 0% | B/ATR 1.5
2014-12-22 | Bull | 57.15 / 5.8% | HEAD 11% | TAIL 0% | B/ATR 2.1
2015-12-09 | Bull | 40.75 / 7.4% | HEAD 0% | TAIL 2% | B/ATR 2.0
2016-01-14 | Bull | 45.72 / 6.1% | HEAD 8% | TAIL 18% | B/ATR 1.7
2016-12-05 | Bull | 43.28 / 3.4% | HEAD 0% | TAIL 3% | B/ATR 1.6
2017-06-23 | Bull | 42.33 / 2.7% | HEAD 9% | TAIL 4% | B/ATR 1.6
2017-10-27 | Bull | 42.47 / 2.9% | HEAD 3% | TAIL 2% | B/ATR 1.8
2017-11-30 | Bull | 40.92 / 3.7% | HEAD 7% | TAIL 14% | B/ATR 2.0
2017-12-11 | Bull | 42.21 / 2.9% | HEAD 5% | TAIL 2% | B/ATR 1.6
2018-01-02 | Bull | 41.32 / 3.7% | HEAD 1% | TAIL 10% | B/ATR 1.9
2018-02-06 | Bull | 42.91 / 4.3% | HEAD 5% | TAIL 1% | B/ATR 2.2
