2014-10-29 | Bull | 33.55 / 4.8% | HEAD 6% | TAIL 32% | B/ATR nan
2014-10-30 | Bull | 36.78 / 0.5% | HEAD 368% | TAIL 47% | B/ATR nan
2014-10-31 | Bear | 33.69 / -0.5% | HEAD 28% | TAIL 211% | B/ATR nan
2014-11-03 | Bear | 33.8 / -1.8% | HEAD 37% | TAIL 8% | B/ATR nan
2014-11-04 | Bear | 32.59 / -3.6% | HEAD 11% | TAIL 68% | B/ATR nan
2014-11-05 | Bear | 31.95 / -2.4% | HEAD 19% | TAIL 32% | B/ATR nan
2014-11-06 | Bull | 32.6 / 2.5% | HEAD 105% | TAIL 0% | B/ATR nan
2014-11-07 | Bull | 34.18 / 4.1% | HEAD 78% | TAIL 24% | B/ATR nan
2014-11-10 | Bull | 35.62 / 3.1% | HEAD 33% | TAIL 27% | B/ATR nan
2014-11-11 | Bull | 36.84 / 2.2% | HEAD 30% | TAIL 59% | B/ATR nan
2014-11-12 | Bull | 36.78 / 0.5% | HEAD 368% | TAIL 47% | B/ATR nan
2014-11-13 | Bear | 34.74 / -6.5% | HEAD 3% | TAIL 32% | B/ATR nan
2014-11-14 | Bull | 35.68 / 2.7% | HEAD 10% | TAIL 27% | B/ATR nan
2014-11-17 | Bear | 35.37 / -1.4% | HEAD 57% | TAIL 55% | B/ATR nan
2014-11-18 | Bull | 36.99 / 3.6% | HEAD 3% | TAIL 28% | B/ATR nan
2014-11-19 | Bear | 36.62 / -1.0% | HEAD 132% | TAIL 32% | B/ATR nan
2014-11-20 | Bear | 35.61 / -2.2% | HEAD 26% | TAIL 26% | B/ATR nan
2014-11-21 | Bear | 35.22 / -2.2% | HEAD 122% | TAIL 21% | B/ATR nan
2014-11-24 | Bull | 36.84 / 3.3% | HEAD 9% | TAIL 14% | B/ATR nan
2014-11-25 | Bull | 38.2 / 3.7% | HEAD 92% | TAIL 0% | B/ATR nan
2014-11-26 | Bear | 38.41 / -1.3% | HEAD 80% | TAIL 146% | B/ATR nan
2014-11-28 | Bear | 36.52 / -3.8% | HEAD 17% | TAIL 70% | B/ATR nan
2014-12-01 | Bear | 34.3 / -5.3% | HEAD 15% | TAIL 57% | B/ATR nan
2014-12-02 | Bull | 34.28 / 0.2% | HEAD 5642% | TAIL 33% | B/ATR nan
2014-12-03 | Bull | 36.09 / 4.8% | HEAD 25% | TAIL 5% | B/ATR nan
2014-12-04 | Bull | 36.7 / 0.5% | HEAD 385% | TAIL 465% | B/ATR nan
2014-12-05 | Bull | 37.04 / 1.0% | HEAD 66% | TAIL 24% | B/ATR nan
2014-12-08 | Bear | 34.6 / -6.0% | HEAD 8% | TAIL 5% | B/ATR nan
2014-12-09 | Bull | 34.52 / 1.2% | HEAD 115% | TAIL 222% | B/ATR nan
2014-12-10 | Bear | 33.2 / -2.1% | HEAD 64% | TAIL 96% | B/ATR nan
2014-12-11 | Bull | 33.98 / 0.3% | HEAD 1660% | TAIL 130% | B/ATR nan
2014-12-12 | Bull | 33.86 / 1.6% | HEAD 111% | TAIL 15% | B/ATR nan
2014-12-15 | Bear | 34.19 / -0.3% | HEAD 242% | TAIL 567% | B/ATR nan
2014-12-16 | Bull | 34.9 / 3.4% | HEAD 139% | TAIL 0% | B/ATR nan
2014-12-17 | Bull | 36.18 / 3.3% | HEAD 105% | TAIL 29% | B/ATR nan
2014-12-18 | Bear | 35.9 / -2.6% | HEAD 0% | TAIL 31% | B/ATR nan
2014-12-19 | Bear | 35.33 / -2.2% | HEAD 0% | TAIL 106% | B/ATR nan
2014-12-22 | Bull | 36.09 / 0.9% | HEAD 106% | TAIL 55% | B/ATR nan
2014-12-23 | Bear | 35.59 / -1.4% | HEAD 122% | TAIL 94% | B/ATR nan
2014-12-24 | Bear | 35.27 / -1.4% | HEAD 130% | TAIL 31% | B/ATR nan
2014-12-26 | Bull | 36.0 / 1.1% | HEAD 26% | TAIL 134% | B/ATR nan
2014-12-29 | Bull | 38.1 / 5.2% | HEAD 17% | TAIL 16% | B/ATR nan
2014-12-30 | Bull | 39.49 / 3.8% | HEAD 35% | TAIL 61% | B/ATR nan
2014-12-31 | Bull | 40.98 / 3.3% | HEAD 37% | TAIL 34% | B/ATR nan
2015-01-02 | Bull | 41.99 / 2.4% | HEAD 85% | TAIL 48% | B/ATR nan
2015-01-05 | Bull | 41.87 / 0.7% | HEAD 328% | TAIL 131% | B/ATR nan
2015-01-06 | Bear | 40.95 / -1.8% | HEAD 52% | TAIL 170% | B/ATR nan
2015-01-07 | Bear | 40.57 / -2.1% | HEAD 38% | TAIL 71% | B/ATR nan
2015-01-08 | Bull | 41.19 / 0.3% | HEAD 475% | TAIL 400% | B/ATR nan
2015-01-09 | Bear | 40.69 / -1.9% | HEAD 0% | TAIL 37% | B/ATR nan
2015-01-12 | Bear | 37.74 / -7.5% | HEAD 3% | TAIL 15% | B/ATR nan
2015-01-13 | Bear | 35.54 / -6.7% | HEAD 13% | TAIL 20% | B/ATR nan
2015-01-14 | Bull | 35.74 / 2.1% | HEAD 74% | TAIL 0% | B/ATR nan
2015-01-15 | Bull | 36.61 / 1.0% | HEAD 411% | TAIL 0% | B/ATR nan
2015-01-16 | Bull | 37.54 / 1.5% | HEAD 91% | TAIL 135% | B/ATR nan
2015-01-20 | Bull | 38.95 / 4.2% | HEAD 29% | TAIL 43% | B/ATR nan
