2000-01-03 | Bear | 1455.22 / -1.0% | HEAD 62% | TAIL 120% | B/ATR nan
2000-01-04 | Bear | 1399.42 / -3.8% | HEAD 0% | TAIL 4% | B/ATR nan
2000-01-05 | Bull | 1402.11 / 0.2% | HEAD 415% | TAIL 808% | B/ATR nan
2000-01-06 | Bull | 1403.45 / 0.1% | HEAD 631% | TAIL 747% | B/ATR nan
2000-01-07 | Bull | 1441.47 / 2.7% | HEAD 0% | TAIL 7% | B/ATR nan
2000-01-10 | Bull | 1457.6 / 1.1% | HEAD 42% | TAIL 0% | B/ATR nan
2000-01-11 | Bear | 1438.5601 / -1.3% | HEAD 6% | TAIL 22% | B/ATR nan
2000-01-12 | Bear | 1432.25 / -0.4% | HEAD 64% | TAIL 82% | B/ATR nan
2000-01-13 | Bull | 1449.6801 / 1.2% | HEAD 26% | TAIL 0% | B/ATR nan
2000-01-14 | Bull | 1465.15 / 1.1% | HEAD 51% | TAIL 0% | B/ATR nan
2000-01-18 | Bear | 1455.14 / -0.7% | HEAD 0% | TAIL 38% | B/ATR nan
2000-01-19 | Bull | 1455.9 / 0.1% | HEAD 722% | TAIL 850% | B/ATR nan
2000-01-20 | Bear | 1445.5699 / -0.7% | HEAD 95% | TAIL 68% | B/ATR nan
2000-01-21 | Bear | 1441.36 / -0.3% | HEAD 181% | TAIL 42% | B/ATR nan
2000-01-24 | Bear | 1401.53 / -2.8% | HEAD 32% | TAIL 15% | B/ATR nan
2000-01-25 | Bull | 1410.03 / 0.6% | HEAD 50% | TAIL 153% | B/ATR nan
2000-01-26 | Bear | 1404.09 / -0.4% | HEAD 45% | TAIL 66% | B/ATR nan
2000-01-27 | Bear | 1398.5601 / -0.4% | HEAD 267% | TAIL 499% | B/ATR nan
2000-01-28 | Bear | 1360.16 / -2.7% | HEAD 0% | TAIL 10% | B/ATR nan
2000-01-31 | Bull | 1394.46 / 2.5% | HEAD 0% | TAIL 29% | B/ATR nan
2000-02-01 | Bull | 1409.28 / 1.1% | HEAD 22% | TAIL 65% | B/ATR nan
2000-02-02 | Bear | 1409.12 / -0.0% | HEAD 7081% | TAIL 3519% | B/ATR nan
2000-02-03 | Bull | 1424.97 / 1.1% | HEAD 5% | TAIL 67% | B/ATR nan
2000-02-04 | Bear | 1424.37 / -0.0% | HEAD 1823% | TAIL 623% | B/ATR nan
2000-02-07 | Bear | 1424.24 / -0.0% | HEAD 2138% | TAIL 8392% | B/ATR nan
2000-02-08 | Bull | 1441.72 / 1.2% | HEAD 1% | TAIL 0% | B/ATR nan
2000-02-09 | Bear | 1411.71 / -2.1% | HEAD 9% | TAIL 0% | B/ATR nan
2000-02-10 | Bull | 1416.83 / 0.4% | HEAD 103% | TAIL 103% | B/ATR nan
2000-02-11 | Bear | 1387.12 / -2.1% | HEAD 0% | TAIL 28% | B/ATR nan
2000-02-14 | Bull | 1389.9399 / 0.2% | HEAD 177% | TAIL 234% | B/ATR nan
2000-02-15 | Bull | 1402.05 / 0.9% | HEAD 47% | TAIL 113% | B/ATR nan
2000-02-16 | Bear | 1387.67 / -1.0% | HEAD 17% | TAIL 15% | B/ATR nan
2000-02-17 | Bull | 1388.26 / 0.0% | HEAD 1969% | TAIL 1288% | B/ATR nan
2000-02-18 | Bear | 1346.09 / -3.0% | HEAD 1% | TAIL 2% | B/ATR nan
2000-02-22 | Bull | 1352.17 / 0.5% | HEAD 98% | TAIL 234% | B/ATR nan
2000-02-23 | Bull | 1360.6899 / 0.6% | HEAD 111% | TAIL 114% | B/ATR nan
2000-02-24 | Bear | 1353.4301 / -0.5% | HEAD 57% | TAIL 324% | B/ATR nan
2000-02-25 | Bear | 1333.36 / -1.5% | HEAD 43% | TAIL 21% | B/ATR nan
2000-02-28 | Bull | 1348.05 / 1.1% | HEAD 87% | TAIL 56% | B/ATR nan
2000-02-29 | Bull | 1366.42 / 1.4% | HEAD 17% | TAIL 0% | B/ATR nan
2000-03-01 | Bull | 1379.1899 / 0.9% | HEAD 33% | TAIL 0% | B/ATR nan
2000-03-02 | Bull | 1381.76 / 0.2% | HEAD 187% | TAIL 344% | B/ATR nan
2000-03-03 | Bull | 1409.17 / 2.0% | HEAD 6% | TAIL 0% | B/ATR nan
2000-03-06 | Bear | 1391.28 / -1.3% | HEAD 3% | TAIL 37% | B/ATR nan
2000-03-07 | Bear | 1355.62 / -2.6% | HEAD 22% | TAIL 16% | B/ATR nan
2000-03-08 | Bull | 1366.7 / 0.8% | HEAD 64% | TAIL 81% | B/ATR nan
2000-03-09 | Bull | 1401.6899 / 2.6% | HEAD 0% | TAIL 25% | B/ATR nan
2000-03-10 | Bear | 1395.0699 / -0.5% | HEAD 178% | TAIL 45% | B/ATR nan
2000-03-13 | Bear | 1383.62 / -0.8% | HEAD 29% | TAIL 164% | B/ATR nan
2000-03-14 | Bear | 1359.15 / -1.8% | HEAD 47% | TAIL 0% | B/ATR nan
2000-03-15 | Bull | 1392.14 / 2.4% | HEAD 18% | TAIL 7% | B/ATR nan
2000-03-16 | Bull | 1458.47 / 4.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-17 | Bull | 1464.47 / 0.4% | HEAD 214% | TAIL 86% | B/ATR nan
2000-03-20 | Bear | 1456.63 / -0.5% | HEAD 74% | TAIL 104% | B/ATR nan
2000-03-21 | Bull | 1493.87 / 2.6% | HEAD 0% | TAIL 28% | B/ATR nan
2000-03-22 | Bull | 1500.64 / 0.5% | HEAD 66% | TAIL 97% | B/ATR nan
2000-03-23 | Bull | 1527.35 / 1.8% | HEAD 19% | TAIL 31% | B/ATR nan
2000-03-24 | Bull | 1527.46 / 0.0% | HEAD 23100% | TAIL 9564% | B/ATR nan
2000-03-27 | Bear | 1523.86 / -0.2% | HEAD 199% | TAIL 150% | B/ATR nan
2000-03-28 | Bear | 1507.73 / -1.1% | HEAD 22% | TAIL 4% | B/ATR nan
2000-03-29 | Bull | 1508.52 / 0.1% | HEAD 1637% | TAIL 1301% | B/ATR nan
2000-03-30 | Bear | 1487.92 / -1.4% | HEAD 43% | TAIL 65% | B/ATR nan
