2000-10-13 | Bull | 1374.17 / 3.3% | HEAD 0% | TAIL 6% | B/ATR 2.0
2000-10-19 | Bull | 1388.76 / 3.5% | HEAD 3% | TAIL 0% | B/ATR 2.1
2000-12-05 | Bull | 1376.54 / 3.9% | HEAD 0% | TAIL 0% | B/ATR 2.1
2001-01-03 | Bull | 1347.5601 / 5.0% | HEAD 0% | TAIL 13% | B/ATR 2.6
2001-04-05 | Bull | 1151.4399 / 4.4% | HEAD 0% | TAIL 0% | B/ATR 1.9
2001-09-24 | Bull | 1003.45 / 3.9% | HEAD 13% | TAIL 0% | B/ATR 1.9
2002-04-16 | Bull | 1128.37 / 2.3% | HEAD 4% | TAIL 0% | B/ATR 1.5
2002-05-08 | Bull | 1088.85 / 3.8% | HEAD 0% | TAIL 0% | B/ATR 2.4
2002-06-17 | Bull | 1036.17 / 2.9% | HEAD 0% | TAIL 0% | B/ATR 1.7
2002-07-05 | Bull | 989.03 / 3.7% | HEAD 0% | TAIL 0% | B/ATR 2.1
2002-07-29 | Bull | 898.96 / 5.4% | HEAD 0% | TAIL 0% | B/ATR 2.4
2002-10-15 | Bull | 881.27 / 4.7% | HEAD 0% | TAIL 0% | B/ATR 1.7
2003-03-13 | Bull | 831.9 / 3.4% | HEAD 0% | TAIL 0% | B/ATR 1.5
2003-10-01 | Bull | 1018.22 / 2.2% | HEAD 0% | TAIL 0% | B/ATR 1.6
2004-03-25 | Bull | 1109.1899 / 1.6% | HEAD 7% | TAIL 0% | B/ATR 1.6
2004-06-07 | Bull | 1140.42 / 1.6% | HEAD 1% | TAIL 0% | B/ATR 1.5
2004-10-01 | Bull | 1131.5 / 1.5% | HEAD 1% | TAIL 0% | B/ATR 1.6
2004-10-26 | Bull | 1111.09 / 1.5% | HEAD 0% | TAIL 0% | B/ATR 1.6
2004-11-04 | Bull | 1161.67 / 1.6% | HEAD 0% | TAIL 5% | B/ATR 1.8
2004-12-01 | Bull | 1191.37 / 1.5% | HEAD 0% | TAIL 0% | B/ATR 1.7
2005-03-30 | Bull | 1181.41 / 1.4% | HEAD 1% | TAIL 0% | B/ATR 1.6
