2010-02-11 | Bear | 76.98 / -4.3% | HEAD 22% | TAIL 19% | B/ATR nan
2010-02-12 | Bear | 76.34 / -3.7% | HEAD 2% | TAIL 13% | B/ATR nan
2010-02-16 | Bear | 73.63 / -1.4% | HEAD 119% | TAIL 22% | B/ATR nan
2010-02-17 | Bear | 72.5 / -0.2% | HEAD 727% | TAIL 143% | B/ATR nan
2010-02-18 | Bear | 70.76 / -2.3% | HEAD 21% | TAIL 13% | B/ATR nan
2010-02-19 | Bear | 70.95 / -0.6% | HEAD 129% | TAIL 211% | B/ATR nan
2010-02-22 | Bull | 71.39 / 1.7% | HEAD 65% | TAIL 4% | B/ATR nan
2010-02-23 | Bull | 74.26 / 3.8% | HEAD 29% | TAIL 0% | B/ATR nan
2010-02-24 | Bear | 71.94 / -1.4% | HEAD 32% | TAIL 85% | B/ATR nan
2010-02-25 | Bear | 71.44 / -3.7% | HEAD 50% | TAIL 0% | B/ATR nan
2010-02-26 | Bear | 71.05 / -1.3% | HEAD 73% | TAIL 25% | B/ATR nan
2010-03-01 | Bear | 67.9201 / -3.3% | HEAD 2% | TAIL 10% | B/ATR nan
2010-03-02 | Bull | 67.4 / 0.1% | HEAD 410% | TAIL 1116% | B/ATR nan
2010-03-03 | Bull | 67.4 / 0.4% | HEAD 212% | TAIL 379% | B/ATR nan
2010-03-04 | Bear | 66.56 / -0.7% | HEAD 198% | TAIL 51% | B/ATR nan
2010-03-05 | Bear | 63.61 / -2.0% | HEAD 34% | TAIL 26% | B/ATR nan
2010-03-08 | Bear | 63.09 / -0.2% | HEAD 120% | TAIL 390% | B/ATR nan
2010-03-09 | Bear | 62.0 / -2.6% | HEAD 0% | TAIL 61% | B/ATR nan
2010-03-10 | Bear | 60.51 / -1.5% | HEAD 12% | TAIL 43% | B/ATR nan
2010-03-11 | Bear | 59.92 / -1.6% | HEAD 33% | TAIL 4% | B/ATR nan
2010-03-12 | Bull | 59.83 / 1.1% | HEAD 84% | TAIL 0% | B/ATR nan
2010-03-15 | Bear | 60.1899 / -0.1% | HEAD 2374% | TAIL 845% | B/ATR nan
2010-03-16 | Bear | 59.03 / -1.1% | HEAD 78% | TAIL 33% | B/ATR nan
2010-03-17 | Bear | 58.75 / -0.1% | HEAD 218% | TAIL 1225% | B/ATR nan
2010-03-18 | Bear | 58.05 / -0.6% | HEAD 108% | TAIL 67% | B/ATR nan
2010-03-19 | Bull | 59.1 / 3.0% | HEAD 30% | TAIL 0% | B/ATR nan
2010-03-22 | Bear | 57.44 / -3.7% | HEAD 11% | TAIL 33% | B/ATR nan
2010-03-23 | Bear | 56.3 / -1.5% | HEAD 82% | TAIL 24% | B/ATR nan
2010-03-24 | Bull | 56.9 / 0.6% | HEAD 153% | TAIL 22% | B/ATR nan
2010-03-25 | Bull | 57.37 / 3.0% | HEAD 4% | TAIL 44% | B/ATR nan
2010-03-26 | Bull | 57.02 / 0.7% | HEAD 232% | TAIL 166% | B/ATR nan
2010-03-29 | Bull | 56.28 / 0.1% | HEAD 1025% | TAIL 1150% | B/ATR nan
2010-03-30 | Bear | 55.73 / -0.1% | HEAD 1517% | TAIL 800% | B/ATR nan
2010-03-31 | Bull | 56.34 / 0.0% | HEAD 4300% | TAIL 7799% | B/ATR nan
2010-04-01 | Bull | 56.46 / 1.1% | HEAD 198% | TAIL 172% | B/ATR nan
2010-04-05 | Bear | 54.9 / -2.3% | HEAD 26% | TAIL 27% | B/ATR nan
2010-04-06 | Bear | 54.46 / -1.6% | HEAD 27% | TAIL 57% | B/ATR nan
2010-04-07 | Bear | 54.74 / -0.2% | HEAD 745% | TAIL 582% | B/ATR nan
2010-04-08 | Bear | 54.55 / -1.4% | HEAD 100% | TAIL 41% | B/ATR nan
2010-04-09 | Bear | 53.52 / -1.5% | HEAD 51% | TAIL 11% | B/ATR nan
2010-04-12 | Bear | 53.35 / -0.0% | HEAD 1450% | TAIL 2050% | B/ATR nan
2010-04-13 | Bear | 52.51 / -1.9% | HEAD 28% | TAIL 7% | B/ATR nan
2010-04-14 | Bear | 50.68 / -2.0% | HEAD 20% | TAIL 3% | B/ATR nan
2010-04-15 | Bear | 50.06 / -1.2% | HEAD 0% | TAIL 31% | B/ATR nan
2010-04-16 | Bull | 51.64 / 2.2% | HEAD 95% | TAIL 47% | B/ATR nan
2010-04-19 | Bear | 51.86 / -0.9% | HEAD 285% | TAIL 87% | B/ATR nan
2010-04-20 | Bull | 51.16 / 0.3% | HEAD 550% | TAIL 182% | B/ATR nan
2010-04-21 | Bull | 50.14 / 0.2% | HEAD 989% | TAIL 367% | B/ATR nan
2010-04-22 | Bear | 49.36 / -4.4% | HEAD 35% | TAIL 7% | B/ATR nan
2010-04-23 | Bear | 48.76 / -1.3% | HEAD 69% | TAIL 23% | B/ATR nan
2010-04-26 | Bull | 49.09 / 0.9% | HEAD 41% | TAIL 65% | B/ATR nan
2010-04-27 | Bull | 52.1 / 5.0% | HEAD 17% | TAIL 24% | B/ATR nan
2010-04-28 | Bull | 52.02 / 1.5% | HEAD 157% | TAIL 0% | B/ATR nan
2010-04-29 | Bear | 49.33 / -3.8% | HEAD 0% | TAIL 14% | B/ATR nan
2010-04-30 | Bull | 52.25 / 5.7% | HEAD 4% | TAIL 8% | B/ATR nan
2010-05-03 | Bear | 50.0349 / -3.1% | HEAD 2% | TAIL 47% | B/ATR nan
2010-05-04 | Bull | 54.56 / 5.1% | HEAD 37% | TAIL 1% | B/ATR nan
2010-05-05 | Bear | 55.29 / -1.4% | HEAD 138% | TAIL 127% | B/ATR nan
2010-05-06 | Bull | 60.92 / 8.0% | HEAD 323% | TAIL 198% | B/ATR nan
2010-05-07 | Bull | 64.9101 / 4.2% | HEAD 159% | TAIL 89% | B/ATR nan
2010-05-10 | Bear | 55.48 / -2.5% | HEAD 25% | TAIL 16% | B/ATR nan
2010-05-11 | Bear | 55.42 / -2.6% | HEAD 28% | TAIL 150% | B/ATR nan
2010-05-12 | Bear | 52.4 / -4.1% | HEAD 8% | TAIL 9% | B/ATR nan
2010-05-13 | Bull | 54.83 / 3.4% | HEAD 16% | TAIL 68% | B/ATR nan
2010-05-14 | Bull | 57.96 / 3.4% | HEAD 101% | TAIL 2% | B/ATR nan
2010-05-17 | Bear | 57.52 / -0.0% | HEAD 17851% | TAIL 3751% | B/ATR nan
2010-05-18 | Bull | 59.76 / 6.7% | HEAD 19% | TAIL 10% | B/ATR nan
2010-05-19 | Bull | 61.19 / 1.3% | HEAD 257% | TAIL 181% | B/ATR nan
2010-05-20 | Bull | 67.17 / 4.0% | HEAD 46% | TAIL 10% | B/ATR nan
2010-05-21 | Bear | 66.43 / -6.7% | HEAD 16% | TAIL 46% | B/ATR nan
2010-05-24 | Bull | 65.96 / 0.0% | HEAD 3000% | TAIL 11400% | B/ATR nan
2010-05-25 | Bear | 66.47 / -6.3% | HEAD 43% | TAIL 9% | B/ATR nan
2010-05-26 | Bull | 68.44 / 4.7% | HEAD 14% | TAIL 92% | B/ATR nan
2010-05-27 | Bear | 60.75 / -4.7% | HEAD 22% | TAIL 0% | B/ATR nan
2010-05-28 | Bull | 61.87 / 2.1% | HEAD 120% | TAIL 20% | B/ATR nan
2010-06-01 | Bull | 63.65 / 2.0% | HEAD 7% | TAIL 263% | B/ATR nan
2010-06-02 | Bear | 59.13 / -5.3% | HEAD 38% | TAIL 7% | B/ATR nan
2010-06-03 | Bear | 57.36 / -2.1% | HEAD 84% | TAIL 26% | B/ATR nan
2010-06-04 | Bull | 63.12 / 3.5% | HEAD 29% | TAIL 101% | B/ATR nan
2010-06-07 | Bull | 66.6 / 7.2% | HEAD 3% | TAIL 9% | B/ATR nan
2010-06-08 | Bull | 66.92 / 1.1% | HEAD 378% | TAIL 62% | B/ATR nan
2010-06-09 | Bull | 68.705 / 4.6% | HEAD 17% | TAIL 64% | B/ATR nan
2010-06-10 | Bear | 62.7 / -5.1% | HEAD 19% | TAIL 4% | B/ATR nan
2010-06-11 | Bear | 61.05 / -5.5% | HEAD 2% | TAIL 6% | B/ATR nan
2010-06-14 | Bull | 61.2 / 3.2% | HEAD 5% | TAIL 67% | B/ATR nan
2010-06-15 | Bear | 56.21 / -6.5% | HEAD 3% | TAIL 8% | B/ATR nan
2010-06-16 | Bear | 55.32 / -2.2% | HEAD 25% | TAIL 59% | B/ATR nan
2010-06-17 | Bull | 54.62 / 0.1% | HEAD 2817% | TAIL 267% | B/ATR nan
2010-06-18 | Bull | 54.59 / 0.2% | HEAD 475% | TAIL 767% | B/ATR nan
2010-06-21 | Bull | 56.01 / 6.4% | HEAD 30% | TAIL 7% | B/ATR nan
2010-06-22 | Bull | 57.37 / 3.5% | HEAD 17% | TAIL 63% | B/ATR nan
2010-06-23 | Bull | 58.06 / 1.5% | HEAD 162% | TAIL 63% | B/ATR nan
2010-06-24 | Bull | 61.01 / 3.6% | HEAD 11% | TAIL 23% | B/ATR nan
2010-06-25 | Bull | 60.95 / 1.2% | HEAD 190% | TAIL 97% | B/ATR nan
2010-06-28 | Bull | 61.65 / 1.1% | HEAD 179% | TAIL 136% | B/ATR nan
2010-06-29 | Bull | 68.47 / 6.1% | HEAD 41% | TAIL 5% | B/ATR nan
2010-06-30 | Bull | 71.83 / 3.4% | HEAD 22% | TAIL 88% | B/ATR nan
2010-07-01 | Bull | 72.51 / 1.6% | HEAD 361% | TAIL 54% | B/ATR nan
2010-07-02 | Bull | 73.11 / 1.2% | HEAD 224% | TAIL 88% | B/ATR nan
2010-07-06 | Bull | 72.43 / 3.5% | HEAD 75% | TAIL 60% | B/ATR nan
2010-07-07 | Bear | 65.58 / -8.6% | HEAD 3% | TAIL 4% | B/ATR nan
2010-07-08 | Bull | 64.6 / 0.9% | HEAD 384% | TAIL 67% | B/ATR nan
2010-07-09 | Bear | 62.55 / -3.2% | HEAD 116% | TAIL 0% | B/ATR nan
2010-07-12 | Bear | 62.01 / -1.1% | HEAD 83% | TAIL 146% | B/ATR nan
2010-07-13 | Bear | 59.88 / -0.9% | HEAD 250% | TAIL 159% | B/ATR nan
2010-07-14 | Bear | 58.7 / -1.2% | HEAD 89% | TAIL 122% | B/ATR nan
2010-07-15 | Bear | 58.39 / -1.3% | HEAD 227% | TAIL 43% | B/ATR nan
2010-07-16 | Bull | 63.09 / 6.4% | HEAD 13% | TAIL 8% | B/ATR nan
2010-07-19 | Bear | 61.81 / -1.6% | HEAD 157% | TAIL 40% | B/ATR nan
2010-07-20 | Bear | 59.45 / -8.2% | HEAD 10% | TAIL 0% | B/ATR nan
2010-07-21 | Bull | 61.88 / 7.3% | HEAD 10% | TAIL 2% | B/ATR nan
2010-07-22 | Bear | 57.68 / -3.0% | HEAD 1% | TAIL 68% | B/ATR nan
2010-07-23 | Bear | 56.1781 / -3.8% | HEAD 16% | TAIL 5% | B/ATR nan
2010-07-26 | Bear | 54.9 / -2.0% | HEAD 68% | TAIL 14% | B/ATR nan
2010-07-27 | Bull | 54.75 / 1.4% | HEAD 116% | TAIL 18% | B/ATR nan
2010-07-28 | Bull | 55.98 / 1.6% | HEAD 87% | TAIL 83% | B/ATR nan
2010-07-29 | Bull | 57.41 / 3.9% | HEAD 78% | TAIL 16% | B/ATR nan
2010-07-30 | Bear | 56.98 / -3.1% | HEAD 56% | TAIL 53% | B/ATR nan
2010-08-02 | Bear | 53.9 / -2.0% | HEAD 55% | TAIL 44% | B/ATR nan
2010-08-03 | Bull | 54.55 / 1.0% | HEAD 137% | TAIL 31% | B/ATR 0.2
2010-08-04 | Bear | 52.96 / -1.5% | HEAD 88% | TAIL 32% | B/ATR 0.2
2010-08-05 | Bear | 53.16 / -0.9% | HEAD 118% | TAIL 34% | B/ATR 0.1
2010-08-06 | Bear | 53.4 / -3.0% | HEAD 50% | TAIL 21% | B/ATR 0.5
2010-08-09 | Bull | 53.68 / 1.9% | HEAD 0% | TAIL 68% | B/ATR 0.3
2010-08-10 | Bear | 53.52 / -0.3% | HEAD 771% | TAIL 376% | B/ATR 0.0
2010-08-11 | Bull | 57.98 / 2.7% | HEAD 49% | TAIL 6% | B/ATR 0.4
2010-08-12 | Bear | 59.42 / -3.2% | HEAD 19% | TAIL 34% | B/ATR 0.6
2010-08-13 | Bull | 60.77 / 1.0% | HEAD 0% | TAIL 121% | B/ATR 0.2
2010-08-16 | Bear | 60.4101 / -2.1% | HEAD 56% | TAIL 94% | B/ATR 0.4
2010-08-17 | Bear | 57.98 / -2.0% | HEAD 20% | TAIL 122% | B/ATR 0.4
2010-08-18 | Bear | 57.3 / -2.0% | HEAD 49% | TAIL 81% | B/ATR 0.3
2010-08-19 | Bull | 59.81 / 2.4% | HEAD 94% | TAIL 43% | B/ATR 0.4
2010-08-20 | Bear | 59.87 / -0.6% | HEAD 306% | TAIL 132% | B/ATR 0.1
2010-08-23 | Bull | 61.54 / 5.2% | HEAD 1% | TAIL 12% | B/ATR 0.9
2010-08-24 | Bull | 64.96 / 2.3% | HEAD 51% | TAIL 35% | B/ATR 0.4
2010-08-25 | Bear | 63.21 / -4.6% | HEAD 11% | TAIL 31% | B/ATR 0.9
2010-08-26 | Bull | 65.4 / 4.8% | HEAD 3% | TAIL 13% | B/ATR 0.9
2010-08-27 | Bear | 62.73 / -1.9% | HEAD 324% | TAIL 12% | B/ATR 0.4
2010-08-30 | Bull | 64.71 / 1.3% | HEAD 29% | TAIL 205% | B/ATR 0.2
2010-08-31 | Bear | 65.37 / -1.0% | HEAD 125% | TAIL 226% | B/ATR 0.2
2010-09-01 | Bear | 59.81 / -4.7% | HEAD 2% | TAIL 24% | B/ATR 0.9
2010-09-02 | Bear | 57.88 / -2.7% | HEAD 22% | TAIL 15% | B/ATR 0.5
2010-09-03 | Bear | 54.9 / -1.8% | HEAD 61% | TAIL 20% | B/ATR 0.3
