2011-08-04 | Bull | 27.9 / 8.9% | HEAD 0% | TAIL 7% | B/ATR 1.9
2011-08-22 | Bull | 32.54 / 6.8% | HEAD 12% | TAIL 2% | B/ATR 1.6
2012-05-17 | Bull | 55.44 / 6.4% | HEAD 0% | TAIL 10% | B/ATR 3.6
2012-05-18 | Bull | 57.43 / 4.6% | HEAD 10% | TAIL 16% | B/ATR 2.7
2012-06-07 | Bull | 52.76 / 4.4% | HEAD 6% | TAIL 2% | B/ATR 1.9
2012-06-11 | Bull | 53.61 / 7.0% | HEAD 9% | TAIL 3% | B/ATR 3.0
2012-06-21 | Bull | 50.81 / 7.0% | HEAD 6% | TAIL 7% | B/ATR 2.5
2012-10-19 | Bull | 41.48 / 6.8% | HEAD 5% | TAIL 2% | B/ATR 1.6
2014-01-24 | Bull | 59.4 / 4.9% | HEAD 0% | TAIL 1% | B/ATR 3.9
2014-03-21 | Bull | 52.81 / 5.3% | HEAD 10% | TAIL 5% | B/ATR 2.0
2014-03-26 | Bull | 55.72 / 5.5% | HEAD 0% | TAIL 11% | B/ATR 2.1
2014-04-04 | Bull | 57.34 / 10.2% | HEAD 6% | TAIL 4% | B/ATR 3.6
2014-04-10 | Bull | 59.31 / 9.3% | HEAD 10% | TAIL 1% | B/ATR 3.3
2015-08-25 | Bull | 31.1 / 13.8% | HEAD 2% | TAIL 16% | B/ATR 4.0
2015-09-09 | Bull | 25.19 / 7.3% | HEAD 10% | TAIL 1% | B/ATR 1.6
2015-09-28 | Bull | 27.77 / 7.4% | HEAD 8% | TAIL 2% | B/ATR 1.6
2016-01-13 | Bull | 24.32 / 11.7% | HEAD 4% | TAIL 5% | B/ATR 2.3
2016-02-05 | Bull | 26.36 / 9.2% | HEAD 13% | TAIL 0% | B/ATR 1.9
2017-03-21 | Bull | 39.26 / 5.7% | HEAD 4% | TAIL 5% | B/ATR 2.4
2017-05-17 | Bull | 33.95 / 5.1% | HEAD 1% | TAIL 11% | B/ATR 1.9
2017-07-03 | Bull | 33.18 / 4.5% | HEAD 6% | TAIL 8% | B/ATR 1.6
2017-08-17 | Bull | 29.5 / 4.9% | HEAD 0% | TAIL 9% | B/ATR 1.5
2017-12-04 | Bull | 23.0 / 5.5% | HEAD 4% | TAIL 6% | B/ATR 1.5
2018-02-08 | Bull | 21.77 / 13.5% | HEAD 2% | TAIL 1% | B/ATR 3.7
2018-03-23 | Bull | 19.21 / 7.7% | HEAD 2% | TAIL 15% | B/ATR 1.8
