2015-11-19 | Bull | 13.07 / 16.7% | HEAD 91% | TAIL 118% | B/ATR nan
2015-11-20 | Bear | 12.85 / -7.7% | HEAD 12% | TAIL 33% | B/ATR nan
2015-11-23 | Bear | 12.12 / -6.8% | HEAD 17% | TAIL 2% | B/ATR nan
2015-11-24 | Bull | 12.02 / 0.2% | HEAD 1050% | TAIL 2400% | B/ATR nan
2015-11-25 | Bear | 11.9 / -1.8% | HEAD 127% | TAIL 23% | B/ATR nan
2015-11-27 | Bull | 12.05 / 0.0% | HEAD 2600% | TAIL 1500% | B/ATR nan
2015-11-30 | Bear | 12.04 / -2.0% | HEAD 29% | TAIL 58% | B/ATR nan
2015-12-01 | Bear | 11.91 / -1.7% | HEAD 29% | TAIL 10% | B/ATR nan
2015-12-02 | Bear | 11.93 / -0.3% | HEAD 462% | TAIL 75% | B/ATR nan
2015-12-03 | Bear | 11.92 / -1.0% | HEAD 175% | TAIL 8% | B/ATR nan
2015-12-04 | Bull | 12.04 / 0.8% | HEAD 0% | TAIL 167% | B/ATR nan
2015-12-07 | Bull | 12.36 / 1.8% | HEAD 109% | TAIL 18% | B/ATR nan
2015-12-08 | Bear | 12.12 / -1.9% | HEAD 33% | TAIL 37% | B/ATR nan
2015-12-09 | Bear | 11.99 / -0.1% | HEAD 2400% | TAIL 900% | B/ATR nan
2015-12-10 | Bull | 12.05 / 0.4% | HEAD 160% | TAIL 180% | B/ATR nan
2015-12-11 | Bear | 11.95 / -0.4% | HEAD 40% | TAIL 100% | B/ATR nan
2015-12-14 | Bull | 12.33 / 1.1% | HEAD 54% | TAIL 254% | B/ATR nan
2015-12-15 | Bear | 12.47 / -0.2% | HEAD 667% | TAIL 550% | B/ATR nan
2015-12-16 | Bear | 12.27 / -2.2% | HEAD 89% | TAIL 50% | B/ATR nan
2015-12-17 | Bull | 12.32 / 0.2% | HEAD 900% | TAIL 200% | B/ATR nan
2015-12-18 | Bear | 12.34 / -0.5% | HEAD 300% | TAIL 400% | B/ATR nan
2015-12-21 | Bear | 12.24 / -1.1% | HEAD 85% | TAIL 169% | B/ATR nan
2015-12-22 | Bull | 12.46 / 1.1% | HEAD 0% | TAIL 143% | B/ATR nan
2015-12-23 | Bull | 12.5 / 0.7% | HEAD 178% | TAIL 111% | B/ATR nan
2015-12-24 | Bull | 12.6 / 0.1% | HEAD 0% | TAIL 1400% | B/ATR nan
2015-12-28 | Bull | 12.83 / 1.8% | HEAD 4% | TAIL 48% | B/ATR nan
2015-12-29 | Bear | 12.74 / -0.7% | HEAD 0% | TAIL 267% | B/ATR nan
2015-12-30 | Bull | 12.78 / 0.9% | HEAD 42% | TAIL 108% | B/ATR nan
2015-12-31 | Bull | 13.09 / 3.1% | HEAD 105% | TAIL 13% | B/ATR nan
2016-01-04 | Bear | 12.16 / -4.6% | HEAD 25% | TAIL 19% | B/ATR nan
2016-01-05 | Bear | 11.51 / -5.7% | HEAD 20% | TAIL 1% | B/ATR nan
