2001-05-04 | Bull | 7.26 / 12.6% | HEAD 0% | TAIL 14% | B/ATR 1.6
2001-07-31 | Bull | 10.2 / 14.9% | HEAD 4% | TAIL 0% | B/ATR 2.6
2001-09-24 | Bull | 8.1 / 14.7% | HEAD 10% | TAIL 15% | B/ATR 2.1
2001-11-01 | Bull | 8.75 / 12.2% | HEAD 15% | TAIL 5% | B/ATR 1.9
2001-12-26 | Bull | 10.65 / 9.5% | HEAD 5% | TAIL 0% | B/ATR 1.8
2002-02-12 | Bull | 11.39 / 10.5% | HEAD 0% | TAIL 19% | B/ATR 1.9
2003-03-19 | Bull | 2.99 / 47.3% | HEAD 2% | TAIL 16% | B/ATR 2.7
2003-04-25 | Bull | 7.05 / 35.6% | HEAD 2% | TAIL 3% | B/ATR 5.0
2003-06-11 | Bull | 7.0 / 16.9% | HEAD 5% | TAIL 13% | B/ATR 2.5
2005-01-19 | Bull | 4.14 / 55.1% | HEAD 7% | TAIL 5% | B/ATR 9.0
2005-10-14 | Bull | 3.35 / 18.4% | HEAD 8% | TAIL 12% | B/ATR 4.2
2005-10-25 | Bull | 4.03 / 24.4% | HEAD 1% | TAIL 3% | B/ATR 6.0
2005-11-07 | Bull | 3.43 / 8.9% | HEAD 7% | TAIL 11% | B/ATR 1.9
2006-01-13 | Bull | 5.38 / 12.3% | HEAD 15% | TAIL 7% | B/ATR 3.1
2006-02-14 | Bull | 7.15 / 7.2% | HEAD 8% | TAIL 15% | B/ATR 1.8
2006-04-21 | Bull | 6.77 / 11.2% | HEAD 18% | TAIL 0% | B/ATR 1.8
2007-10-05 | Bull | 2.83 / 10.1% | HEAD 4% | TAIL 4% | B/ATR 1.9
2008-02-11 | Bull | 1.3 / 20.4% | HEAD 14% | TAIL 5% | B/ATR 1.7
2008-11-03 | Bull | 1.01 / 23.2% | HEAD 11% | TAIL 0% | B/ATR 2.1
2009-01-15 | Bull | 1.1501 / 22.4% | HEAD 14% | TAIL 13% | B/ATR 2.1
2009-08-31 | Bull | 1.71 / 17.9% | HEAD 15% | TAIL 4% | B/ATR 1.8
2009-09-11 | Bull | 2.05 / 15.8% | HEAD 0% | TAIL 14% | B/ATR 1.9
2010-10-18 | Bull | 2.07 / 8.9% | HEAD 6% | TAIL 18% | B/ATR 1.7
2011-01-07 | Bull | 2.43 / 11.5% | HEAD 12% | TAIL 4% | B/ATR 2.7
2011-01-10 | Bull | 2.58 / 8.4% | HEAD 10% | TAIL 15% | B/ATR 2.2
2011-12-21 | Bull | 0.74 / 24.3% | HEAD 7% | TAIL 0% | B/ATR 1.7
2012-07-12 | Bull | 4.13 / 25.2% | HEAD 11% | TAIL 0% | B/ATR 10.3
2012-07-16 | Bull | 3.92 / 5.1% | HEAD 0% | TAIL 0% | B/ATR 2.2
2012-08-24 | Bull | 10.78 / 6.6% | HEAD 12% | TAIL 9% | B/ATR 2.8
2012-09-13 | Bull | 13.94 / 11.6% | HEAD 14% | TAIL 0% | B/ATR 4.2
2012-09-17 | Bull | 14.85 / 6.3% | HEAD 6% | TAIL 1% | B/ATR 2.4
2012-11-12 | Bull | 27.13 / 15.2% | HEAD 1% | TAIL 1% | B/ATR 3.4
2013-01-25 | Bull | 27.91 / 9.2% | HEAD 4% | TAIL 16% | B/ATR 1.6
2014-01-16 | Bull | 28.0 / 21.7% | HEAD 16% | TAIL 8% | B/ATR 2.3
2014-04-22 | Bull | 38.79 / 12.2% | HEAD 10% | TAIL 1% | B/ATR 2.2
2015-10-01 | Bull | 39.28 / 8.6% | HEAD 8% | TAIL 19% | B/ATR 2.0
2016-03-21 | Bull | 21.71 / 19.0% | HEAD 5% | TAIL 3% | B/ATR 1.8
2016-04-26 | Bull | 11.02 / 36.7% | HEAD 18% | TAIL 2% | B/ATR 1.6
2016-05-02 | Bull | 17.92 / 20.8% | HEAD 7% | TAIL 10% | B/ATR 1.6
2016-09-14 | Bull | 32.45 / 9.4% | HEAD 16% | TAIL 2% | B/ATR 1.7
2016-09-22 | Bull | 60.97 / 7.2% | HEAD 15% | TAIL 0% | B/ATR 2.3
2018-01-10 | Bull | 59.14 / 5.6% | HEAD 11% | TAIL 4% | B/ATR 1.6
2018-03-02 | Bull | 67.96 / 12.1% | HEAD 10% | TAIL 15% | B/ATR 3.4
2018-03-07 | Bull | 74.33 / 6.2% | HEAD 12% | TAIL 12% | B/ATR 1.9
